name	url
Невролог	http://www.spr.ru/forum_vyvod.php?id_tema=2948265
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2778486
Некомпетентные педиатры	http://www.spr.ru/forum_vyvod.php?id_tema=2742702
Спасибо доктору	http://www.spr.ru/forum_vyvod.php?id_tema=3391099
Многое изменилось	http://www.spr.ru/forum_vyvod.php?id_tema=3382694
Вечно недовольные	http://www.spr.ru/forum_vyvod.php?id_tema=3008026
Сами выбирают пациентов	http://www.spr.ru/forum_vyvod.php?id_tema=2480903
Халатность и безграмотность	http://www.spr.ru/forum_vyvod.php?id_tema=3231331
Плохой педиатр	http://www.spr.ru/forum_vyvod.php?id_tema=3217792
Плохие условия	http://www.spr.ru/forum_vyvod.php?id_tema=3165778
Врач приходить не собирается	http://www.spr.ru/forum_vyvod.php?id_tema=2730109
Благодарность персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=3422733
Благодарность сотрудникам амбулатории	http://www.spr.ru/forum_vyvod.php?id_tema=3330601
Безответственное отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=3405881
Просто ужас	http://www.spr.ru/forum_vyvod.php?id_tema=3338919
Вопрос	http://www.spr.ru/forum_vyvod.php?id_tema=2647621
Отвратительное отношение к беременным женщинам	http://www.spr.ru/forum_vyvod.php?id_tema=3283320
Хотят за всё деньги и подарки	http://www.spr.ru/forum_vyvod.php?id_tema=3250781
Ждите проверки	http://www.spr.ru/forum_vyvod.php?id_tema=3106082
Плохое отношение к посетителям	http://www.spr.ru/forum_vyvod.php?id_tema=3307150
Отношение к работе	http://www.spr.ru/forum_vyvod.php?id_tema=3143078
Отношение к работе	http://www.spr.ru/forum_vyvod.php?id_tema=3142994
Новый педиатр	http://www.spr.ru/forum_vyvod.php?id_tema=2999008
Ходила на прием	http://www.spr.ru/forum_vyvod.php?id_tema=2116920
Профнепригодность врачей	http://www.spr.ru/forum_vyvod.php?id_tema=708592
Не совсем воспитанный товарищ	http://www.spr.ru/forum_vyvod.php?id_tema=678548
На новорожденных наплевать	http://www.spr.ru/forum_vyvod.php?id_tema=428832
Не тот диагноз	http://www.spr.ru/forum_vyvod.php?id_tema=3446822
Хамство в регистратуре, создание своей очереди к врачу	http://www.spr.ru/forum_vyvod.php?id_tema=3397154
Прошу разобраться	http://www.spr.ru/forum_vyvod.php?id_tema=3141712
Как лучик света	http://www.spr.ru/forum_vyvod.php?id_tema=2956450
Грубое отношении к людям	http://www.spr.ru/forum_vyvod.php?id_tema=3038641
Прошу разобраться	http://www.spr.ru/forum_vyvod.php?id_tema=2961463
Некомпетентность медработников	http://www.spr.ru/forum_vyvod.php?id_tema=2956441
Плохо налажена работа врачей	http://www.spr.ru/forum_vyvod.php?id_tema=2932949
Хамское отношение к клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=572665
Спасибо сотрудникам за лечение	http://www.spr.ru/forum_vyvod.php?id_tema=2872234
Плата за бесплатные услуги	http://www.spr.ru/forum_vyvod.php?id_tema=373789
Отвратительная поликлиника	http://www.spr.ru/forum_vyvod.php?id_tema=3416478
Проба Манту	http://www.spr.ru/forum_vyvod.php?id_tema=3404997
Бардак	http://www.spr.ru/forum_vyvod.php?id_tema=3297597
Неопределенность	http://www.spr.ru/forum_vyvod.php?id_tema=2419069
Полный беспредел	http://www.spr.ru/forum_vyvod.php?id_tema=3463644
Благодарю врача стоматолога Бандурина	http://www.spr.ru/forum_vyvod.php?id_tema=210980
