name	url
АМБУЛАТОРИЯ ПОСЁЛКА РАЗВИЛКА	http://www.spr.ru/vidnoe-i-leninskiy-rayon/ambulatoriya-poselka-razvilka.html
ЕРШОВСКАЯ СЕЛЬСКАЯ АМБУЛАТОРИЯ	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/ershovskaya-selskaya-ambulatoriya.html
КРАТОВСКАЯ АМБУЛАТОРИЯ	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/kratovskaya-ambulatoriya.html
ОСТРОВЕЦКАЯ АМБУЛАТОРИЯ	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/ostrovetskaya-ambulatoriya.html
ВАТУТИНСКАЯ АМБУЛАТОРИЯ	http://www.spr.ru/desenovskoe/vatutinskaya-ambulatoriya.html
ЛЕСНОГОРОДСКАЯ АМБУЛАТОРИЯ	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/lesnogorodskaya-ambulatoriya.html
САФОНОВСКАЯ АМБУЛАТОРИЯ	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/safonovskaya-ambulatoriya.html
УСПЕНСКАЯ АМБУЛАТОРИЯ	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/uspenskaya-ambulatoriya.html
АМБУЛАТОРИЯ ПОСЕЛКА ПТИЧНОЕ	http://www.spr.ru/pervomayskoe-118969/ambulatoriya-poselka-ptichnoe.html
ДУРЫКИНСКАЯ АМБУЛАТОРИЯ	http://www.spr.ru/solnechnogorsk-i-solnechnogorskiy-rayon/durikinskaya-ambulatoriya.html
ВОЛОДАРСКАЯ АМБУЛАТОРИЯ	http://www.spr.ru/vidnoe-i-leninskiy-rayon/volodarskaya-ambulatoriya.html
ВОСТРЯКОВСКАЯ ГОРОДСКАЯ АМБУЛАТОРИЯ	http://www.spr.ru/domodedovo-i-gorodskoy-okrug-domodedovo/vostryakovskaya-gorodskaya-ambulatoriya.html
ГАЛЬЧИНСКАЯ АМБУЛАТОРИЯ	http://www.spr.ru/domodedovo-i-gorodskoy-okrug-domodedovo/galchinskaya-ambulatoriya.html
ГОРКИ-10, амбулатория	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/gorki-10.html
НЕМЧИНОВСКАЯ АМБУЛАТОРИЯ	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/nemchinovskaya-ambulatoriya.html
НЕСТЕРОВСКАЯ АМБУЛАТОРИЯ	http://www.spr.ru/ruza-i-ruzskiy-rayon/nesterovskaya-ambulatoriya.html
ТАРАСОВСКАЯ АМБУЛАТОРИЯ	http://www.spr.ru/pushkino-i-pushkinskiy-rayon/tarasovskaya-ambulatoriya.html
ЯМСКАЯ СЕЛЬСКАЯ АМБУЛАТОРИЯ	http://www.spr.ru/domodedovo-i-gorodskoy-okrug-domodedovo/yamskaya-selskaya-ambulatoriya.html
АКУЛОВСКАЯ АМБУЛАТОРИЯ	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/akulovskaya-ambulatoriya.html
АМБУЛАТОРИЯ № 2 ПОСЁЛКА ЦУС МИР	http://www.spr.ru/shatura-i-shaturskiy-rayon/ambulatoriya-2-poselka-tsus-mir.html
АМБУЛАТОРИЯ МИКРОРАЙОНА ЗАВЕТЫ ИЛЬИЧА	http://www.spr.ru/pushkino-i-pushkinskiy-rayon/ambulatoriya-mikrorayona-zaveti-ilicha.html
АМБУЛАТОРИЯ ПОСЁЛКА ГОРКИ ЛЕНИНСКИЕ	http://www.spr.ru/vidnoe-i-leninskiy-rayon/ambulatoriya-poselka-gorki-leninskie.html
АМБУЛАТОРИЯ ПОСЁЛКА ДРОЖЖИНО	http://www.spr.ru/vidnoe-i-leninskiy-rayon/ambulatoriya-poselka-drozhzhino.html
АМБУЛАТОРИЯ ПОСЁЛКА ЗВЕРОСОВХОЗ	http://www.spr.ru/pushkino-i-pushkinskiy-rayon/ambulatoriya-poselka-zverosovhoz.html
АМБУЛАТОРИЯ ПОСЁЛКА ЧЕРКИЗОВО	http://www.spr.ru/pushkino-i-pushkinskiy-rayon/ambulatoriya-poselka-cherkizovo.html
АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКОЕ ОТДЕЛЕНИЕ ПОСЁЛКА СТОЛБОВАЯ	http://www.spr.ru/chehov-i-chehovskiy-rayon/ambulatorno-poliklinicheskoe-otdelenie-poselka-stolbovaya.html
