name	url
Очень профессиональное обслуживание	http://www.spr.ru/forum_vyvod.php?id_tema=3046664
Спасибо за хорошую атмосферу в аптеке	http://www.spr.ru/forum_vyvod.php?id_tema=3031161
Был удивлён такому быстрому обслуживанию	http://www.spr.ru/forum_vyvod.php?id_tema=2990000
Сотрудники молодцы	http://www.spr.ru/forum_vyvod.php?id_tema=2884085
Нет достоверной информации	http://www.spr.ru/forum_vyvod.php?id_tema=2989969
Для меня то, что нужно	http://www.spr.ru/forum_vyvod.php?id_tema=3420717
Напоминают мне о выгодных покупках	http://www.spr.ru/forum_vyvod.php?id_tema=3046653
Самая лучшая	http://www.spr.ru/forum_vyvod.php?id_tema=3031168
Я частый гость аптек	http://www.spr.ru/forum_vyvod.php?id_tema=2990017
Непрофессионализм со стороны сотрудников к клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=3439403
Одни аналоги дорогущие	http://www.spr.ru/forum_vyvod.php?id_tema=2990027
Практикуют систему работы под заказ	http://www.spr.ru/forum_vyvod.php?id_tema=3046667
Достойный уровень обслуживания	http://www.spr.ru/forum_vyvod.php?id_tema=3031171
Подход ко всем индивидуальный	http://www.spr.ru/forum_vyvod.php?id_tema=2990031
Фармацевт	http://www.spr.ru/forum_vyvod.php?id_tema=3301215
Приобрела дорогой препарат	http://www.spr.ru/forum_vyvod.php?id_tema=2990032
Хорошая аптека	http://www.spr.ru/forum_vyvod.php?id_tema=2309897
Пикфлуометр для астматика	http://www.spr.ru/forum_vyvod.php?id_tema=2869802
Неграмотные специалисты	http://www.spr.ru/forum_vyvod.php?id_tema=2527427
Невежливое обращение с клиентами	http://www.spr.ru/forum_vyvod.php?id_tema=418732
Персонал очень вежливый и профессиональный	http://www.spr.ru/forum_vyvod.php?id_tema=3046676
Подобрали самое нужное	http://www.spr.ru/forum_vyvod.php?id_tema=3031200
Всегда помогут с выбором	http://www.spr.ru/forum_vyvod.php?id_tema=3047015
Приятно приходить в эту аптеку	http://www.spr.ru/forum_vyvod.php?id_tema=3031225
Хорошая аптека и цены доступные	http://www.spr.ru/forum_vyvod.php?id_tema=2890561
Продавец обхамила маму с ребенком	http://www.spr.ru/forum_vyvod.php?id_tema=3220353
Плохое отношение к покупателям	http://www.spr.ru/forum_vyvod.php?id_tema=2924206
Все устраивает	http://www.spr.ru/forum_vyvod.php?id_tema=3046686
Благодарность от бабушки	http://www.spr.ru/forum_vyvod.php?id_tema=3031212
Всегда можно купить нужный товар	http://www.spr.ru/forum_vyvod.php?id_tema=3031239
Теперь всегда хожу туда	http://www.spr.ru/forum_vyvod.php?id_tema=2891824
Положительное впечатление	http://www.spr.ru/forum_vyvod.php?id_tema=2877336
Частенько нет сдачи	http://www.spr.ru/forum_vyvod.php?id_tema=2891822
С виду всё шоколадно	http://www.spr.ru/forum_vyvod.php?id_tema=2877330
У меня есть выбор	http://www.spr.ru/forum_vyvod.php?id_tema=3047012
Только положительные впечатления и внимательное обслуживание	http://www.spr.ru/forum_vyvod.php?id_tema=3031238
Вижу только плюсы	http://www.spr.ru/forum_vyvod.php?id_tema=2863302
Мне очень нравится эта аптека	http://www.spr.ru/forum_vyvod.php?id_tema=2854309
Но цены завышены	http://www.spr.ru/forum_vyvod.php?id_tema=2863280
Прошу срочно принять меры	http://www.spr.ru/forum_vyvod.php?id_tema=2854311
Теперь только Столички	http://www.spr.ru/forum_vyvod.php?id_tema=3337134
Хорошее качество и низкие цены	http://www.spr.ru/forum_vyvod.php?id_tema=3335742
