name	url
САМСОН-ФАРМА, аптека № 6	http://www.spr.ru/sokolniki/samson-farma-935548.html
АПТЕКА НА ЛУННОЙ	http://www.spr.ru/domodedovo-i-gorodskoy-okrug-domodedovo/apteka-na-lunnoy.html
КРУГЛОСУТОЧНАЯ АПТЕКА НА СОВЕТСКОЙ, 50	http://www.spr.ru/domodedovo-i-gorodskoy-okrug-domodedovo/kruglosutochnaya-apteka-na-sovetskoy-50.html
СТОЛИЧКИ, аптека	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/stolichki-4461141.html
ВАЛЕРЬЯНКА, аптека	http://www.spr.ru/kurkino/valeryanka.html
ФОРМУЛА ЗДОРОВЬЯ, аптека	http://www.spr.ru/bronnitsi-i-gorodskoy-okrug-bronnitsi/formula-zdorovya-189244.html
ФУТУРА-А, аптека	http://www.spr.ru/troitsk/futura-a.html
АПТЕКА НА КОЛОМЕНСКОЙ	http://www.spr.ru/nagatinskiy-zaton/apteka-4465384.html
INФАРМ, аптека	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/infarm.html
ЦЕЛИТЕЛЬ, аптека	http://www.spr.ru/naro-fominsk-i-naro-fominskiy-rayon/tselitel.html
МАРЕН, аптека	http://www.spr.ru/ruza-i-ruzskiy-rayon/maren-4635850.html
АПТЕКА	http://www.spr.ru/zhukovskiy-i-gorodskoy-okrug-zhukovskiy/apteka-4635369.html
ДИФАРМ, аптека	http://www.spr.ru/ochakovo-matveevskoe/difarm-4673412.html
СОКОЛ, аптека № 1	http://www.spr.ru/naro-fominsk-i-naro-fominskiy-rayon/sokol-224616.html
ФАРМАКОН, аптека	http://www.spr.ru/zhukovskiy-i-gorodskoy-okrug-zhukovskiy/farmakon-4815851.html
Аптека № 274, А5	http://www.spr.ru/ryazanskiy/apteka-274.html
РИГЛА, аптека № 32	http://www.spr.ru/akademicheskiy/rigla.html
СТОЛИЧКИ, аптека № 8	http://www.spr.ru/preobrazhenskoe/stolichki.html
СТАРЫЙ ЛЕКАРЬ, аптека № 183	http://www.spr.ru/akademicheskiy/stariy-lekar-3929.html
36,6, аптека № 112	http://www.spr.ru/obruchevskiy/36-6-28423.html
АПТЕКИ СТОЛИЦЫ, аптека № 1	http://www.spr.ru/basmanniy/apteki-stolitsi-1197.html
ВИТРУМ, аптека № 1	http://www.spr.ru/otradnoe/vitrum-30039.html
ГОРЗДРАВ, аптека	http://www.spr.ru/strogino/gorzdrav-1167030.html
ДИАЛОГ, аптека	http://www.spr.ru/protvino-i-gorodskoy-okrug-protvino/dialog.html
ВЕР.РУ, интернет-аптека	http://www.spr.ru/meschanskiy/ver-ru.html
САМСОН-ФАРМА, аптека	http://www.spr.ru/marina-roscha/samson-farma-4668471.html
НЕОФАРМ, аптека	http://www.spr.ru/kuntsevo/neofarm-20453.html
МЕДИЦИНА ДЛЯ ВАС, аптечный киоск № 17	http://www.spr.ru/vihino-zhulebino/meditsina-dlya-vas-9001.html
ВИТАФАРМ, аптека № 4	http://www.spr.ru/danilovskiy/vitafarm-11078.html
ФАРМАРУС, аптека	http://www.spr.ru/vihino-zhulebino/farmarus-4640915.html
ДОКТОР СТОЛЕТОВ, аптека № 6	http://www.spr.ru/biryulevo-vostochnoe/doktor-stoletov.html
НАРОДНАЯ АПТЕКА	http://www.spr.ru/bibirevo/narodnaya-apteka-61770.html
ПЕРВАЯ ПОМОЩЬ, аптека № 624	http://www.spr.ru/akademicheskiy/pervaya-pomosch.html
ЗДОРОВЫЕ ЛЮДИ, аптека № 13	http://www.spr.ru/lomonosovskiy/zdorovie-lyudi.html
ЛЕКРУС, аптека	http://www.spr.ru/severnoe-medvedkovo/lekrus-23280.html
СЕРДЕЧКО, аптека	http://www.spr.ru/golyanovo/serdechko-236429.html
АСНА, аптека	http://www.spr.ru/otradnoe/asna.html
НЕ БОЛЕЙ, аптека	http://www.spr.ru/biryulevo-vostochnoe/ne-boley.html
ТРИКА, аптека	http://www.spr.ru/alekseevskiy/trika-154.html
ФЛОРИЯ, аптека	http://www.spr.ru/strogino/floriya-239194.html
ИМПЛОЗИЯ, аптека	http://www.spr.ru/tsaritsino/imploziya-245367.html
МЕДБИОЛАЙН, аптека	http://www.spr.ru/tepliy-stan/medbiolayn-29039.html
ПЛАНЕТА ЗДОРОВЬЯ, аптека	http://www.spr.ru/presnenskiy/planeta-zdorovya-1915107.html
ФОРМУЛА ЗДОРОВЬЯ, аптека	http://www.spr.ru/sokolinaya-gora/formula-zdorovya.html
ЦЕЛИТЕЛЬ, аптека	http://www.spr.ru/serpuhov-i-serpuhovskiy-rayon/tselitel-221458.html
АПТЕКА ИФК	http://www.spr.ru/sokolinaya-gora/apteka-ifk.html
ДОКТОР Н, гомеопатическая аптека	http://www.spr.ru/orehovo-borisovo-severnoe/doktor-n.html
ДОБРАЯ, аптека	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/dobraya.html
РАДУГА, аптека	http://www.spr.ru/presnenskiy/raduga-35931.html
120 НА 80, аптека	http://www.spr.ru/basmanniy/120-na-80.html
АЛТЕЯ, аптека	http://www.spr.ru/severnoe-tushino/alteya-964045.html
ВАШЕ ЗДОРОВЬЕ, аптека	http://www.spr.ru/presnenskiy/vashe-zdorove-38148.html
ДИАСФАРМ, аптека	http://www.spr.ru/hamovniki/diasfarm-117868.html
