name	url
Благодарность сотруднику Чхеидзе	http://www.spr.ru/forum_vyvod.php?id_tema=3426407
Для Попова Юрия Вячеславовича	http://www.spr.ru/forum_vyvod.php?id_tema=3420783
Благодарность кардиологам во главе с Ардашевым	http://www.spr.ru/forum_vyvod.php?id_tema=3415064
Хорошее отношение и чистота	http://www.spr.ru/forum_vyvod.php?id_tema=3409577
Благодарность Анне Генриховне Кедровой	http://www.spr.ru/forum_vyvod.php?id_tema=3400687
Благодарность сотрудникам гинекологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3389882
Благодарность кардиохирургам Зотову и Терещенко	http://www.spr.ru/forum_vyvod.php?id_tema=3370597
Благодарность профессору Ардашеву Андрею Вячеславовичу	http://www.spr.ru/forum_vyvod.php?id_tema=3364240
Благодарность сотрудникам КБ № 83 ФМБА	http://www.spr.ru/forum_vyvod.php?id_tema=3363631
Торакология, низкий поклон Вам, Николай Юрьевич	http://www.spr.ru/forum_vyvod.php?id_tema=3353288
Благодарность Терещенко Василию Ивановичу отделения хирургии сердца	http://www.spr.ru/forum_vyvod.php?id_tema=3352615
Благодарность всем работницам гинекологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3344346
Благодарность сотрудникам отделения нейрохирургии	http://www.spr.ru/forum_vyvod.php?id_tema=3340613
Благодарность Ардашеву Андрею Вячеславовичу	http://www.spr.ru/forum_vyvod.php?id_tema=3318864
Хотим выразить благодарность урологическому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=3315206
Благодарность Бакулиной	http://www.spr.ru/forum_vyvod.php?id_tema=3296411
Спасибо сотрудникам гинекологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3268989
Благодарность Кедровой Анне Генриховне	http://www.spr.ru/forum_vyvod.php?id_tema=3265071
Огромная благодарность Арминэ Амасьевне Казарян, всем врачам отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3249189
Благодарность Ширшову Василию Николаевичу	http://www.spr.ru/forum_vyvod.php?id_tema=3230211
Плохо очень	http://www.spr.ru/forum_vyvod.php?id_tema=3456247
Неадекватный и агрессивный врач	http://www.spr.ru/forum_vyvod.php?id_tema=3456004
Лечат без диагноза	http://www.spr.ru/forum_vyvod.php?id_tema=3442631
Горе от ума	http://www.spr.ru/forum_vyvod.php?id_tema=3411189
Бледность	http://www.spr.ru/forum_vyvod.php?id_tema=3408882
Театр и дешевая живопись	http://www.spr.ru/forum_vyvod.php?id_tema=3406061
Плохое, наплевательское отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=3386582
А есть ли специалисты	http://www.spr.ru/forum_vyvod.php?id_tema=3367394
Все хорошо, но	http://www.spr.ru/forum_vyvod.php?id_tema=3363096
Стоматология	http://www.spr.ru/forum_vyvod.php?id_tema=3340903
Гинекология кошмар	http://www.spr.ru/forum_vyvod.php?id_tema=3326768
Некомпетентность врачей в отделении гастроэнтерологии	http://www.spr.ru/forum_vyvod.php?id_tema=3287520
Давайте дадим доктору отдохнуть	http://www.spr.ru/forum_vyvod.php?id_tema=3264663
Некомпетентность врача, кандидата медицинских наук уролога Оболонкова	http://www.spr.ru/forum_vyvod.php?id_tema=3249776
Выдача врачебной тайны	http://www.spr.ru/forum_vyvod.php?id_tema=3237138
Верните старый сайт больницы	http://www.spr.ru/forum_vyvod.php?id_tema=3218086
Вопиющее хамство и отсутствие профессионализма	http://www.spr.ru/forum_vyvod.php?id_tema=3214198
Отрицательный отзыв о хирурге Нечунаеве	http://www.spr.ru/forum_vyvod.php?id_tema=3181684
Полнейший бардак и безответственность	http://www.spr.ru/forum_vyvod.php?id_tema=3175198
Плохой сервис	http://www.spr.ru/forum_vyvod.php?id_tema=3166577
Врачу пульнологу	http://www.spr.ru/forum_vyvod.php?id_tema=3460114
Благодарность медперсоналу гинекологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3409321
Телефон регистратуры не отвечает уже два дня	http://www.spr.ru/forum_vyvod.php?id_tema=3369273
Благодарность сотрудникам отделения гинекологии	http://www.spr.ru/forum_vyvod.php?id_tema=3364306
