name	url
КЛИНИЧЕСКАЯ БОЛЬНИЦА № 83 ФМБА	http://www.spr.ru/zyablikovo/klinicheskaya-bolnitsa-83-fmba.html
ДОРОЖНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМ. Н.А. СЕМАШКО НА СТАНЦИИ ЛЮБЛИНО ОАО РЖД	http://www.spr.ru/lyublino/dorozhnaya-klinicheskaya-bolnitsa-im-n-a-semashko-na-stantsii-lyublino-oao-rzhd-994307.html
БОЛЬНИЦА МИД РОССИИ	http://www.spr.ru/schelkovo-i-schelkovskiy-rayon/bolnitsa-mid-rossii.html
БОЛЬНИЦА РАН	http://www.spr.ru/troitsk/bolnitsa-ran.html
МЕДИНЦЕНТР ГЛАВУПДК, при МИД РФ	http://www.spr.ru/begovoy/medintsentr-glavupdk.html
ЦЕНТРАЛЬНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ВОССТАНОВИТЕЛЬНОГО ЛЕЧЕНИЯ	http://www.spr.ru/solnechnogorsk-i-solnechnogorskiy-rayon/tsentralnaya-klinicheskaya-bolnitsa-vosstanovitelnogo-lecheniya.html
БОЛЬНИЦА ЦЕНТРОСОЮЗА РФ	http://www.spr.ru/bogorodskoe/bolnitsa-tsentrosoyuza-rf.html
МЕДИЦИНСКИЙ ЦЕНТР ЦБ РФ	http://www.spr.ru/yasenevo/meditsinskiy-tsentr-tsb-rf.html
КЛИНИЧЕСКАЯ БОЛЬНИЦА № 123 ФМБА	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/klinicheskaya-bolnitsa-123-fmba.html
ЦЕНТРАЛЬНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА С ПОЛИКЛИНИКОЙ УД ПРЕЗИДЕНТА РФ	http://www.spr.ru/kuntsevo/tsentralnaya-klinicheskaya-bolnitsa-s-poliklinikoy-ud-prezidenta-rf.html
ФУНКЦИОНАЛЬНЫЙ КЛИНИЧЕСКИЙ ЦЕНТР ВЫСОКИХ МЕДИЦИНСКИХ ТЕХНОЛОГИЙ ФМБА РОССИИ	http://www.spr.ru/himki-i-gorodskoy-okrug-himki/funktsionalniy-klinicheskiy-tsentr-visokih-meditsinskih-tehnologiy-fmba-rossii.html
ЦЕНТРАЛЬНАЯ БОЛЬНИЦА № 4, при РЖД	http://www.spr.ru/ruza-i-ruzskiy-rayon/tsentralnaya-bolnitsa-4-208633.html
НАУЧНЫЙ КЛИНИЧЕСКИЙ ЦЕНТР ОАО РЖД	http://www.spr.ru/aeroport/nauchniy-klinicheskiy-tsentr-oao-rzhd-122775.html
ЦЕНТРАЛЬНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 2 ИМ. Н.А. СЕМАШКО ОАО РЖД, территория № 2	http://www.spr.ru/metrogorodok/tsentralnaya-klinicheskaya-bolnitsa-2-im-n-a-semashko-oao-rzhd.html
Поликлиника, БОЛЬНИЦА НЦЧ РАН	http://www.spr.ru/chernogolovka-i-gorodskoy-okrug-chernogolovka/poliklinika-220211.html
Больница, ОБЪЕДИНЁННАЯ БОЛЬНИЦА С ПОЛИКЛИНИКОЙ УД ПРЕЗИДЕНТА РФ	http://www.spr.ru/ramenki/bolnitsa-69828.html
КЛИНИЧЕСКАЯ БОЛЬНИЦА РОСЗДРАВА	http://www.spr.ru/marina-roscha/klinicheskaya-bolnitsa-roszdrava.html
КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ПРИ УД ПРЕЗИДЕНТА РФ	http://www.spr.ru/ochakovo-matveevskoe/klinicheskaya-bolnitsa-1-pri-ud-prezidenta-rf.html
ЦЕНТРАЛЬНАЯ БОЛЬНИЦА ЭКСПЕРТИЗЫ ЛЁТНО-ИСПЫТАТЕЛЬНОГО СОСТАВА	http://www.spr.ru/zhukovskiy-i-gorodskoy-okrug-zhukovskiy/tsentralnaya-bolnitsa-ekspertizi-letno-ispitatelnogo-sostava.html
ЦЕНТРАЛЬНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА МВД РОССИИ	http://www.spr.ru/kuntsevo/tsentralnaya-klinicheskaya-bolnitsa-mvd-rossii.html
БОЛЬНИЦА НЦЧ РАН	http://www.spr.ru/chernogolovka-i-gorodskoy-okrug-chernogolovka/bolnitsa-ntsch-ran.html
Отделение скорой медицинской помощи, БОЛЬНИЦА НЦЧ РАН	http://www.spr.ru/chernogolovka-i-gorodskoy-okrug-chernogolovka/otdelenie-skoroy-meditsinskoy-pomoschi-1712386.html
Поликлиника, ОБЪЕДИНЁННАЯ БОЛЬНИЦА С ПОЛИКЛИНИКОЙ УД ПРЕЗИДЕНТА РФ	http://www.spr.ru/ramenki/poliklinika-4561209.html
