name	url
Большая благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=3451484
Есть + и -	http://www.spr.ru/forum_vyvod.php?id_tema=3436518
Благодарность заведующей 4 отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3389138
Благодарность Трофимовой Людмиле Александровне	http://www.spr.ru/forum_vyvod.php?id_tema=3309442
Благодарность Сандухадзе Анне Эмзарьевне	http://www.spr.ru/forum_vyvod.php?id_tema=3250471
Огромнейшая благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3185832
Очень доброжелательный персонал	http://www.spr.ru/forum_vyvod.php?id_tema=3156366
Благодарность Архиповой	http://www.spr.ru/forum_vyvod.php?id_tema=3132712
Мне сохранили там беременность	http://www.spr.ru/forum_vyvod.php?id_tema=3119875
Хорошая больница	http://www.spr.ru/forum_vyvod.php?id_tema=3045459
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3002813
Огромная благодарность Архиповой Валерии Ильиничне	http://www.spr.ru/forum_vyvod.php?id_tema=3002794
Таких специалистов поискать	http://www.spr.ru/forum_vyvod.php?id_tema=2993583
Огромное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2938424
Благодарность Георгию Карловичу	http://www.spr.ru/forum_vyvod.php?id_tema=2937181
Благодарность и низкий поклон Читанава Юрию Сергеевичу	http://www.spr.ru/forum_vyvod.php?id_tema=2921227
Огромная благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2902016
Низкий материнский поклон	http://www.spr.ru/forum_vyvod.php?id_tema=2885071
Благодарность Козаевой Татьяне Зауровне	http://www.spr.ru/forum_vyvod.php?id_tema=2863393
Большая благодарность Врачу от бога Просвириной Ирине Владимировне	http://www.spr.ru/forum_vyvod.php?id_tema=2862581
Благодарность Гончар Екатерине Ивановне	http://www.spr.ru/forum_vyvod.php?id_tema=2803464
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2690537
Благодарность Регине Ринатовне	http://www.spr.ru/forum_vyvod.php?id_tema=2673276
Благодарность Мариам Рафаэловне	http://www.spr.ru/forum_vyvod.php?id_tema=2647736
Низкий поклон	http://www.spr.ru/forum_vyvod.php?id_tema=2643070
Самое ценное	http://www.spr.ru/forum_vyvod.php?id_tema=2639784
Хорошая больница	http://www.spr.ru/forum_vyvod.php?id_tema=2624225
Спасибо Сигуле	http://www.spr.ru/forum_vyvod.php?id_tema=2593931
Зрите в корень	http://www.spr.ru/forum_vyvod.php?id_tema=2573243
Благодарность Анне Эмзарьевне	http://www.spr.ru/forum_vyvod.php?id_tema=2548365
Нормальная больница	http://www.spr.ru/forum_vyvod.php?id_tema=2519918
