name	url
Спасибо за операцию и отношение	http://www.spr.ru/forum_vyvod.php?id_tema=3476357
Благодарность Абоносимову Сергею Викторовичу	http://www.spr.ru/forum_vyvod.php?id_tema=3459477
Благодарность Лапченко	http://www.spr.ru/forum_vyvod.php?id_tema=3459435
Благодарность офтальмологу Жабину	http://www.spr.ru/forum_vyvod.php?id_tema=3458776
Благодарность Койава С С	http://www.spr.ru/forum_vyvod.php?id_tema=3455288
Благодарность Миронову	http://www.spr.ru/forum_vyvod.php?id_tema=3448555
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3428954
Искренне благодарна врачу-травматологу Феофанову	http://www.spr.ru/forum_vyvod.php?id_tema=3425064
Благодарность врачу	http://www.spr.ru/forum_vyvod.php?id_tema=3420723
Очень благодарна	http://www.spr.ru/forum_vyvod.php?id_tema=3417187
Благодарность отделению урологии	http://www.spr.ru/forum_vyvod.php?id_tema=3405847
Выражаю огромную благодарность Поматилову Алексею Алексеевичу	http://www.spr.ru/forum_vyvod.php?id_tema=3391942
Благодарность сотрудникам 12 неврологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3382311
Благодарность сотрудникам третьего хирургического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3380647
Благодарю Ордера Романа Яковлевича	http://www.spr.ru/forum_vyvod.php?id_tema=3371042
Гинекологическое отделение	http://www.spr.ru/forum_vyvod.php?id_tema=3355925
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3353323
Благодарность Дербеневой Марии Львовне	http://www.spr.ru/forum_vyvod.php?id_tema=3343264
Операция по удалению миндалин	http://www.spr.ru/forum_vyvod.php?id_tema=3330969
Благодарность врачу	http://www.spr.ru/forum_vyvod.php?id_tema=3301408
Большое спасибо всему ЛОР-отделению	http://www.spr.ru/forum_vyvod.php?id_tema=3286188
Благодарность Алле Александровне Неменовой	http://www.spr.ru/forum_vyvod.php?id_tema=3285112
Благодарность Велицкой	http://www.spr.ru/forum_vyvod.php?id_tema=3284113
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3271848
Огромная благодарность всему персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=3259727
Благодарность всему 36-му отделению (урология)	http://www.spr.ru/forum_vyvod.php?id_tema=3258999
Благодарность Солововой Лилие Дмитриевне	http://www.spr.ru/forum_vyvod.php?id_tema=3253138
Благодарность сотрудникам 26 травматологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3238633
Спасибо доктору и всему коллективу лор отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3230735
Благодарность Виктору Николаевичу Лобанову	http://www.spr.ru/forum_vyvod.php?id_tema=3228428
Благодарность Орлову Богдану Борисовичу	http://www.spr.ru/forum_vyvod.php?id_tema=3219839
Выражаем благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3205791
Благодарность врачам урологам	http://www.spr.ru/forum_vyvod.php?id_tema=3192961
Спасибо врачам 32 лор отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3191232
Низкий поклон	http://www.spr.ru/forum_vyvod.php?id_tema=3187659
Офтальмолог Бакунина Наталья Александровна	http://www.spr.ru/forum_vyvod.php?id_tema=3175615
Благодарность сотрудникам реанимации травматологии и Хакимову	http://www.spr.ru/forum_vyvod.php?id_tema=3175592
Отличный персонал	http://www.spr.ru/forum_vyvod.php?id_tema=3165676
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3148261
Благодарность заведующему отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3123126
Мне спасли жизнь	http://www.spr.ru/forum_vyvod.php?id_tema=3090403
Все замечательно	http://www.spr.ru/forum_vyvod.php?id_tema=3068898
Спасибо всем сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3035893
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3032495
Спасибо за жизнь	http://www.spr.ru/forum_vyvod.php?id_tema=3023026
Врач от Бога	http://www.spr.ru/forum_vyvod.php?id_tema=3021382
Большая благодарность всем сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3009410
Благодарность хирургическому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=3008834
Отлично	http://www.spr.ru/forum_vyvod.php?id_tema=3005982
Благодарить	http://www.spr.ru/forum_vyvod.php?id_tema=3004675
Благодарность Кузину Виктору Васильевичу	http://www.spr.ru/forum_vyvod.php?id_tema=3002253
Благодарность Магнитскому Леониду Алексеевичу	http://www.spr.ru/forum_vyvod.php?id_tema=2982111
Огромное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2951614
Отличная больница	http://www.spr.ru/forum_vyvod.php?id_tema=2946378
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2940232
Спасибо всему хирургическому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=2936267
Спасли лицо сына	http://www.spr.ru/forum_vyvod.php?id_tema=2923113
Действительно Первая	http://www.spr.ru/forum_vyvod.php?id_tema=2890568
Хорошая больница и врачи	http://www.spr.ru/forum_vyvod.php?id_tema=2888946
Благодарность врачу Перову Роману Александровичу	http://www.spr.ru/forum_vyvod.php?id_tema=2862266
Благодарность хирургическому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=2858691
Благодарность сотрудникам травматологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=2840414
Дышу и пьянею от кислорода	http://www.spr.ru/forum_vyvod.php?id_tema=2833601
Благодарность сотрудникам хирургического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=2829059
Благодарность сотрудникам третьего хирургического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=2819808
Сердечная благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2794291
Благодарность Кузину Виктору Васильевичу	http://www.spr.ru/forum_vyvod.php?id_tema=2784837
Благодарность сотрудникам и врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2768687
Приятно лечиться	http://www.spr.ru/forum_vyvod.php?id_tema=2765410
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2747869
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2743110
Позитив	http://www.spr.ru/forum_vyvod.php?id_tema=2674735
Благодарность и даже больше	http://www.spr.ru/forum_vyvod.php?id_tema=2630918
Красавица	http://www.spr.ru/forum_vyvod.php?id_tema=2616753
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2602838
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2598433
Спасибо огромное	http://www.spr.ru/forum_vyvod.php?id_tema=2585622
Спасибо за неоценимую помощь	http://www.spr.ru/forum_vyvod.php?id_tema=2574558
Благодарность врачу	http://www.spr.ru/forum_vyvod.php?id_tema=2571349
Благодарность неврологическому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=2514041
Огромная благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2491230
Не просто врачи	http://www.spr.ru/forum_vyvod.php?id_tema=2478687
Внимательные врачи в геникологии	http://www.spr.ru/forum_vyvod.php?id_tema=2471945
Низкий поклон врачам и медсестрам реанимации	http://www.spr.ru/forum_vyvod.php?id_tema=2461540
Благодарность хирургическому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=2444330
Отделение гинекологии	http://www.spr.ru/forum_vyvod.php?id_tema=2434555
Спасибо больнице Пирогова в Мурманске	http://www.spr.ru/forum_vyvod.php?id_tema=2413320
Замечательные врачи	http://www.spr.ru/forum_vyvod.php?id_tema=2390790
