name	url
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ИМ. Н.И. ПИРОГОВА	http://www.spr.ru/yakimanka/gorodskaya-klinicheskaya-bolnitsa-1-im-n-i-pirogova.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 36	http://www.spr.ru/sokolinaya-gora/gorodskaya-klinicheskaya-bolnitsa-36.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 50	http://www.spr.ru/timiryazevskiy/gorodskaya-klinicheskaya-bolnitsa-50.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ А.К. ЕРАМИШАНЦЕВА	http://www.spr.ru/babushkinskiy/gorodskaya-klinicheskaya-bolnitsa-imeni-a-k-eramishantseva-53519.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 57	http://www.spr.ru/vostochnoe-izmaylovo/gorodskaya-klinicheskaya-bolnitsa-57.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 24	http://www.spr.ru/savelovskiy/gorodskaya-klinicheskaya-bolnitsa-24-127217.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 12	http://www.spr.ru/tsaritsino/gorodskaya-klinicheskaya-bolnitsa-12.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 15 ИМ. О.М. ФИЛАТОВА	http://www.spr.ru/veshnyaki/gorodskaya-klinicheskaya-bolnitsa-15-im-o-m-filatova.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 67	http://www.spr.ru/horoshevo-mnevniki/gorodskaya-klinicheskaya-bolnitsa-67.html
КРАСНОГОРСКАЯ ГОРОДСКАЯ БОЛЬНИЦА № 1	http://www.spr.ru/krasnogorsk-i-krasnogorskiy-rayon/krasnogorskaya-gorodskaya-bolnitsa-1.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 7	http://www.spr.ru/nagatino-sadovniki/gorodskaya-klinicheskaya-bolnitsa-7.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 40	http://www.spr.ru/alekseevskiy/gorodskaya-klinicheskaya-bolnitsa-40.html
РАМЕНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/ramenskaya-tsentralnaya-rayonnaya-bolnitsa.html
ДЕТСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ З.А. БАШЛЯЕВОЙ	http://www.spr.ru/severnoe-tushino/detskaya-gorodskaya-klinicheskaya-bolnitsa-imeni-z-a-bashlyaevoy.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 79	http://www.spr.ru/nagatino-sadovniki/gorodskaya-klinicheskaya-bolnitsa-79.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 81	http://www.spr.ru/dmitrovskiy/gorodskaya-klinicheskaya-bolnitsa-81.html
СЕРГИЕВО-ПОСАДСКАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/sergiev-posad-i-sergievo-posadskiy-rayon/sergievo-posadskaya-rayonnaya-bolnitsa.html
ПОДОЛЬСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА	http://www.spr.ru/podolsk-i-podolskiy-rayon/podolskaya-gorodskaya-klinicheskaya-bolnitsa.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 5	http://www.spr.ru/sokolniki/gorodskaya-klinicheskaya-bolnitsa-5-935503.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 71	http://www.spr.ru/mozhayskiy/gorodskaya-klinicheskaya-bolnitsa-71.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 4	http://www.spr.ru/danilovskiy/gorodskaya-klinicheskaya-bolnitsa-4.html
КОЛОМЕНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/kolomna-i-kolomenskiy-rayon/kolomenskaya-tsentralnaya-rayonnaya-bolnitsa.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 13	http://www.spr.ru/yuzhnoportoviy/gorodskaya-klinicheskaya-bolnitsa-13.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 70	http://www.spr.ru/perovo/gorodskaya-klinicheskaya-bolnitsa-70.html
МЫТИЩИНСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА	http://www.spr.ru/mitischi-i-mitischinskiy-rayon/mitischinskaya-gorodskaya-klinicheskaya-bolnitsa.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 51	http://www.spr.ru/filevskiy-park/gorodskaya-klinicheskaya-bolnitsa-51.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 52	http://www.spr.ru/schukino/gorodskaya-klinicheskaya-bolnitsa-52.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ И.В. ДАВЫДОВСКОГО	http://www.spr.ru/taganskiy/gorodskaya-klinicheskaya-bolnitsa-imeni-i-v-davidovskogo.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 64	http://www.spr.ru/akademicheskiy/gorodskaya-klinicheskaya-bolnitsa-64.html
НОГИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/noginsk-i-noginskiy-rayon/noginskaya-tsentralnaya-rayonnaya-bolnitsa.html
ГОРОДСКАЯ БОЛЬНИЦА № 17	http://www.spr.ru/solntsevo/gorodskaya-bolnitsa-17.html
Детская поликлиника № 1, НОГИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/noginsk-i-noginskiy-rayon/detskaya-poliklinika-1-216932.html
НИИ СКОРОЙ ПОМОЩИ ИМ. Н.В. СКЛИФОСОВСКОГО	http://www.spr.ru/meschanskiy/nii-skoroy-pomoschi-im-n-v-sklifosovskogo.html
ЦЕНТРАЛЬНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА РАН	http://www.spr.ru/yasenevo/tsentralnaya-klinicheskaya-bolnitsa-ran.html
