name	url
Благодарность отделению отоларингологии	http://www.spr.ru/forum_vyvod.php?id_tema=3473232
Благодарность нейрохирургическому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=3472172
Благодарность заведующему второго отделения Зуеву	http://www.spr.ru/forum_vyvod.php?id_tema=3470477
Огромное спасибо Золотухину Сергею Юрьевичу	http://www.spr.ru/forum_vyvod.php?id_tema=3467254
Благодарность отделению урологии	http://www.spr.ru/forum_vyvod.php?id_tema=3466763
Благодарность сотрудникам отделения офтальмологии	http://www.spr.ru/forum_vyvod.php?id_tema=3456951
Отзыв	http://www.spr.ru/forum_vyvod.php?id_tema=3451069
Замечательная клиника и прекрасные врачи	http://www.spr.ru/forum_vyvod.php?id_tema=3445206
Благодарность профессору	http://www.spr.ru/forum_vyvod.php?id_tema=3431323
Не ожидала от отечественной медицины такого подарка	http://www.spr.ru/forum_vyvod.php?id_tema=3426535
Благодарность Савчуку Олегу Владимировичу	http://www.spr.ru/forum_vyvod.php?id_tema=3426342
Благодарность сотрудникам нейрохирургии №1	http://www.spr.ru/forum_vyvod.php?id_tema=3422632
Благодарность сотрудникам хирургии (эндокринология и онкология)	http://www.spr.ru/forum_vyvod.php?id_tema=3418927
Отделение урологии и Брук Юрий Федерович	http://www.spr.ru/forum_vyvod.php?id_tema=3417665
Благодарность Матусову	http://www.spr.ru/forum_vyvod.php?id_tema=3415891
Благодарность доктору Столярову Алексею Александровичу	http://www.spr.ru/forum_vyvod.php?id_tema=3415671
Большое спасибо сотрудникам ФГБУ НМЦХ имени Пирогова	http://www.spr.ru/forum_vyvod.php?id_tema=3408869
Благодарность первой хирургии	http://www.spr.ru/forum_vyvod.php?id_tema=3401020
Германович - врач от бога	http://www.spr.ru/forum_vyvod.php?id_tema=3392734
Благодарность за бабушку	http://www.spr.ru/forum_vyvod.php?id_tema=3392292
Благодарность отделению 1 хирургии	http://www.spr.ru/forum_vyvod.php?id_tema=3389481
Благодарность сотрудникам отделения урологии	http://www.spr.ru/forum_vyvod.php?id_tema=3389313
Благодарность хирургу Янкину Павлу Львовичу	http://www.spr.ru/forum_vyvod.php?id_tema=3386803
Благодарность первому отделению нейрохирургии	http://www.spr.ru/forum_vyvod.php?id_tema=3386685
Благодарность первому хирургическому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=3386212
Огоромное спасибо сотрудникам 1 хирургического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3384051
Благодарность сотрудникам первого хирургического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3383876
Благодарность сотрудникам 1 хирургического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3379564
Большое спасибо Животову Владимиру Анатольевичу	http://www.spr.ru/forum_vyvod.php?id_tema=3377574
Благодарность второй хирургии	http://www.spr.ru/forum_vyvod.php?id_tema=3362218
Благодарность хирургу Геращенко Александру Витальевичу	http://www.spr.ru/forum_vyvod.php?id_tema=3361305
Благодарность сотрудникам отделения эндокринной хирургии	http://www.spr.ru/forum_vyvod.php?id_tema=3345103
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3331448
Огромная сердечная благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3330195
Прекрасная клиника	http://www.spr.ru/forum_vyvod.php?id_tema=3324830
Большое спасибо замечательному медицинскому персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=3323870
Благодарность хирургу Золотухину	http://www.spr.ru/forum_vyvod.php?id_tema=3318863
Хочу выразить благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=3311328
Глубокая признательность сотрудникам 1 хирургического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3298311
Благодарность Апостолиди и всему отделению оториноларингологии	http://www.spr.ru/forum_vyvod.php?id_tema=3292457
Благодарность сотрудником нейрохирургии	http://www.spr.ru/forum_vyvod.php?id_tema=3275893
Благодарность 2ой хирургии	http://www.spr.ru/forum_vyvod.php?id_tema=3272748
Благодарность сотрудникам 1 хирургии	http://www.spr.ru/forum_vyvod.php?id_tema=3264656
Благодарность персоналу нейрососудистого отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3262214
