name	url
Благодарность Соболевой Евгении Юлиановне	http://www.spr.ru/forum_vyvod.php?id_tema=3470537
Благодарность Николаеву и всему урологическому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=3464162
О вежливости Абдулаева	http://www.spr.ru/forum_vyvod.php?id_tema=3459735
Благодарность врачам отделения нейрохирургии	http://www.spr.ru/forum_vyvod.php?id_tema=3437587
Благодарность Николаеву	http://www.spr.ru/forum_vyvod.php?id_tema=3422755
Благодарность врачам нейрохирургии	http://www.spr.ru/forum_vyvod.php?id_tema=3422413
Благодарим нейрохирурга Рещикова и заведующего Пальм	http://www.spr.ru/forum_vyvod.php?id_tema=3394307
Благодарность нейрохирургу Рещикову Дмитрию Александровичу	http://www.spr.ru/forum_vyvod.php?id_tema=3391721
Благодарность урологам Российской Детской клинической больницы	http://www.spr.ru/forum_vyvod.php?id_tema=3361225
Благодарность врачу нейрохирургу Рещикову Дмитрию Александровичу	http://www.spr.ru/forum_vyvod.php?id_tema=3346642
Благодарность врачам урологии	http://www.spr.ru/forum_vyvod.php?id_tema=3336118
Отзыв о лечении в урологическом отделении	http://www.spr.ru/forum_vyvod.php?id_tema=3333284
Благодарность врачу Пономаревой Анне Петровне	http://www.spr.ru/forum_vyvod.php?id_tema=3326616
Благодарность профессору Николаеву Василию Викторовичу	http://www.spr.ru/forum_vyvod.php?id_tema=3315028
Благодарность Кузнецовой Юлии Дмитриевне	http://www.spr.ru/forum_vyvod.php?id_tema=3314252
Благодарность Василию Викторовичу Николаеву	http://www.spr.ru/forum_vyvod.php?id_tema=3311580
Благодарность врачу Козловскому	http://www.spr.ru/forum_vyvod.php?id_tema=3310473
Благодарность Гусенову Анару Яшаровичу	http://www.spr.ru/forum_vyvod.php?id_tema=3306820
Благодарность РДКБ	http://www.spr.ru/forum_vyvod.php?id_tema=3302491
Благодарю врача Козырева Германа Владимировича	http://www.spr.ru/forum_vyvod.php?id_tema=3285917
Благодарю своих врачей	http://www.spr.ru/forum_vyvod.php?id_tema=3285886
В целом хорошая больница	http://www.spr.ru/forum_vyvod.php?id_tema=3280800
Благодарность Козловскому Андрею Станиславовичу	http://www.spr.ru/forum_vyvod.php?id_tema=3262806
Онкоотделение	http://www.spr.ru/forum_vyvod.php?id_tema=3261861
Благодарность профессору Василию Викторовичу Николаеву	http://www.spr.ru/forum_vyvod.php?id_tema=3251175
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3239896
Благодарность врачу Лывиной	http://www.spr.ru/forum_vyvod.php?id_tema=3218373
Благодарю уролога Козырева Германа Владимировича	http://www.spr.ru/forum_vyvod.php?id_tema=3213438
Офтальмология	http://www.spr.ru/forum_vyvod.php?id_tema=3212192
Спасибо Козыреву	http://www.spr.ru/forum_vyvod.php?id_tema=3191231
Благодарность сотрудику	http://www.spr.ru/forum_vyvod.php?id_tema=3187250
Благодарность врачам урологии	http://www.spr.ru/forum_vyvod.php?id_tema=3161138
Вопрос	http://www.spr.ru/forum_vyvod.php?id_tema=3157174
Николаву Василию Викторовичу благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3153385
Сутрудникам урологии благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3150259
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3144232
Спасибо Щеголевой Наталье Евгеньевне	http://www.spr.ru/forum_vyvod.php?id_tema=3140847
Огромное спасибо Полюдову	http://www.spr.ru/forum_vyvod.php?id_tema=3137228
Огромная благодарность профессору хирургу Николаеву	http://www.spr.ru/forum_vyvod.php?id_tema=3112783
Спасибо врачам онкологии	http://www.spr.ru/forum_vyvod.php?id_tema=3110240
Огромное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3103001
Спасибо доктор	http://www.spr.ru/forum_vyvod.php?id_tema=3096591
Благодарность Лывиной Ирме Петровне	http://www.spr.ru/forum_vyvod.php?id_tema=3087007
Впечатления	http://www.spr.ru/forum_vyvod.php?id_tema=3082725
Благодарность Кобяцкому	http://www.spr.ru/forum_vyvod.php?id_tema=3081509
Благодарность доктору	http://www.spr.ru/forum_vyvod.php?id_tema=3066376
Спасибо доктору	http://www.spr.ru/forum_vyvod.php?id_tema=3052769
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3023825
Низкий поклон хирургам	http://www.spr.ru/forum_vyvod.php?id_tema=3014993
Супер доктор	http://www.spr.ru/forum_vyvod.php?id_tema=3007707
Огромная благодарность врачу	http://www.spr.ru/forum_vyvod.php?id_tema=2994187
Родители гематологии	http://www.spr.ru/forum_vyvod.php?id_tema=2979706
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2976086
Спасибо нашим докторам	http://www.spr.ru/forum_vyvod.php?id_tema=2975538
Большое человеческое спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2975434
Спасибо доктору	http://www.spr.ru/forum_vyvod.php?id_tema=2971753
Благодарность врачам отделения трансплантации костного мозга	http://www.spr.ru/forum_vyvod.php?id_tema=2947753
Спасибо врачам лор отделения	http://www.spr.ru/forum_vyvod.php?id_tema=2942031
Большое спасибо хирургам и лечащим врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2938832
Благодарность отделению эндокринологии	http://www.spr.ru/forum_vyvod.php?id_tema=2932860
Благодарность и низкий поклон врачам отделения колопроктологии	http://www.spr.ru/forum_vyvod.php?id_tema=2923843
Отличная клиника	http://www.spr.ru/forum_vyvod.php?id_tema=2895255
Огромная благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2890749
Низкий поклон лечащему врачу	http://www.spr.ru/forum_vyvod.php?id_tema=2890736
Благодарность любимому доктору Поляковой Надежде Вадимовне	http://www.spr.ru/forum_vyvod.php?id_tema=2890720
Благодарность сотрудникам колопроктологии	http://www.spr.ru/forum_vyvod.php?id_tema=2886002
Огромное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2883989
Спасибо за жизнь	http://www.spr.ru/forum_vyvod.php?id_tema=2876248
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2876215
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2876208
Спасибо за оказанную помощь моему ребенку	http://www.spr.ru/forum_vyvod.php?id_tema=2853966
Спасибо сотрудникам больницы	http://www.spr.ru/forum_vyvod.php?id_tema=2808074
Огромная благодарность отделению гастроэнтерологии	http://www.spr.ru/forum_vyvod.php?id_tema=2800641
Благодарность врачам отделения лазерной хирургии	http://www.spr.ru/forum_vyvod.php?id_tema=2790727
Врачи от Бога	http://www.spr.ru/forum_vyvod.php?id_tema=2779943
Огромнейшая благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2769387
Детская урология	http://www.spr.ru/forum_vyvod.php?id_tema=2764589
Спасибо огромное за сынулю	http://www.spr.ru/forum_vyvod.php?id_tema=2759082
Благодарность лечащему доктору	http://www.spr.ru/forum_vyvod.php?id_tema=2752883
Низкий поклон врачам урологии	http://www.spr.ru/forum_vyvod.php?id_tema=2747954
Благодарность персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=2745149
Огромное спасибо врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2737604
Огромная благодарность Козыреву Герману Владимировичу	http://www.spr.ru/forum_vyvod.php?id_tema=2718662
Большое спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2715484
Благодарность профессору	http://www.spr.ru/forum_vyvod.php?id_tema=2713520
Спасибо врачам урологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=2689464
Хорошая больница	http://www.spr.ru/forum_vyvod.php?id_tema=2665748
Поздравления врачам нефрологам	http://www.spr.ru/forum_vyvod.php?id_tema=2619115
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2606665
Огромная благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2594915
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2585426
Большая благодарность Козыреву Герману Владимировичу	http://www.spr.ru/forum_vyvod.php?id_tema=2584436
Слова благодарности сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2569945
Выражаю огромную благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2560079
Благодарность лечащему врачу	http://www.spr.ru/forum_vyvod.php?id_tema=2541498
Всю жизнь буду молиться на этих специалистов	http://www.spr.ru/forum_vyvod.php?id_tema=2529170
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2511114
Хочу поблагодарить сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=2481636
Хочу поблагодарить	http://www.spr.ru/forum_vyvod.php?id_tema=2459212
Благодарность отделению	http://www.spr.ru/forum_vyvod.php?id_tema=2355603
Хочу поблагодарить врача	http://www.spr.ru/forum_vyvod.php?id_tema=2354678
Спасибо врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2330037
Хочу поблагодарить сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=2329853
Неоценимая помощь	http://www.spr.ru/forum_vyvod.php?id_tema=2287433
Профессиональная помощь	http://www.spr.ru/forum_vyvod.php?id_tema=2287432
Спасибо огромное	http://www.spr.ru/forum_vyvod.php?id_tema=2282990
Хочу поблагодарить заведующую дневного стационара отделения № 27	http://www.spr.ru/forum_vyvod.php?id_tema=2274547
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2268004
В урологии отличные врачи	http://www.spr.ru/forum_vyvod.php?id_tema=2253693
Спасибо за сына	http://www.spr.ru/forum_vyvod.php?id_tema=2223328
Хочу поблагодарить	http://www.spr.ru/forum_vyvod.php?id_tema=2201836
Ваша харизма очень поддержала	http://www.spr.ru/forum_vyvod.php?id_tema=2197773
Огромное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2196337
Высокий профессионализм	http://www.spr.ru/forum_vyvod.php?id_tema=2169408
Благодарю Козырева Германа Владимировича	http://www.spr.ru/forum_vyvod.php?id_tema=2120136
Хочу выразить огромную благодарность врачу	http://www.spr.ru/forum_vyvod.php?id_tema=2108749
Благодарность врачам онкологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=711129
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=702664
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=661543
Хочу поблагодарить медицинский персонал	http://www.spr.ru/forum_vyvod.php?id_tema=647286
Огромное вам спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=627121
Хочу поблагодарить лечащего врача	http://www.spr.ru/forum_vyvod.php?id_tema=626328
Поблагодарить врача гастроэнтерологии Матину Ирину Александровну	http://www.spr.ru/forum_vyvod.php?id_tema=623956
Хочу поблагодарить лечащего врача	http://www.spr.ru/forum_vyvod.php?id_tema=618724
Хочу поблагодарить врачей РДКБ	http://www.spr.ru/forum_vyvod.php?id_tema=613708
Хочу поблагодарить врачей от Бога	http://www.spr.ru/forum_vyvod.php?id_tema=474864
Благодарность врачу	http://www.spr.ru/forum_vyvod.php?id_tema=392234
Благодарю	http://www.spr.ru/forum_vyvod.php?id_tema=390989
Очень плохое отношение	http://www.spr.ru/forum_vyvod.php?id_tema=3471509
Консультация гастроэнтеролога	http://www.spr.ru/forum_vyvod.php?id_tema=3334368
О поликлинике	http://www.spr.ru/forum_vyvod.php?id_tema=3314237
Записались на прием к врачу	http://www.spr.ru/forum_vyvod.php?id_tema=3305791
Блогодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=3283282
Ужасное питание	http://www.spr.ru/forum_vyvod.php?id_tema=3266546
Работа больницы	http://www.spr.ru/forum_vyvod.php?id_tema=3260823
10 инфекционный блок	http://www.spr.ru/forum_vyvod.php?id_tema=3229753
Не только моем пол	http://www.spr.ru/forum_vyvod.php?id_tema=3228329
Отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=3225234
Отвратительное место	http://www.spr.ru/forum_vyvod.php?id_tema=3225156
Минусы госпитализации	http://www.spr.ru/forum_vyvod.php?id_tema=3191224
Равнодушие и безразличие медперсонала	http://www.spr.ru/forum_vyvod.php?id_tema=3185682
Кассир на кассе	http://www.spr.ru/forum_vyvod.php?id_tema=3180610
Горький опыт	http://www.spr.ru/forum_vyvod.php?id_tema=3125856
Антисанитарные условия	http://www.spr.ru/forum_vyvod.php?id_tema=3125504
Еще одно замечание	http://www.spr.ru/forum_vyvod.php?id_tema=3110287
Для чего нужны санитарки	http://www.spr.ru/forum_vyvod.php?id_tema=3106681
Старшая медсестра	http://www.spr.ru/forum_vyvod.php?id_tema=3088963
