name	url
РОССИЙСКАЯ ДЕТСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА	http://www.spr.ru/obruchevskiy/rossiyskaya-detskaya-klinicheskaya-bolnitsa.html
МОРОЗОВСКАЯ ДЕТСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА	http://www.spr.ru/yakimanka/morozovskaya-detskaya-gorodskaya-klinicheskaya-bolnitsa.html
ДЕТСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 13 ИМЕНИ Н.Ф. ФИЛАТОВА	http://www.spr.ru/presnenskiy/detskaya-gorodskaya-klinicheskaya-bolnitsa-13-imeni-n-f-filatova.html
ДЕТСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 9 ИМЕНИ Г.Н. СПЕРАНСКОГО	http://www.spr.ru/presnenskiy/detskaya-gorodskaya-klinicheskaya-bolnitsa-9-imeni-g-n-speranskogo.html
ДЕТСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА СВЯТОГО ВЛАДИМИРА	http://www.spr.ru/sokolniki/detskaya-gorodskaya-klinicheskaya-bolnitsa-svyatogo-vladimira-935506.html
ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА № 19 ИМ. Т.С. ЗАЦЕПИНА	http://www.spr.ru/preobrazhenskoe/detskaya-gorodskaya-bolnitsa-19-im-t-s-zatsepina.html
ДЕТСКАЯ ИНФЕКЦИОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 6	http://www.spr.ru/golovinskiy/detskaya-infektsionnaya-klinicheskaya-bolnitsa-6.html
ИЗМАЙЛОВСКАЯ ДЕТСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА	http://www.spr.ru/vostochnoe-izmaylovo/izmaylovskaya-detskaya-gorodskaya-klinicheskaya-bolnitsa.html
НИИ НЕОТЛОЖНОЙ ДЕТСКОЙ ХИРУРГИИ И ТРАВМАТОЛОГИИ	http://www.spr.ru/yakimanka/nii-neotlozhnoy-detskoy-hirurgii-i-travmatologii.html
ДЕТСКАЯ БОЛЬНИЦА	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/detskaya-bolnitsa-1909184.html
ДЕТСКАЯ БОЛЬНИЦА № 3, окружной детский консультативно-диагностический центр	http://www.spr.ru/sviblovo/detskaya-bolnitsa-3.html
ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА № 21	http://www.spr.ru/sviblovo/detskaya-gorodskaya-bolnitsa-21.html
ЛЮБЕРЕЦКАЯ ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/lyuberetskaya-detskaya-gorodskaya-bolnitsa.html
Глазная консультативная поликлиника, МОРОЗОВСКАЯ ДЕТСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА	http://www.spr.ru/yakimanka/glaznaya-konsultativnaya-poliklinika.html
КОЛОМЕНСКАЯ ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА	http://www.spr.ru/kolomna-i-kolomenskiy-rayon/kolomenskaya-detskaya-gorodskaya-bolnitsa.html
Консультативная поликлиника, РОССИЙСКАЯ ДЕТСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА	http://www.spr.ru/obruchevskiy/konsultativnaya-poliklinika-28364.html
ОДИНЦОВСКАЯ ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/odintsovskaya-detskaya-gorodskaya-bolnitsa.html
РАМЕНСКАЯ ГОРОДСКАЯ ДЕТСКАЯ БОЛЬНИЦА	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/ramenskaya-gorodskaya-detskaya-bolnitsa.html
ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА	http://www.spr.ru/klin-i-klinskiy-rayon/detskaya-gorodskaya-bolnitsa.html
МОСКОВСКИЙ ОБЛАСТНОЙ КОНСУЛЬТАТИВНО-ДИАГНОСТИЧЕСКИЙ ЦЕНТР ДЛЯ ДЕТЕЙ, педиатрическое отделение восстановительного лечения и реабилитации	http://www.spr.ru/himki-i-gorodskoy-okrug-himki/moskovskiy-oblastnoy-konsultativno-diagnosticheskiy-tsentr-dlya-detey-204769.html
ЦЕНТРАЛЬНАЯ ДЕТСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА	http://www.spr.ru/moskvoreche-saburovo/tsentralnaya-detskaya-klinicheskaya-bolnitsa.html
ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА	http://www.spr.ru/serpuhov-i-serpuhovskiy-rayon/detskaya-gorodskaya-bolnitsa-221387.html
ПОДОЛЬСКАЯ ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА	http://www.spr.ru/podolsk-i-podolskiy-rayon/podolskaya-detskaya-gorodskaya-bolnitsa.html
ДЕТСКАЯ БОЛЬНИЦА № 19 ИМ. Т.С. ЗАЦЕПИНА, Загородное отделение	http://www.spr.ru/dmitrov-i-dmitrovskiy-rayon/detskaya-bolnitsa-19-im-t-s-zatsepina.html
ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА ВОССТАНОВИТЕЛЬНОГО ЛЕЧЕНИЯ № 3	http://www.spr.ru/ruza-i-ruzskiy-rayon/detskaya-gorodskaya-bolnitsa-vosstanovitelnogo-lecheniya-3.html
ДЕТСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 9 ИМ. Г.Н. СПЕРАНСКОГО, инфекционное отделение	http://www.spr.ru/filevskiy-park/detskaya-gorodskaya-klinicheskaya-bolnitsa-9-im-g-n-speranskogo-241532.html
ДЕТСКАЯ ИНФЕКЦИОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 12	http://www.spr.ru/begovoy/detskaya-infektsionnaya-klinicheskaya-bolnitsa-12.html
ЕГОРЬЕВСКАЯ ДЕТСКАЯ БОЛЬНИЦА	http://www.spr.ru/egorevsk-i-egorevskiy-rayon/egorevskaya-detskaya-bolnitsa.html
Педиатрический корпус, ХИМКИНСКАЯ ЦЕНТРАЛЬНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА	http://www.spr.ru/himki-i-gorodskoy-okrug-himki/pediatricheskiy-korpus.html
ДЕТСКАЯ БОЛЬНИЦА	http://www.spr.ru/zhukovskiy-i-gorodskoy-okrug-zhukovskiy/detskaya-bolnitsa-1009442.html
ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА	http://www.spr.ru/noginsk-i-noginskiy-rayon/detskaya-gorodskaya-bolnitsa-216925.html
ДЕТСКАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА № 4	http://www.spr.ru/koptevo/detskaya-infektsionnaya-bolnitsa-4.html
ДЕТСКАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА № 8	http://www.spr.ru/hamovniki/detskaya-infektsionnaya-bolnitsa-8.html
Детское отделение, ПАВЛОВО-ПОСАДСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/pavlovskiy-posad-i-pavlovo-posadskiy-rayon/detskoe-otdelenie-219551.html
Детское терапевтическое отделение, РАЙОННАЯ БОЛЬНИЦА № 1	http://www.spr.ru/schelkovo-i-schelkovskiy-rayon/detskoe-terapevticheskoe-otdelenie.html
МОРОЗОВСКАЯ ДЕТСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА, офтальмологическое санаторное отделение	http://www.spr.ru/prospekt-vernadskogo/morozovskaya-detskaya-klinicheskaya-bolnitsa.html
НЕБОЛЕЙКА, детская клиника	http://www.spr.ru/brateevo/neboleyka.html
Педиатрическое отделение, ДОМОДЕДОВСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА	http://www.spr.ru/domodedovo-i-gorodskoy-okrug-domodedovo/pediatricheskoe-otdelenie-962721.html
Центр здоровья для детей, ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ГОРОДА РЕУТОВ	http://www.spr.ru/reutov-i-gorodskoy-okrug-reutov/tsentr-zdorovya-dlya-detey.html
ЭЛЕКТРОСТАЛЬСКАЯ ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА	http://www.spr.ru/elektrostal-i-gorodskoy-okrug-elektrostal/elektrostalskaya-detskaya-gorodskaya-bolnitsa.html
Детская больница, ЦМСЧ № 21	http://www.spr.ru/elektrostal-i-gorodskoy-okrug-elektrostal/detskaya-bolnitsa-986571.html
Детское отделение, КУРОВСКАЯ ГОРОДСКАЯ БОЛЬНИЦА	http://www.spr.ru/orehovo-zuevo-i-orehovo-zuevskiy-rayon/detskoe-otdelenie-4426130.html
УНИВЕРСИТЕТСКАЯ ДЕТСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА, клинико-диагностическое отделение	http://www.spr.ru/hamovniki/universitetskaya-detskaya-klinicheskaya-bolnitsa.html
