name	url
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3463298
Благодарность всему коллективу	http://www.spr.ru/forum_vyvod.php?id_tema=3462212
Благодарность Петровой Ирине Сергеевне	http://www.spr.ru/forum_vyvod.php?id_tema=3446864
Благодарен сотрудникам больницы	http://www.spr.ru/forum_vyvod.php?id_tema=3433450
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3432424
Отличная больница	http://www.spr.ru/forum_vyvod.php?id_tema=3411463
Отделению третьему посвящается	http://www.spr.ru/forum_vyvod.php?id_tema=3380079
Моя благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3353494
11 боксовое отделение	http://www.spr.ru/forum_vyvod.php?id_tema=3322804
Блaгодaрность Сaфоновой	http://www.spr.ru/forum_vyvod.php?id_tema=3317083
Благодарна Сафоновой	http://www.spr.ru/forum_vyvod.php?id_tema=3315638
Спасибо Сафоновой Ольге Александровне	http://www.spr.ru/forum_vyvod.php?id_tema=3315617
Благодарность врачами и сотрудникам ИКБ № 16, акушерское отделение	http://www.spr.ru/forum_vyvod.php?id_tema=3284769
Не верьте всем отрицательным отзывам	http://www.spr.ru/forum_vyvod.php?id_tema=3281799
Не всё так плохо	http://www.spr.ru/forum_vyvod.php?id_tema=3281556
Чистота и порядок	http://www.spr.ru/forum_vyvod.php?id_tema=3270397
Благодарность Серегиной	http://www.spr.ru/forum_vyvod.php?id_tema=3264944
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3261219
Врачи	http://www.spr.ru/forum_vyvod.php?id_tema=3238786
Благодарность сотрудникам четвертого отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3217279
Медицинская сестра	http://www.spr.ru/forum_vyvod.php?id_tema=3182779
Спасибо главному врачу за такой состав	http://www.spr.ru/forum_vyvod.php?id_tema=3180664
Благодарность сотрудникам реанимации	http://www.spr.ru/forum_vyvod.php?id_tema=3169979
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3101974
Огромное спасибо сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3098421
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3067323
Лечение в платной палате	http://www.spr.ru/forum_vyvod.php?id_tema=3066225
Сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3061774
Лакунарная ангина	http://www.spr.ru/forum_vyvod.php?id_tema=3053022
Всему одиннадцатому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=3051807
Всему тринадцатому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=3024483
Всем огромное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2992148
Спасибо всем сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2987783
Хорошая больница	http://www.spr.ru/forum_vyvod.php?id_tema=2982401
Прекрасно отдохнула	http://www.spr.ru/forum_vyvod.php?id_tema=2951497
На лечении	http://www.spr.ru/forum_vyvod.php?id_tema=2932974
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2931588
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2931133
Благодарность персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=2927000
Спасибо всем	http://www.spr.ru/forum_vyvod.php?id_tema=2902248
Хорошая больница	http://www.spr.ru/forum_vyvod.php?id_tema=2893536
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2858859
Большая благодарность всем сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2827867
Благодарность персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=2826617
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2824033
Халатность	http://www.spr.ru/forum_vyvod.php?id_tema=2823227
