name	url
ИНФЕКЦИОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1	http://www.spr.ru/pokrovskoe-streshnevo/infektsionnaya-klinicheskaya-bolnitsa-1.html
ИНФЕКЦИОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 2	http://www.spr.ru/sokolinaya-gora/infektsionnaya-klinicheskaya-bolnitsa-2.html
Инфекционное отделение, СЕРПУХОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/serpuhov-i-serpuhovskiy-rayon/infektsionnoe-otdelenie.html
Детское инфекционное отделение, КРАСНОГОРСКАЯ ГОРОДСКАЯ БОЛЬНИЦА № 2	http://www.spr.ru/krasnogorsk-i-krasnogorskiy-rayon/detskoe-infektsionnoe-otdelenie.html
РАМЕНСКАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/ramenskaya-infektsionnaya-bolnitsa.html
ИНФЕКЦИОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 3	http://www.spr.ru/pechatniki/infektsionnaya-klinicheskaya-bolnitsa-3.html
Инфекционное отделение, ВЫСОКОВСКАЯ ГОРОДСКАЯ БОЛЬНИЦА	http://www.spr.ru/klin-i-klinskiy-rayon/infektsionnoe-otdelenie-981997.html
Детское инфекционное отделение, НАРО-ФОМИНСКАЯ РАЙОННАЯ БОЛЬНИЦА № 1	http://www.spr.ru/naro-fominsk-i-naro-fominskiy-rayon/detskoe-infektsionnoe-otdelenie-933122.html
ДЕТСКАЯ ИНФЕКЦИОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 5	http://www.spr.ru/yaroslavskiy/detskaya-infektsionnaya-klinicheskaya-bolnitsa-5.html
Инфекционное отделение, ЛИКИНСКАЯ ГОРОДСКАЯ БОЛЬНИЦА	http://www.spr.ru/orehovo-zuevo-i-orehovo-zuevskiy-rayon/infektsionnoe-otdelenie-973057.html
