name	url
Спасители настоящие	http://www.spr.ru/forum_vyvod.php?id_tema=3395325
Уважаю	http://www.spr.ru/forum_vyvod.php?id_tema=3358991
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3211480
25 отделение	http://www.spr.ru/forum_vyvod.php?id_tema=3201141
Можно ложиться как на курорт	http://www.spr.ru/forum_vyvod.php?id_tema=3183151
Лучшая больница в России	http://www.spr.ru/forum_vyvod.php?id_tema=3182066
Отличная больничка	http://www.spr.ru/forum_vyvod.php?id_tema=3166165
Отличная больница	http://www.spr.ru/forum_vyvod.php?id_tema=3090724
Благодарность за лечение	http://www.spr.ru/forum_vyvod.php?id_tema=3062513
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2977209
Благодарность сотрудникам Реанимации и другим специалистам	http://www.spr.ru/forum_vyvod.php?id_tema=2964444
Дневной стационар на Варшавке	http://www.spr.ru/forum_vyvod.php?id_tema=2947471
Впечатление о лежании в больнице	http://www.spr.ru/forum_vyvod.php?id_tema=2938461
Плохое питание и отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=2862164
Как это было	http://www.spr.ru/forum_vyvod.php?id_tema=2826234
Отличное отделение номер шесть	http://www.spr.ru/forum_vyvod.php?id_tema=2820741
Хорошее лечение	http://www.spr.ru/forum_vyvod.php?id_tema=2794565
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2790732
Вот это и произошло	http://www.spr.ru/forum_vyvod.php?id_tema=2775860
Торчки не правы	http://www.spr.ru/forum_vyvod.php?id_tema=2745503
Благодарность всему персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=2679210
Семнашка это последняя соломинка	http://www.spr.ru/forum_vyvod.php?id_tema=2667130
Отзывы правдивые	http://www.spr.ru/forum_vyvod.php?id_tema=2591815
Неоднозначные впечатления	http://www.spr.ru/forum_vyvod.php?id_tema=2577150
Много смеялся	http://www.spr.ru/forum_vyvod.php?id_tema=2558505
Высокий профессионализм	http://www.spr.ru/forum_vyvod.php?id_tema=2439619
Хочу поблагодарить сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=2373966
Очень благодарна	http://www.spr.ru/forum_vyvod.php?id_tema=2362071
Нормальная больница	http://www.spr.ru/forum_vyvod.php?id_tema=2237642
Положила туда отца	http://www.spr.ru/forum_vyvod.php?id_tema=2199756
Спасибо за то, что Вы есть	http://www.spr.ru/forum_vyvod.php?id_tema=663498
Все мне в этой больнице нравиться	http://www.spr.ru/forum_vyvod.php?id_tema=445993
Хорошая больница несмотря на все запреты	http://www.spr.ru/forum_vyvod.php?id_tema=445989
Отлично себя чуствую	http://www.spr.ru/forum_vyvod.php?id_tema=445986
Всё супер	http://www.spr.ru/forum_vyvod.php?id_tema=445984
Хочу выразить благодарность медперсоналу	http://www.spr.ru/forum_vyvod.php?id_tema=445982
Благодарю врачей 11 отделения за помощь в лечении моего сына	http://www.spr.ru/forum_vyvod.php?id_tema=445970
Огромная благодарность врачам 30 отделения	http://www.spr.ru/forum_vyvod.php?id_tema=445965
Грамотные специалисты	http://www.spr.ru/forum_vyvod.php?id_tema=445963
Огромное спасибо всему медперсоналу	http://www.spr.ru/forum_vyvod.php?id_tema=445956
Спасибо всему персоналу отделения № 27	http://www.spr.ru/forum_vyvod.php?id_tema=392860
С 8 марта	http://www.spr.ru/forum_vyvod.php?id_tema=357763
Берут деньги	http://www.spr.ru/forum_vyvod.php?id_tema=3364997
Просьба написать мне на почту	http://www.spr.ru/forum_vyvod.php?id_tema=3364834
Плохие изменения в отделениях	http://www.spr.ru/forum_vyvod.php?id_tema=3327014
Ничего плохого	http://www.spr.ru/forum_vyvod.php?id_tema=3310565
Много раз лежала в этой больничке	http://www.spr.ru/forum_vyvod.php?id_tema=3309892
Ужасное отношение персонала	http://www.spr.ru/forum_vyvod.php?id_tema=3305221
Пропали вещи	http://www.spr.ru/forum_vyvod.php?id_tema=3228094
13 отделение	http://www.spr.ru/forum_vyvod.php?id_tema=3201165
Отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=3048244
Отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=3045575
На лечении	http://www.spr.ru/forum_vyvod.php?id_tema=3039020
Отсутствие безопасности	http://www.spr.ru/forum_vyvod.php?id_tema=2962627
Если сам о себе сможешь позаботиться	http://www.spr.ru/forum_vyvod.php?id_tema=2950600
Берегите нервы	http://www.spr.ru/forum_vyvod.php?id_tema=2950337
Просто вымогают деньги	http://www.spr.ru/forum_vyvod.php?id_tema=2948973
Учет у нарколога	http://www.spr.ru/forum_vyvod.php?id_tema=2904646
Никогда туда не попадайте	http://www.spr.ru/forum_vyvod.php?id_tema=2895389
Плохое отношение	http://www.spr.ru/forum_vyvod.php?id_tema=2845376
Очень плохое отношение к больным людям	http://www.spr.ru/forum_vyvod.php?id_tema=2838815
Мой брат лежал в этой больнице	http://www.spr.ru/forum_vyvod.php?id_tema=2807625
Хотелось бы понять	http://www.spr.ru/forum_vyvod.php?id_tema=2754948
Лечиться от зависимости теперь опасно для жизни	http://www.spr.ru/forum_vyvod.php?id_tema=2750770
Приемное отделение	http://www.spr.ru/forum_vyvod.php?id_tema=2718163
Нужно взяться за персонал	http://www.spr.ru/forum_vyvod.php?id_tema=2699606
Плохое отношение к пациентмм	http://www.spr.ru/forum_vyvod.php?id_tema=2685596
Запретили посещения	http://www.spr.ru/forum_vyvod.php?id_tema=2660718
Гестапо отдыхает	http://www.spr.ru/forum_vyvod.php?id_tema=2658852
Условия содержания	http://www.spr.ru/forum_vyvod.php?id_tema=2633657
Никогда больше	http://www.spr.ru/forum_vyvod.php?id_tema=2550542
Плохая больница	http://www.spr.ru/forum_vyvod.php?id_tema=2531663
Не помогает	http://www.spr.ru/forum_vyvod.php?id_tema=2489035
Надо искать другое место для лечения	http://www.spr.ru/forum_vyvod.php?id_tema=2434230
Работают одни приезжие	http://www.spr.ru/forum_vyvod.php?id_tema=2386466
Наркологическая экспертиза	http://www.spr.ru/forum_vyvod.php?id_tema=2332881
Берегите печень	http://www.spr.ru/forum_vyvod.php?id_tema=2301305
Не рекомендую никому	http://www.spr.ru/forum_vyvod.php?id_tema=2274773
Я много раз лечился	http://www.spr.ru/forum_vyvod.php?id_tema=2266519
Практика врача	http://www.spr.ru/forum_vyvod.php?id_tema=2247411
Препараты	http://www.spr.ru/forum_vyvod.php?id_tema=2224270
Прием на госпитализацию	http://www.spr.ru/forum_vyvod.php?id_tema=651428
Больница или секретная ракетная база	http://www.spr.ru/forum_vyvod.php?id_tema=494594
Учет у нарколога	http://www.spr.ru/forum_vyvod.php?id_tema=445991
Не обучены оказывать первую помощь	http://www.spr.ru/forum_vyvod.php?id_tema=445985
А лучше не попадайте	http://www.spr.ru/forum_vyvod.php?id_tema=445978
Не советую Вам ложиться в эту больничку	http://www.spr.ru/forum_vyvod.php?id_tema=445973
Меня возмутило хамское отношение медперсонала	http://www.spr.ru/forum_vyvod.php?id_tema=445971
Врачи-садисты	http://www.spr.ru/forum_vyvod.php?id_tema=445961
Им плевать на ваше здоровье	http://www.spr.ru/forum_vyvod.php?id_tema=445958
