name	url
Благодарность 1 хирургическому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=3425800
Коткова Наталья Геннадьевна	http://www.spr.ru/forum_vyvod.php?id_tema=3414172
Благодарность сотрудникам онкоурологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3404243
Благодарность отделению	http://www.spr.ru/forum_vyvod.php?id_tema=3398070
Выше всяких похвал	http://www.spr.ru/forum_vyvod.php?id_tema=3386342
Безмерная благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3378184
Благодарность хирургу Баринову	http://www.spr.ru/forum_vyvod.php?id_tema=3369800
Благодарность Иномистову Анатолию Алексеевичу	http://www.spr.ru/forum_vyvod.php?id_tema=3353932
Благодарность Новожиловой	http://www.spr.ru/forum_vyvod.php?id_tema=3347987
Благодарность сотрудникам 2 хирургии	http://www.spr.ru/forum_vyvod.php?id_tema=3339219
Благодарю от всей души	http://www.spr.ru/forum_vyvod.php?id_tema=3330504
Благодарность сотрудникам 6 отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3247176
Шестое хирургическое отделение	http://www.spr.ru/forum_vyvod.php?id_tema=3234901
Огромная благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3205695
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3154406
Благодарность Митягиной	http://www.spr.ru/forum_vyvod.php?id_tema=3145554
Вот и я решилась написать	http://www.spr.ru/forum_vyvod.php?id_tema=3106597
Замечательная больница	http://www.spr.ru/forum_vyvod.php?id_tema=3100530
Спасибо всем врачам клиники	http://www.spr.ru/forum_vyvod.php?id_tema=3060160
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3037017
Первый визит	http://www.spr.ru/forum_vyvod.php?id_tema=2987532
Я очень благодарна	http://www.spr.ru/forum_vyvod.php?id_tema=2960673
Благодарность Чумакову	http://www.spr.ru/forum_vyvod.php?id_tema=2932935
Благодарность врачу Ядыкову	http://www.spr.ru/forum_vyvod.php?id_tema=2919418
Благодарность персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=2905030
Благодарность отделению	http://www.spr.ru/forum_vyvod.php?id_tema=2858600
О Вас очень положительные и хорошие отзывы	http://www.spr.ru/forum_vyvod.php?id_tema=2820794
Обращение к Главному врачу Махсон Анатолию Нахимовичу	http://www.spr.ru/forum_vyvod.php?id_tema=2791922
Короткий отзыв	http://www.spr.ru/forum_vyvod.php?id_tema=2760250
Благодарность хирургу Тагиеву Мамеду Тагиевичу	http://www.spr.ru/forum_vyvod.php?id_tema=2746802
Спасибо всем и за всех	http://www.spr.ru/forum_vyvod.php?id_tema=2689656
Отзыв о лечении с благодарностью сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2683728
Благодарность сотрудникам больницы	http://www.spr.ru/forum_vyvod.php?id_tema=2665645
Благодарность всему отделению	http://www.spr.ru/forum_vyvod.php?id_tema=2655133
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2646072
Благодарность хирургическому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=2645482
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2634882
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2627804
Огромная благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2624490
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2593500
Спасибо всем вам	http://www.spr.ru/forum_vyvod.php?id_tema=2567137
Уникальное место	http://www.spr.ru/forum_vyvod.php?id_tema=2554653
Поздравляю	http://www.spr.ru/forum_vyvod.php?id_tema=2511240
Отлично работаете	http://www.spr.ru/forum_vyvod.php?id_tema=2498277
Благодарю за профессионализм и доброту	http://www.spr.ru/forum_vyvod.php?id_tema=2463026
Спасибо Царапкину Юрию Евгеньевичу	http://www.spr.ru/forum_vyvod.php?id_tema=2455676
Низкий поклон	http://www.spr.ru/forum_vyvod.php?id_tema=2450286
Спасибо третьему хирургическому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=2431823
Психологический климат в отделении	http://www.spr.ru/forum_vyvod.php?id_tema=2426580
Любимый доктор	http://www.spr.ru/forum_vyvod.php?id_tema=2374080
Замечательный доктор	http://www.spr.ru/forum_vyvod.php?id_tema=2371793
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2349884
Низкий поклон	http://www.spr.ru/forum_vyvod.php?id_tema=2319875
Благодарность - чувство признательности за сделанное добро	http://www.spr.ru/forum_vyvod.php?id_tema=2306130
Профессиональные врачи	http://www.spr.ru/forum_vyvod.php?id_tema=2252571
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=672138
Хочу поблагодарить доктора и сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=574161
Спасибо хирургическому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=558392
Земной поклон хирургам	http://www.spr.ru/forum_vyvod.php?id_tema=540837
Онкологическая больница 62 лучшая	http://www.spr.ru/forum_vyvod.php?id_tema=510202
Бездарные врачи	http://www.spr.ru/forum_vyvod.php?id_tema=3362833
Врач	http://www.spr.ru/forum_vyvod.php?id_tema=3311800
Добрынина надо срочно уволить с волчьим билетом	http://www.spr.ru/forum_vyvod.php?id_tema=3293077
Хирург	http://www.spr.ru/forum_vyvod.php?id_tema=3236229
Плохие врачи	http://www.spr.ru/forum_vyvod.php?id_tema=3195693
Лечение	http://www.spr.ru/forum_vyvod.php?id_tema=3160333
Надо платить	http://www.spr.ru/forum_vyvod.php?id_tema=3145751
Плохие врачи	http://www.spr.ru/forum_vyvod.php?id_tema=3130487
Свой отбор	http://www.spr.ru/forum_vyvod.php?id_tema=3056708
На лечении	http://www.spr.ru/forum_vyvod.php?id_tema=3051160
Отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=2887001
Не попадайте к Стрельниковой	http://www.spr.ru/forum_vyvod.php?id_tema=2871430
Лечение	http://www.spr.ru/forum_vyvod.php?id_tema=2838823
Театр абсурда	http://www.spr.ru/forum_vyvod.php?id_tema=2772178
Впустую потраченное время	http://www.spr.ru/forum_vyvod.php?id_tema=2745957
Отсутствие простейших медикаментов	http://www.spr.ru/forum_vyvod.php?id_tema=2720439
Не советую	http://www.spr.ru/forum_vyvod.php?id_tema=2679082
Жизнь не стала лучше	http://www.spr.ru/forum_vyvod.php?id_tema=2620448
Наша медицина	http://www.spr.ru/forum_vyvod.php?id_tema=2567488
Отзывы о впечатлениях	http://www.spr.ru/forum_vyvod.php?id_tema=2564089
Как лечили моего отца	http://www.spr.ru/forum_vyvod.php?id_tema=2560494
Отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=2555400
Человека судят по поступкам	http://www.spr.ru/forum_vyvod.php?id_tema=2477152
Сталкивались с безразличием	http://www.spr.ru/forum_vyvod.php?id_tema=2419624
Написала жалобу в Департамент здравоохранения	http://www.spr.ru/forum_vyvod.php?id_tema=2346333
Привез мать на консультацию	http://www.spr.ru/forum_vyvod.php?id_tema=2340614
Это не последняя надежда	http://www.spr.ru/forum_vyvod.php?id_tema=2315638
Врачи любят подарки	http://www.spr.ru/forum_vyvod.php?id_tema=2275436
Потеря надежды	http://www.spr.ru/forum_vyvod.php?id_tema=2186873
Не принимают в больницу	http://www.spr.ru/forum_vyvod.php?id_tema=2167590
Бездушие	http://www.spr.ru/forum_vyvod.php?id_tema=2117779
Равнодушие	http://www.spr.ru/forum_vyvod.php?id_tema=695149
Послали далеко к онкологу	http://www.spr.ru/forum_vyvod.php?id_tema=531629
Жила надеждой	http://www.spr.ru/forum_vyvod.php?id_tema=438873
Вырежи все начисто и гуляй	http://www.spr.ru/forum_vyvod.php?id_tema=438834
Крайне не понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=438821
Хочу всех предостеречь	http://www.spr.ru/forum_vyvod.php?id_tema=438804
Разочарование	http://www.spr.ru/forum_vyvod.php?id_tema=396114
Издеваются над пациентами	http://www.spr.ru/forum_vyvod.php?id_tema=235526
Никакого отношения к клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=73747
Здоровые нервы	http://www.spr.ru/forum_vyvod.php?id_tema=2745751
Благодарность сотрудникам торакального отделения	http://www.spr.ru/forum_vyvod.php?id_tema=2610871
Спасибо за жизнь	http://www.spr.ru/forum_vyvod.php?id_tema=2524227
Такого ухода я нигде не видела	http://www.spr.ru/forum_vyvod.php?id_tema=438783
Я благодарна	http://www.spr.ru/forum_vyvod.php?id_tema=438775
Грубое отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=2766704
Отсутствует связь с больницей	http://www.spr.ru/forum_vyvod.php?id_tema=2556217
Это не приговор	http://www.spr.ru/forum_vyvod.php?id_tema=2517645
Хотелось бы написать	http://www.spr.ru/forum_vyvod.php?id_tema=438779
