name	url
Благодарность Багавдину Гаджиевичу Ахмедову	http://www.spr.ru/forum_vyvod.php?id_tema=3415457
Благодарность институту имени Вишневского	http://www.spr.ru/forum_vyvod.php?id_tema=3241817
Благодарность от всего сердца	http://www.spr.ru/forum_vyvod.php?id_tema=3128090
Благодарю сотрудников отделения аритмий	http://www.spr.ru/forum_vyvod.php?id_tema=2987755
Несколько раз лежала	http://www.spr.ru/forum_vyvod.php?id_tema=2850318
Отделение урологии отличное	http://www.spr.ru/forum_vyvod.php?id_tema=2843903
Гемангиома печени	http://www.spr.ru/forum_vyvod.php?id_tema=2683528
Только положительные эмоции	http://www.spr.ru/forum_vyvod.php?id_tema=2678355
Благодарность хирургам	http://www.spr.ru/forum_vyvod.php?id_tema=2627346
Хватит ругать врачей	http://www.spr.ru/forum_vyvod.php?id_tema=2601243
Благодарность врачу	http://www.spr.ru/forum_vyvod.php?id_tema=2585281
Мой друг в вашей клинике	http://www.spr.ru/forum_vyvod.php?id_tema=2569729
Была прооперирована	http://www.spr.ru/forum_vyvod.php?id_tema=2510843
Огромное спасибо всем сотрудникам института	http://www.spr.ru/forum_vyvod.php?id_tema=2351767
Первичный прием	http://www.spr.ru/forum_vyvod.php?id_tema=2293018
У меня только положительные впечатления	http://www.spr.ru/forum_vyvod.php?id_tema=648938
Безмерно благодарна за хороший результат	http://www.spr.ru/forum_vyvod.php?id_tema=453574
Была подарена жизнь	http://www.spr.ru/forum_vyvod.php?id_tema=453548
Вернули к работе за 10 дней	http://www.spr.ru/forum_vyvod.php?id_tema=453482
Я сама работаю в больнице	http://www.spr.ru/forum_vyvod.php?id_tema=453463
Обращение к Максиму	http://www.spr.ru/forum_vyvod.php?id_tema=452513
Людмилам и Светланам не судите поспешно	http://www.spr.ru/forum_vyvod.php?id_tema=452511
Уважаемая Светлана	http://www.spr.ru/forum_vyvod.php?id_tema=452509
Сами виноваты	http://www.spr.ru/forum_vyvod.php?id_tema=452508
Не побоялся один на один против оравы огалтелых	http://www.spr.ru/forum_vyvod.php?id_tema=452497
Клевета	http://www.spr.ru/forum_vyvod.php?id_tema=452483
Цитирую блог института Вишневского	http://www.spr.ru/forum_vyvod.php?id_tema=452481
Появилась вера в выздоровление	http://www.spr.ru/forum_vyvod.php?id_tema=452473
Великолепно организована работа с пациентами	http://www.spr.ru/forum_vyvod.php?id_tema=452468
Объяснил нам сложность болезни	http://www.spr.ru/forum_vyvod.php?id_tema=452464
Внимание придали мне уверенности	http://www.spr.ru/forum_vyvod.php?id_tema=452462
Премного благодарна за отличное лечение	http://www.spr.ru/forum_vyvod.php?id_tema=452460
Счастья и кавказского долголетия	http://www.spr.ru/forum_vyvod.php?id_tema=452457
Надеюсь на чудо	http://www.spr.ru/forum_vyvod.php?id_tema=452455
Вернули меня к жизни	http://www.spr.ru/forum_vyvod.php?id_tema=452454
Лучших и старейших в стране	http://www.spr.ru/forum_vyvod.php?id_tema=452451
Про хорошее отношение	http://www.spr.ru/forum_vyvod.php?id_tema=394417
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=376159
Отвратительная больница	http://www.spr.ru/forum_vyvod.php?id_tema=3462570
