name	url
Выражаю сердечную благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3433691
Благодарность Дмитрию Владимировичу Лапочкину	http://www.spr.ru/forum_vyvod.php?id_tema=3371110
Спасибо Яценко Олегу Юрьевичу	http://www.spr.ru/forum_vyvod.php?id_tema=3348699
Огромное спасибо Лапочкину Андрею Владимировичу	http://www.spr.ru/forum_vyvod.php?id_tema=3345756
Спасибо за золотые руки	http://www.spr.ru/forum_vyvod.php?id_tema=3135590
Благодарность доктору Лапочкину	http://www.spr.ru/forum_vyvod.php?id_tema=3128362
Благодарность Лапочкину Андрею Владимировичу	http://www.spr.ru/forum_vyvod.php?id_tema=3120313
Благодарность Самойленко Александру Игоревичу	http://www.spr.ru/forum_vyvod.php?id_tema=3019317
Благодарность Лапочкину	http://www.spr.ru/forum_vyvod.php?id_tema=2908565
Благодарность хирургу Самойленко	http://www.spr.ru/forum_vyvod.php?id_tema=2907509
Благодарность врачу	http://www.spr.ru/forum_vyvod.php?id_tema=2836300
Благодарность хирургу	http://www.spr.ru/forum_vyvod.php?id_tema=2808360
Благодарность сотрудникам больницы	http://www.spr.ru/forum_vyvod.php?id_tema=2779145
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2775275
Благодарность сотрудникам и врачу Румянцеву	http://www.spr.ru/forum_vyvod.php?id_tema=2721866
Благодарность хирургу	http://www.spr.ru/forum_vyvod.php?id_tema=2674106
Благодарность врачу Ширшовой Елене Васильевне	http://www.spr.ru/forum_vyvod.php?id_tema=2498289
Хочу поблагодарить Яценко Олега Юрьевича	http://www.spr.ru/forum_vyvod.php?id_tema=2393446
Хочу поблагодарить Олега Юрьевича Яценко	http://www.spr.ru/forum_vyvod.php?id_tema=2386743
Хочу поблагодарить	http://www.spr.ru/forum_vyvod.php?id_tema=2360462
Санаторий, а не больница	http://www.spr.ru/forum_vyvod.php?id_tema=698442
Хочу поблагодарить хирурга-офтальмолога	http://www.spr.ru/forum_vyvod.php?id_tema=644441
Хочу поблагодарить	http://www.spr.ru/forum_vyvod.php?id_tema=397084
Отвратительное отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=3267116
Издевательство над ветеранами	http://www.spr.ru/forum_vyvod.php?id_tema=2989777
Халатность врача	http://www.spr.ru/forum_vyvod.php?id_tema=2986132
Дозвониться до неотложной помощи невозможно	http://www.spr.ru/forum_vyvod.php?id_tema=2886672
Отношение при приеме на госпитализацию	http://www.spr.ru/forum_vyvod.php?id_tema=2646547
Наплевательское отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=2601783
Может у них свои нормы	http://www.spr.ru/forum_vyvod.php?id_tema=2573655
Справки о состоянии больных не дают	http://www.spr.ru/forum_vyvod.php?id_tema=2537820
Телефон в приемном отделении	http://www.spr.ru/forum_vyvod.php?id_tema=2503823
Невозможно нормально записаться на приём	http://www.spr.ru/forum_vyvod.php?id_tema=2336735
Уже неделю не могу дозвониться в справочную	http://www.spr.ru/forum_vyvod.php?id_tema=2198056
Дозвониться в приемное отделение	http://www.spr.ru/forum_vyvod.php?id_tema=2192543
Телефон не работает	http://www.spr.ru/forum_vyvod.php?id_tema=2183378
Осадок в душе остался	http://www.spr.ru/forum_vyvod.php?id_tema=644200
Ужасное отношение	http://www.spr.ru/forum_vyvod.php?id_tema=563193
Невозможно записаться по телефону	http://www.spr.ru/forum_vyvod.php?id_tema=388807
Благодарность хирургу Головину	http://www.spr.ru/forum_vyvod.php?id_tema=2472735
Спасибо нашему хирургу	http://www.spr.ru/forum_vyvod.php?id_tema=62339
Неквалифицированные врачи	http://www.spr.ru/forum_vyvod.php?id_tema=430834
