name	url
Благодарность сотрудникам 11 отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3472512
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3408051
Огромное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3355233
Восьмое отделение	http://www.spr.ru/forum_vyvod.php?id_tema=3343981
Благодарность Каротам Ольге Владимировне	http://www.spr.ru/forum_vyvod.php?id_tema=3343970
Шикарная больница	http://www.spr.ru/forum_vyvod.php?id_tema=3308178
Благодарность сотрудникам 12 отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3277626
На всю жизнь воспоминания	http://www.spr.ru/forum_vyvod.php?id_tema=3091071
Благодарность персоналу санатория	http://www.spr.ru/forum_vyvod.php?id_tema=3090430
Благодарность Лазаревой Ирине Игоревне	http://www.spr.ru/forum_vyvod.php?id_tema=3060617
Благодарность доктору	http://www.spr.ru/forum_vyvod.php?id_tema=3010087
Благодарю и здоровья самим сотрудникам и членам их семей	http://www.spr.ru/forum_vyvod.php?id_tema=2983515
Благодарность Левданской Екатерине Леонидовне	http://www.spr.ru/forum_vyvod.php?id_tema=2884237
Большая благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2853390
Огромное человеческое спасибо десятому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=2807919
Благодарность сотрудникам десятого отделения	http://www.spr.ru/forum_vyvod.php?id_tema=2790984
Огромное спасибо и земной поклон	http://www.spr.ru/forum_vyvod.php?id_tema=2779890
Второе отделение	http://www.spr.ru/forum_vyvod.php?id_tema=2732246
Второе отделение	http://www.spr.ru/forum_vyvod.php?id_tema=2693338
Детей без присмотра не оставляют	http://www.spr.ru/forum_vyvod.php?id_tema=2639274
Спасибо за помощь оказанную моей дочери	http://www.spr.ru/forum_vyvod.php?id_tema=2638421
9 отделение	http://www.spr.ru/forum_vyvod.php?id_tema=2451196
Хочу поблагодарить сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=2392534
Хватит защищать своих больных детей	http://www.spr.ru/forum_vyvod.php?id_tema=2207067
3е отделение	http://www.spr.ru/forum_vyvod.php?id_tema=570260
Обстановка в центре	http://www.spr.ru/forum_vyvod.php?id_tema=3430090
Неквалифицированный врач	http://www.spr.ru/forum_vyvod.php?id_tema=3404198
Бесполезная консультация	http://www.spr.ru/forum_vyvod.php?id_tema=3396825
Не водите детей к псевдодокторам	http://www.spr.ru/forum_vyvod.php?id_tema=3393097
Как нас развели на 50 тысяч	http://www.spr.ru/forum_vyvod.php?id_tema=3371684
Дефектолог Евтсешина некомпетентна	http://www.spr.ru/forum_vyvod.php?id_tema=3335468
Врач Лазарева Ирина Игоревна	http://www.spr.ru/forum_vyvod.php?id_tema=3330749
На самом деле все не так хорошо	http://www.spr.ru/forum_vyvod.php?id_tema=3310666
Хочу забрать ребёнка из этого ужасного места	http://www.spr.ru/forum_vyvod.php?id_tema=3302778
Скорее навредили, чем вылечили	http://www.spr.ru/forum_vyvod.php?id_tema=3280285
Нарушение прав детей	http://www.spr.ru/forum_vyvod.php?id_tema=3245482
Нарушение прав детей	http://www.spr.ru/forum_vyvod.php?id_tema=3245471
Не советую	http://www.spr.ru/forum_vyvod.php?id_tema=3203072
Пожалейте свое чадо	http://www.spr.ru/forum_vyvod.php?id_tema=3186549
Оставь надежду всяк сюда входящий	http://www.spr.ru/forum_vyvod.php?id_tema=3133381
Я подаю в суд	http://www.spr.ru/forum_vyvod.php?id_tema=3034194
Вывод	http://www.spr.ru/forum_vyvod.php?id_tema=2998736
Довелось лежать в этой больнице	http://www.spr.ru/forum_vyvod.php?id_tema=2921006
Для пациентов отделений особо буйных	http://www.spr.ru/forum_vyvod.php?id_tema=2892219
Плохая больница	http://www.spr.ru/forum_vyvod.php?id_tema=2845089
Сто раз подумайте	http://www.spr.ru/forum_vyvod.php?id_tema=2754931
Как в тюрьме	http://www.spr.ru/forum_vyvod.php?id_tema=2699151
Отзыв	http://www.spr.ru/forum_vyvod.php?id_tema=2686972
Мучения на всю жизнь	http://www.spr.ru/forum_vyvod.php?id_tema=2652481
Борьба с подростковым возрастом	http://www.spr.ru/forum_vyvod.php?id_tema=2552878
Выводы делайте сами	http://www.spr.ru/forum_vyvod.php?id_tema=2526434
Не рекомендую	http://www.spr.ru/forum_vyvod.php?id_tema=2523082
