name	url
НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР ПСИХИЧЕСКОГО ЗДОРОВЬЯ ДЕТЕЙ И ПОДРОСТКОВ ИМЕНИ Г.Е. СУХАРЕВОЙ	http://www.spr.ru/donskoy/nauchno-prakticheskiy-tsentr-psihicheskogo-zdorovya-detey-i-podrostkov-imeni-g.html
ГОРОДСКАЯ ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА № 13	http://www.spr.ru/lyublino/gorodskaya-psihiatricheskaya-bolnitsa-13.html
КЛИНИЧЕСКАЯ ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА № 15	http://www.spr.ru/moskvoreche-saburovo/klinicheskaya-psihiatricheskaya-bolnitsa-15.html
ПСИХИАТРИЧЕСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 4 ИМЕНИ П.Б. ГАННУШКИНА	http://www.spr.ru/preobrazhenskoe/psihiatricheskaya-klinicheskaya-bolnitsa-4-imeni-p-b-gannushkina.html
ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА № 3 ИМЕНИ В.А. ГИЛЯРОВСКОГО	http://www.spr.ru/sokolniki/psihiatricheskaya-bolnitsa-3-imeni-v-a-gilyarovskogo.html
ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА № 8	http://www.spr.ru/orehovo-zuevo-i-orehovo-zuevskiy-rayon/psihiatricheskaya-bolnitsa-8.html
ПСИХИАТРИЧЕСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ИМ. Н.А. АЛЕКСЕЕВА	http://www.spr.ru/donskoy/psihiatricheskaya-klinicheskaya-bolnitsa-1-im-n-a-alekseeva.html
ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА № 14	http://www.spr.ru/tsaritsino/psihiatricheskaya-bolnitsa-14.html
ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА № 10	http://www.spr.ru/noginsk-i-noginskiy-rayon/psihiatricheskaya-bolnitsa-10.html
ЦЕНТРАЛЬНАЯ КЛИНИЧЕСКАЯ ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА	http://www.spr.ru/aeroport/tsentralnaya-klinicheskaya-psihiatricheskaya-bolnitsa.html
МОСКОВСКАЯ ОБЛАСТНАЯ ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА № 2 ИМЕНИ ЯКОВЕНКО	http://www.spr.ru/chehov-i-chehovskiy-rayon/moskovskaya-oblastnaya-psihiatricheskaya-bolnitsa-2-imeni-yakovenko.html
ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА № 5	http://www.spr.ru/chehov-i-chehovskiy-rayon/psihiatricheskaya-bolnitsa-5.html
ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА № 7	http://www.spr.ru/preobrazhenskoe/psihiatricheskaya-bolnitsa-7.html
ПСИХИАТРИЧЕСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 12	http://www.spr.ru/pokrovskoe-streshnevo/psihiatricheskaya-klinicheskaya-bolnitsa-12.html
МОСКОВСКАЯ ОБЛАСТНАЯ ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА № 5	http://www.spr.ru/sergiev-posad-i-sergievo-posadskiy-rayon/moskovskaya-oblastnaya-psihiatricheskaya-bolnitsa-5.html
МОСКОВСКАЯ ОБЛАСТНАЯ ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА № 9	http://www.spr.ru/dmitrov-i-dmitrovskiy-rayon/moskovskaya-oblastnaya-psihiatricheskaya-bolnitsa-9.html
ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА № 6	http://www.spr.ru/kolomna-i-kolomenskiy-rayon/psihiatricheskaya-bolnitsa-6.html
ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА № 19	http://www.spr.ru/domodedovo-i-gorodskoy-okrug-domodedovo/psihiatricheskaya-bolnitsa-19.html
