name	url
Самохина Надежда Сергеевна	http://www.spr.ru/forum_vyvod.php?id_tema=3400686
Впечатления	http://www.spr.ru/forum_vyvod.php?id_tema=3387865
Огромное спасибо всем	http://www.spr.ru/forum_vyvod.php?id_tema=3376872
Благодарность врачу психиатру Миркиной Антонине Владимировне	http://www.spr.ru/forum_vyvod.php?id_tema=3362984
Благодарность сотрудникам шестого отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3323488
Благодарность за лечение	http://www.spr.ru/forum_vyvod.php?id_tema=3310786
Благодарность 1 дневному отделению	http://www.spr.ru/forum_vyvod.php?id_tema=3307790
Благодарность 4-му отделению	http://www.spr.ru/forum_vyvod.php?id_tema=3253761
Спасибо за помощь	http://www.spr.ru/forum_vyvod.php?id_tema=3253703
Благодарность заведующей первым женским отделением	http://www.spr.ru/forum_vyvod.php?id_tema=3205507
Хочу сказать	http://www.spr.ru/forum_vyvod.php?id_tema=3187103
О клинике неврозов	http://www.spr.ru/forum_vyvod.php?id_tema=3186886
Квалифицированная помощь	http://www.spr.ru/forum_vyvod.php?id_tema=3180052
Благодарность Самохиной	http://www.spr.ru/forum_vyvod.php?id_tema=3179785
Благодарность Самохиной Надежде Сергеевне	http://www.spr.ru/forum_vyvod.php?id_tema=3179516
Исцеляющие души	http://www.spr.ru/forum_vyvod.php?id_tema=3179192
Лежала с паническими атаками	http://www.spr.ru/forum_vyvod.php?id_tema=3116530
Благодарность всем сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3057298
Панические атаки	http://www.spr.ru/forum_vyvod.php?id_tema=2997555
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2959088
Благодарность пятому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=2816696
Хвалим	http://www.spr.ru/forum_vyvod.php?id_tema=2626149
Благодарность персоналу больницы	http://www.spr.ru/forum_vyvod.php?id_tema=2589041
Спасибо врачу	http://www.spr.ru/forum_vyvod.php?id_tema=2575861
Благодарю весь персонал клиники	http://www.spr.ru/forum_vyvod.php?id_tema=2345308
Благодарю Сологуба Максима Борисовича	http://www.spr.ru/forum_vyvod.php?id_tema=570742
Спасибо огромное	http://www.spr.ru/forum_vyvod.php?id_tema=562668
Благодарна Богу что попала сюда	http://www.spr.ru/forum_vyvod.php?id_tema=286493
Палата 404 и 405	http://www.spr.ru/forum_vyvod.php?id_tema=158947
Плохое лечение	http://www.spr.ru/forum_vyvod.php?id_tema=3416477
Если с врачом не повезло	http://www.spr.ru/forum_vyvod.php?id_tema=3366150
Врач Кухаренко	http://www.spr.ru/forum_vyvod.php?id_tema=3339621
Плохое место	http://www.spr.ru/forum_vyvod.php?id_tema=3314146
Лучшего отделения 9 нет, оно уже года два на ремонте	http://www.spr.ru/forum_vyvod.php?id_tema=3280941
Клиника которая не лечит, а калечит	http://www.spr.ru/forum_vyvod.php?id_tema=3243146
Не советую	http://www.spr.ru/forum_vyvod.php?id_tema=3157439
Публикация отзывов	http://www.spr.ru/forum_vyvod.php?id_tema=3156433
Плохое отношение к клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=3155336
Мертвые души клинике	http://www.spr.ru/forum_vyvod.php?id_tema=3149409
