name	url
КЛИНИКА НЕВРОЗОВ - СПЕЦИАЛИЗИРОВАННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 8 ИМ. З.П. СОЛОВЬЁВА	http://www.spr.ru/donskoy/klinika-nevrozov-spetsializirovannaya-klinicheskaya-bolnitsa-8-im-z-p-soloveva.html
НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР ДЕТСКОЙ ПСИХОНЕВРОЛОГИИ	http://www.spr.ru/ochakovo-matveevskoe/nauchno-prakticheskiy-tsentr-detskoy-psihonevrologii.html
ДЕТСКАЯ ГОРОДСКАЯ ПСИХОНЕВРОЛОГИЧЕСКАЯ БОЛЬНИЦА № 32	http://www.spr.ru/lefortovo/detskaya-gorodskaya-psihonevrologicheskaya-bolnitsa-32.html
Филиал Бороденки, МОСКОВСКАЯ ОБЛАСТНАЯ ПСИХОНЕВРОЛОГИЧЕСКАЯ БОЛЬНИЦА № 4	http://www.spr.ru/ruza-i-ruzskiy-rayon/filial-borodenki.html
Детское отделение, МОСКОВСКАЯ ОБЛАСТНАЯ ПСИХОНЕВРОЛОГИЧЕСКАЯ БОЛЬНИЦА № 4	http://www.spr.ru/ruza-i-ruzskiy-rayon/detskoe-otdelenie-208636.html
МОСКОВСКАЯ ОБЛАСТНАЯ ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА № 5, психоневрологическое диспансерное отделение	http://www.spr.ru/sergiev-posad-i-sergievo-posadskiy-rayon/moskovskaya-oblastnaya-psihiatricheskaya-bolnitsa-5-212563.html
Детско-подростковое отделение, ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 7	http://www.spr.ru/meschanskiy/detsko-podrostkovoe-otdelenie.html
МОСКОВСКАЯ ОБЛАСТНАЯ ПСИХОНЕВРОЛОГИЧЕСКАЯ БОЛЬНИЦА № 4	http://www.spr.ru/ruza-i-ruzskiy-rayon/moskovskaya-oblastnaya-psihonevrologicheskaya-bolnitsa-4.html
МОСКОВСКАЯ ОБЛАСТНАЯ ПСИХОНЕВРОЛОГИЧЕСКАЯ БОЛЬНИЦА ДЛЯ ДЕТЕЙ С ПОРАЖЕНИЕМ ЦНС И С НАРУШЕНИЕМ ПСИХИКИ	http://www.spr.ru/zapadnoe-degunino/moskovskaya-oblastnaya-psihonevrologicheskaya-bolnitsa-dlya-detey-s-porazheniem.html
НАУЧНО-ПРАКТИЧЕСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ЦЕНТР	http://www.spr.ru/kuntsevo/nauchno-prakticheskiy-psihonevrologicheskiy-tsentr.html
Лечебно-производственные мастерские, ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 7	http://www.spr.ru/meschanskiy/lechebno-proizvodstvennie-masterskie.html
