name	url
Благодарность врачам, медсестрам и нянечкам отделение 8/1	http://www.spr.ru/forum_vyvod.php?id_tema=3237743
Благодарность всем сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3005346
Благодарность всем сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2858746
Благодарность Данияловой Татьяне Анатольевне	http://www.spr.ru/forum_vyvod.php?id_tema=2781974
Благодарность всем сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2752551
Благодарность педиатрам	http://www.spr.ru/forum_vyvod.php?id_tema=2749546
Огромная благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2747747
Благодарность сотрудникам отделения	http://www.spr.ru/forum_vyvod.php?id_tema=2746276
Спасибо Вам за все	http://www.spr.ru/forum_vyvod.php?id_tema=2655588
Благодарность заведующему отделением	http://www.spr.ru/forum_vyvod.php?id_tema=2613300
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2572441
Благодарность заведующей педиатрии	http://www.spr.ru/forum_vyvod.php?id_tema=2426073
Выражаю огромную благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=710965
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=517988
Хочу выразить возмущение	http://www.spr.ru/forum_vyvod.php?id_tema=506429
Спасибо этой больнице	http://www.spr.ru/forum_vyvod.php?id_tema=375846
Огромная благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=250461
Ткб №7	http://www.spr.ru/forum_vyvod.php?id_tema=174805
Некачественное лечение	http://www.spr.ru/forum_vyvod.php?id_tema=3429024
Жуткое приемное отделение	http://www.spr.ru/forum_vyvod.php?id_tema=3212434
Очень плохое отношение и уборка	http://www.spr.ru/forum_vyvod.php?id_tema=3134748
Отзыв об отделении	http://www.spr.ru/forum_vyvod.php?id_tema=2952817
Бегите	http://www.spr.ru/forum_vyvod.php?id_tema=2845464
Невкусная еда	http://www.spr.ru/forum_vyvod.php?id_tema=2830655
Плохое отношение к клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=2503161
Плохое отношение к клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=2426061
Мало опыта у врачей	http://www.spr.ru/forum_vyvod.php?id_tema=192085
8 отделение	http://www.spr.ru/forum_vyvod.php?id_tema=3460580
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=3432435
Самый лучший доктор	http://www.spr.ru/forum_vyvod.php?id_tema=3238953
Благодарность за чуткость и добросовестность	http://www.spr.ru/forum_vyvod.php?id_tema=3160454
Спасибо за здоровье и жизнь	http://www.spr.ru/forum_vyvod.php?id_tema=3042364
Благодарность сотрудницам	http://www.spr.ru/forum_vyvod.php?id_tema=2612146
Хочу поблагодарить персонал больницы	http://www.spr.ru/forum_vyvod.php?id_tema=2546680
Отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=3020010
Отношение к больным	http://www.spr.ru/forum_vyvod.php?id_tema=2926053
Морг	http://www.spr.ru/forum_vyvod.php?id_tema=2412942
Диагноз!=	http://www.spr.ru/forum_vyvod.php?id_tema=2232633
Разглашение врачебной тайны	http://www.spr.ru/forum_vyvod.php?id_tema=668272
Всё там плохо	http://www.spr.ru/forum_vyvod.php?id_tema=604358
Пропуск онкологической патологии	http://www.spr.ru/forum_vyvod.php?id_tema=61390
Спасибо хирургу	http://www.spr.ru/forum_vyvod.php?id_tema=3475681
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3284974
Благодарность хирургам	http://www.spr.ru/forum_vyvod.php?id_tema=3013403
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2784092
Замечательная больница	http://www.spr.ru/forum_vyvod.php?id_tema=2536952
Хочу поблагодарить врачей	http://www.spr.ru/forum_vyvod.php?id_tema=542949
Замечательная больница с лучшими специалистами	http://www.spr.ru/forum_vyvod.php?id_tema=376194
Обращение к главному врачу	http://www.spr.ru/forum_vyvod.php?id_tema=2778417
Жизнь больных центра	http://www.spr.ru/forum_vyvod.php?id_tema=519720
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2926676
Я сказал правду	http://www.spr.ru/forum_vyvod.php?id_tema=3438982
Хорошая больница	http://www.spr.ru/forum_vyvod.php?id_tema=2860846
Великолепные врачи	http://www.spr.ru/forum_vyvod.php?id_tema=656195
Отличные специалисты	http://www.spr.ru/forum_vyvod.php?id_tema=655678
Благодарность 5 корпусу 1 отделению	http://www.spr.ru/forum_vyvod.php?id_tema=562436
Хорошая больница	http://www.spr.ru/forum_vyvod.php?id_tema=384082
8 корпус	http://www.spr.ru/forum_vyvod.php?id_tema=317210
Хочу поблагодарить и поздравить с новым годом	http://www.spr.ru/forum_vyvod.php?id_tema=269233
Контакты	http://www.spr.ru/forum_vyvod.php?id_tema=3355830
К больным плохое отношение	http://www.spr.ru/forum_vyvod.php?id_tema=3100262
Не вышла фамилией	http://www.spr.ru/forum_vyvod.php?id_tema=2816184
Хотел поблагодарить	http://www.spr.ru/forum_vyvod.php?id_tema=440786
Нет нужных лекарств	http://www.spr.ru/forum_vyvod.php?id_tema=429831
