name	url
Цена приятно радует	http://www.spr.ru/forum_vyvod.php?id_tema=3087013
Я приехал в эту поликлинику незапланированно	http://www.spr.ru/forum_vyvod.php?id_tema=2855928
Мне дали добро	http://www.spr.ru/forum_vyvod.php?id_tema=2854985
Проводили у нас медицинский осмотр	http://www.spr.ru/forum_vyvod.php?id_tema=3087011
Очереди адовые	http://www.spr.ru/forum_vyvod.php?id_tema=2855899
Почти всегда очереди	http://www.spr.ru/forum_vyvod.php?id_tema=2854980
Не было сказано по телефону	http://www.spr.ru/forum_vyvod.php?id_tema=2853841
Стоимость разнится	http://www.spr.ru/forum_vyvod.php?id_tema=2448252
Прекрасные специалисты	http://www.spr.ru/forum_vyvod.php?id_tema=3394855
Только хорошие впечатления	http://www.spr.ru/forum_vyvod.php?id_tema=3391562
Благодарность всему коллективу, начиная с регистратуры	http://www.spr.ru/forum_vyvod.php?id_tema=3391471
Здесь работают профессионалы	http://www.spr.ru/forum_vyvod.php?id_tema=3387642
Одна из лучших	http://www.spr.ru/forum_vyvod.php?id_tema=3327375
Спасибо за отзывчивость	http://www.spr.ru/forum_vyvod.php?id_tema=3316420
Понравилось качество обслуживания	http://www.spr.ru/forum_vyvod.php?id_tema=3246517
Обещали и сделали	http://www.spr.ru/forum_vyvod.php?id_tema=3243387
Все быстро и четко	http://www.spr.ru/forum_vyvod.php?id_tema=3243297
Приятная больница	http://www.spr.ru/forum_vyvod.php?id_tema=3238403
Благодарю за качественный осмотр	http://www.spr.ru/forum_vyvod.php?id_tema=3092327
Быстро и профессионально	http://www.spr.ru/forum_vyvod.php?id_tema=3026086
Очень понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=3026049
Профессиональная клиника	http://www.spr.ru/forum_vyvod.php?id_tema=2858282
Благодарность доктору	http://www.spr.ru/forum_vyvod.php?id_tema=550210
Очень благодарна	http://www.spr.ru/forum_vyvod.php?id_tema=521564
Профессионализм	http://www.spr.ru/forum_vyvod.php?id_tema=512562
Высоко профессиональные специалисты	http://www.spr.ru/forum_vyvod.php?id_tema=510652
Скромные профессионалы	http://www.spr.ru/forum_vyvod.php?id_tema=402283
Отличный центр	http://www.spr.ru/forum_vyvod.php?id_tema=393307
Приятно удивили	http://www.spr.ru/forum_vyvod.php?id_tema=393264
Мед-Альфа - это наше будущее	http://www.spr.ru/forum_vyvod.php?id_tema=326078
Хотим поблагодарить сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=318731
Хамство и очереди	http://www.spr.ru/forum_vyvod.php?id_tema=3461239
Не доверяйте врачу мамологу	http://www.spr.ru/forum_vyvod.php?id_tema=3436442
Справки не действительны	http://www.spr.ru/forum_vyvod.php?id_tema=3404789
Справки	http://www.spr.ru/forum_vyvod.php?id_tema=3401583
Отвратительная клиника	http://www.spr.ru/forum_vyvod.php?id_tema=3387457
Гинеколог	http://www.spr.ru/forum_vyvod.php?id_tema=3381000
Регистратура работает плохо	http://www.spr.ru/forum_vyvod.php?id_tema=3361838
Превышение полномочий врачами	http://www.spr.ru/forum_vyvod.php?id_tema=3274360
Долго принимает 12 кабинет	http://www.spr.ru/forum_vyvod.php?id_tema=3227612
Справки	http://www.spr.ru/forum_vyvod.php?id_tema=3201251
Не нравится	http://www.spr.ru/forum_vyvod.php?id_tema=3188309
Отношение врачей к работе	http://www.spr.ru/forum_vyvod.php?id_tema=3124665
Долгий обход врачей	http://www.spr.ru/forum_vyvod.php?id_tema=3032226
Задерживают сроки выдачи результатов	http://www.spr.ru/forum_vyvod.php?id_tema=3001735
Проходила медицинский осмотр	http://www.spr.ru/forum_vyvod.php?id_tema=2922434
Горе гинеколог	http://www.spr.ru/forum_vyvod.php?id_tema=2918765
Отношение к клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=2827109
Очень не понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=2701987
О клинике	http://www.spr.ru/forum_vyvod.php?id_tema=2643301
Обо всем узнала только после оплаты	http://www.spr.ru/forum_vyvod.php?id_tema=2543264
Никому не советую	http://www.spr.ru/forum_vyvod.php?id_tema=2407314
Я могла лишиться работы	http://www.spr.ru/forum_vyvod.php?id_tema=2184773
Делали месяц	http://www.spr.ru/forum_vyvod.php?id_tema=680249
Врачи некомпетентны	http://www.spr.ru/forum_vyvod.php?id_tema=319471
