name	url
Благодарность персоналу отделения реанимации	http://www.spr.ru/forum_vyvod.php?id_tema=3468175
Благодарность сотрудникам пульмонологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3447547
О лечении и микроклимате	http://www.spr.ru/forum_vyvod.php?id_tema=3302100
Благодарность гинекологу Огай Дмитрию Владиславовичу	http://www.spr.ru/forum_vyvod.php?id_tema=3202203
Признательность сотрудникам госпиталя	http://www.spr.ru/forum_vyvod.php?id_tema=3161304
Благодарность сотрудникам и поздравление с Новым годом	http://www.spr.ru/forum_vyvod.php?id_tema=3137101
Очень благодарна	http://www.spr.ru/forum_vyvod.php?id_tema=2930716
Спасибо филиалу госпиталя Пахра	http://www.spr.ru/forum_vyvod.php?id_tema=2770805
Мужа обследуют	http://www.spr.ru/forum_vyvod.php?id_tema=2760993
Есть такой доктор	http://www.spr.ru/forum_vyvod.php?id_tema=2563147
Хочу поблагодарить сотрудников госпиталя	http://www.spr.ru/forum_vyvod.php?id_tema=2365075
Огромное спасибо за спасение жизни моему отцу	http://www.spr.ru/forum_vyvod.php?id_tema=2334129
Как в санатории	http://www.spr.ru/forum_vyvod.php?id_tema=2294856
Забота о больных	http://www.spr.ru/forum_vyvod.php?id_tema=2257891
Хочу поблагодарить сотрудников отделения травматологии	http://www.spr.ru/forum_vyvod.php?id_tema=2189094
Урология госпиталя	http://www.spr.ru/forum_vyvod.php?id_tema=592984
Хочу поблагодарить сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=209281
Tаких врачей, быть не должно	http://www.spr.ru/forum_vyvod.php?id_tema=3470987
Преступная халатность врача	http://www.spr.ru/forum_vyvod.php?id_tema=3470958
Вечное проклятие врачу	http://www.spr.ru/forum_vyvod.php?id_tema=3418529
Не лечат	http://www.spr.ru/forum_vyvod.php?id_tema=3409659
Плохое отношение к больным	http://www.spr.ru/forum_vyvod.php?id_tema=3405851
Травматология	http://www.spr.ru/forum_vyvod.php?id_tema=3375192
Лечения нет совершенно	http://www.spr.ru/forum_vyvod.php?id_tema=3204909
Жалоба	http://www.spr.ru/forum_vyvod.php?id_tema=2811078
Плохие специалисты	http://www.spr.ru/forum_vyvod.php?id_tema=2492324
Жестокое отношение с животными	http://www.spr.ru/forum_vyvod.php?id_tema=197607
Как бьют в первой реанимации	http://www.spr.ru/forum_vyvod.php?id_tema=138983
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3469534
Спасибо настоящим врачам	http://www.spr.ru/forum_vyvod.php?id_tema=3463671
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3449735
Благодарность сотрудникам 18 отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3417650
Низкий поклон	http://www.spr.ru/forum_vyvod.php?id_tema=3381376
Благодарность врачам и медсестам	http://www.spr.ru/forum_vyvod.php?id_tema=3367992
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3367122
Благодарность сотрудникам 63 кардиологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3359368
Благодарность Цехановскому Григорию Борисовичу	http://www.spr.ru/forum_vyvod.php?id_tema=3350232
Благодарность врачам и сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3349613
Благодарность сотрудникам госпиталя	http://www.spr.ru/forum_vyvod.php?id_tema=3349602
Благодарность слтрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3342466
Благодарность сотрудникам госпиталя	http://www.spr.ru/forum_vyvod.php?id_tema=3342264
Благодарность офтальмологам	http://www.spr.ru/forum_vyvod.php?id_tema=3330008
Благодарность сотрудникам 18 кардиологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3329967
Новая жизнь старого пациента кардиохирургического центра	http://www.spr.ru/forum_vyvod.php?id_tema=3303220
Забота о пациентах	http://www.spr.ru/forum_vyvod.php?id_tema=3282787
Огромная благодарность сотрудникам 7 неврологии	http://www.spr.ru/forum_vyvod.php?id_tema=3280970
Благодарность сатрудникам 66 отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3271512
Благодарность сотрудникам кардиохирургического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3269511
Лучший врач челюстно-лицевой хирургии	http://www.spr.ru/forum_vyvod.php?id_tema=3264070
Спасибо большое врачам-травматологам	http://www.spr.ru/forum_vyvod.php?id_tema=3258231
Благодарность врачам урологического центра	http://www.spr.ru/forum_vyvod.php?id_tema=3258225
Высочайшая благодарность центру сердечно-сосудистой хирургии	http://www.spr.ru/forum_vyvod.php?id_tema=3256607
Благодарность персоналу госпиталя	http://www.spr.ru/forum_vyvod.php?id_tema=3243552
От всей души	http://www.spr.ru/forum_vyvod.php?id_tema=3242690
Благодарность работникам	http://www.spr.ru/forum_vyvod.php?id_tema=3242657
Благодарность персоналу 38-го кардиологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3240857
Благодарность Чернову Валерию Евгеньевичу за спасённый позвоночник	http://www.spr.ru/forum_vyvod.php?id_tema=3230652
Самые лучшие врачи в мире	http://www.spr.ru/forum_vyvod.php?id_tema=3227119
Отзыв о работе сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=3202481
Отзыв о работе сотрудников ГВКГ имени Бурденко	http://www.spr.ru/forum_vyvod.php?id_tema=3198786
Благодарность врачу	http://www.spr.ru/forum_vyvod.php?id_tema=3195385
Благодарность врачу 2 хирургического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3180770
Благодарность и уважение	http://www.spr.ru/forum_vyvod.php?id_tema=3150694
Врачи от бога	http://www.spr.ru/forum_vyvod.php?id_tema=3142746
Особая благодарность медицинскому персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=3128951
Благодарность доктору	http://www.spr.ru/forum_vyvod.php?id_tema=3073103
Благодарность 22 отделению	http://www.spr.ru/forum_vyvod.php?id_tema=3071862
Низкий поклон за Ваш талант	http://www.spr.ru/forum_vyvod.php?id_tema=3054015
Врач от Бога	http://www.spr.ru/forum_vyvod.php?id_tema=3035550
Благодарности сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3013265
Благодарю	http://www.spr.ru/forum_vyvod.php?id_tema=3000055
Благодарность всем сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2979101
