name	url
ГЛАВНЫЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ МВД РОССИИ	http://www.spr.ru/schukino/glavniy-klinicheskiy-gospital-mvd-rossii.html
ГЛАВНЫЙ ВОЕННЫЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ ИМ. АКАДЕМИКА Н.Н. БУРДЕНКО	http://www.spr.ru/lefortovo/glavniy-voenniy-klinicheskiy-gospital-im-akademika-n-n-burdenko.html
3 ЦЕНТРАЛЬНЫЙ ВОЕННЫЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ ИМЕНИ А.А. ВИШНЕВСКОГО МИНОБОРОНЫ РФ	http://www.spr.ru/krasnogorsk-i-krasnogorskiy-rayon/3-tsentralniy-voenniy-klinicheskiy-gospital-imeni-a-a-vishnevskogo-minoboroni.html
ОКРУЖНОЙ ВОЕННЫЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ № 1586	http://www.spr.ru/podolsk-i-podolskiy-rayon/okruzhnoy-voenniy-klinicheskiy-gospital-1586.html
ГОСПИТАЛЬ ВЕТЕРАНОВ ВОЙН № 2	http://www.spr.ru/vihino-zhulebino/gospital-veteranov-voyn-2.html
ГОСПИТАЛЬ ГУВД	http://www.spr.ru/koptevo/gospital-guvd.html
Хирургический корпус, ЦЕНТРАЛЬНЫЙ КЛИНИЧЕСКИЙ ВОЕННЫЙ ГОСПИТАЛЬ ФСБ РОССИИ	http://www.spr.ru/schukino/hirurgicheskiy-korpus-246381.html
ГОСПИТАЛЬ ДЛЯ ВЕТЕРАНОВ ВОЙН № 3	http://www.spr.ru/losinoostrovskiy/gospital-dlya-veteranov-voyn-3.html
ЛАПИНО, клинический госпиталь	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/lapino.html
ГОСПИТАЛЬ ВЕТЕРАНОВ ВОЙН № 1	http://www.spr.ru/yuzhnoportoviy/gospital-veteranov-voyn-1.html
КЛИНИЧЕСКИЙ ГОСПИТАЛЬ НА ЯУЗЕ	http://www.spr.ru/lefortovo/klinicheskiy-gospital-na-yauze.html
ГЛАВНЫЙ ВОЕННЫЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ ИМЕНИ АКАДЕМИКА Н.Н БУРДЕНКО, филиал № 2	http://www.spr.ru/pushkino-i-pushkinskiy-rayon/glavniy-voenniy-klinicheskiy-gospital-imeni-akademika-n-n-burdenko-209183.html
ГЛАВНЫЙ ПОГРАНИЧНЫЙ КЛИНИЧЕСКИЙ ВОЕННЫЙ ГОСПИТАЛЬ ФСБ РФ	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/glavniy-pogranichniy-klinicheskiy-voenniy-gospital-fsb-rf.html
ЦЕНТРАЛЬНЫЙ КЛИНИЧЕСКИЙ ВОЕННЫЙ ГОСПИТАЛЬ № 2 ИМ. П.В. МАНДРЫКА	http://www.spr.ru/sokolniki/tsentralniy-klinicheskiy-voenniy-gospital-2-im-p-v-mandrika.html
