name	url
Благодарность врачу	http://www.spr.ru/forum_vyvod.php?id_tema=3392321
Спасибо за сыночка	http://www.spr.ru/forum_vyvod.php?id_tema=3386736
Спасибо за вашу работу	http://www.spr.ru/forum_vyvod.php?id_tema=3370622
Низкий поклон за заботу и профессионализм	http://www.spr.ru/forum_vyvod.php?id_tema=3322512
Низкий поклон врачам	http://www.spr.ru/forum_vyvod.php?id_tema=3258361
Всё прошло отлично	http://www.spr.ru/forum_vyvod.php?id_tema=3215400
Хорошие впечатления от операционного блока	http://www.spr.ru/forum_vyvod.php?id_tema=3209269
Хорошие специалисты	http://www.spr.ru/forum_vyvod.php?id_tema=3209250
Благодарность Панкратовой Ольге Владимировне	http://www.spr.ru/forum_vyvod.php?id_tema=3191756
Спасибо профессионалу с большой буквы Сущевич ЛВ	http://www.spr.ru/forum_vyvod.php?id_tema=3183233
Роды не по контракту	http://www.spr.ru/forum_vyvod.php?id_tema=3164276
Огромная благодарность Литвиненко	http://www.spr.ru/forum_vyvod.php?id_tema=3153035
Огромное спасибо Литвиненко	http://www.spr.ru/forum_vyvod.php?id_tema=3141872
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3130215
Отличная операция и отношение	http://www.spr.ru/forum_vyvod.php?id_tema=3128953
Хороший родильный дом	http://www.spr.ru/forum_vyvod.php?id_tema=3117285
Неплохой роддом	http://www.spr.ru/forum_vyvod.php?id_tema=3114503
Спасибо за моего маленького мужчину	http://www.spr.ru/forum_vyvod.php?id_tema=3047099
Благодарна за сынулю	http://www.spr.ru/forum_vyvod.php?id_tema=3046659
Благодарность Пороховому	http://www.spr.ru/forum_vyvod.php?id_tema=2992476
Хорошие роды без анестезии	http://www.spr.ru/forum_vyvod.php?id_tema=2969728
Высокий профессионализм врачей и хорошие условия	http://www.spr.ru/forum_vyvod.php?id_tema=2893001
Огромное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2889848
Нужно выбирать место	http://www.spr.ru/forum_vyvod.php?id_tema=2876148
Везде человеческий фактор	http://www.spr.ru/forum_vyvod.php?id_tema=2862650
Благодарность врачу	http://www.spr.ru/forum_vyvod.php?id_tema=2851323
Благодарность сотрудникам центра	http://www.spr.ru/forum_vyvod.php?id_tema=2793635
Благодарность сотрудникам гинекологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=2790474
Спасибо большое	http://www.spr.ru/forum_vyvod.php?id_tema=2777196
Счастье быть мамой	http://www.spr.ru/forum_vyvod.php?id_tema=2775801
Благодарность медработникам	http://www.spr.ru/forum_vyvod.php?id_tema=2758706
Низкий поклон	http://www.spr.ru/forum_vyvod.php?id_tema=2751332
С Благодарностью моему доктору и всему персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=2746328
С Благодарностью Стражникову Илье Андреевичу	http://www.spr.ru/forum_vyvod.php?id_tema=2746167
Это не страшно	http://www.spr.ru/forum_vyvod.php?id_tema=2738509
Всем огромадное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2731868
Желаю всем счастья и хочу поделиться своим	http://www.spr.ru/forum_vyvod.php?id_tema=2726726
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2726341
Спасибо медперсоналу	http://www.spr.ru/forum_vyvod.php?id_tema=2706918
Спасибо доктору	http://www.spr.ru/forum_vyvod.php?id_tema=2706299
Благодарность персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=2701642
Смело пойду рожать	http://www.spr.ru/forum_vyvod.php?id_tema=2700492
Благодарность за честную и хорошую работу	http://www.spr.ru/forum_vyvod.php?id_tema=2688162
Огромное спасибо врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2674248
Золотые руки	http://www.spr.ru/forum_vyvod.php?id_tema=2672208
Профессионализм сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=2671294
Я стала мамой	http://www.spr.ru/forum_vyvod.php?id_tema=2663721
Спасибо за дочку	http://www.spr.ru/forum_vyvod.php?id_tema=2663716
Огромное спасибо специалистам центра	http://www.spr.ru/forum_vyvod.php?id_tema=2663129
Личная благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2655643
Хороший центр	http://www.spr.ru/forum_vyvod.php?id_tema=2655599
Благодарю коллектив центра планирования	http://www.spr.ru/forum_vyvod.php?id_tema=2648066
Родила дочку	http://www.spr.ru/forum_vyvod.php?id_tema=2646120
Благодарность профессионалам	http://www.spr.ru/forum_vyvod.php?id_tema=2640640
Бесплодие лечится	http://www.spr.ru/forum_vyvod.php?id_tema=2635194
Спасибо за доченьку	http://www.spr.ru/forum_vyvod.php?id_tema=2635189
От всей души рекомендую	http://www.spr.ru/forum_vyvod.php?id_tema=2634175
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2628383
Умнички и молодцы	http://www.spr.ru/forum_vyvod.php?id_tema=2622595
Спасибо за малыша	http://www.spr.ru/forum_vyvod.php?id_tema=2617148
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2615081
Хочу поблагодарить Волкову Марию Викторовну	http://www.spr.ru/forum_vyvod.php?id_tema=2606788
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2600522
Мои впечатления	http://www.spr.ru/forum_vyvod.php?id_tema=2592196
Очень хороший роддом	http://www.spr.ru/forum_vyvod.php?id_tema=2568251
Центр планирования семьи на Севастопольском	http://www.spr.ru/forum_vyvod.php?id_tema=2559529
Хороший роддом	http://www.spr.ru/forum_vyvod.php?id_tema=2530137
Хочу поблагодарить Крамаренко Марию Петровну	http://www.spr.ru/forum_vyvod.php?id_tema=2505417
Отличный врач	http://www.spr.ru/forum_vyvod.php?id_tema=2500657
Хочу поблагодарить сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=2467245
Радость от рождения	http://www.spr.ru/forum_vyvod.php?id_tema=2462828
Хочу сказать огромное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2445431
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2434008
Понравилось отношение врачей	http://www.spr.ru/forum_vyvod.php?id_tema=2417861
Спасибо Медведевой Полине Игоревне	http://www.spr.ru/forum_vyvod.php?id_tema=2409935
Спасибо Шамановой Марии Борисовне	http://www.spr.ru/forum_vyvod.php?id_tema=2380333
Хочу выразить бесконечную благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2356482
Хочу выразить благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2323368
Легкое недовольство, но в итоге благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2226629
Благодарность врачу	http://www.spr.ru/forum_vyvod.php?id_tema=2176528
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=709761
Хватова Анастасия Владимировна	http://www.spr.ru/forum_vyvod.php?id_tema=663135
Вокруг меня была создана домашняя обстановка	http://www.spr.ru/forum_vyvod.php?id_tema=555317
Очень довольна и готова рожать снова там же	http://www.spr.ru/forum_vyvod.php?id_tema=441419
На высоком уровне	http://www.spr.ru/forum_vyvod.php?id_tema=432659
Я всегда рекомендую этот роддом	http://www.spr.ru/forum_vyvod.php?id_tema=432658
Осмотр делают прямо при тебе	http://www.spr.ru/forum_vyvod.php?id_tema=432655
Буду кратка	http://www.spr.ru/forum_vyvod.php?id_tema=432654
Отзыв будет очень коротким	http://www.spr.ru/forum_vyvod.php?id_tema=432653
Вы наши пациенты и мы несем за вас ответственность	http://www.spr.ru/forum_vyvod.php?id_tema=432645
Спасибо моему доктору	http://www.spr.ru/forum_vyvod.php?id_tema=432644
Благодарность Шамановой	http://www.spr.ru/forum_vyvod.php?id_tema=432641
Благодарность Керимовой Зинаиде Мусаевне	http://www.spr.ru/forum_vyvod.php?id_tema=432637
Не зря оформила контракт	http://www.spr.ru/forum_vyvod.php?id_tema=432635
Хорошие все и добрые	http://www.spr.ru/forum_vyvod.php?id_tema=432631
Вылечили очень быстро	http://www.spr.ru/forum_vyvod.php?id_tema=432625
Позитив	http://www.spr.ru/forum_vyvod.php?id_tema=432622
У меня все хорошо	http://www.spr.ru/forum_vyvod.php?id_tema=432621
Здоровья и терпения Вам	http://www.spr.ru/forum_vyvod.php?id_tema=432620
Я крайне благодарна врачам	http://www.spr.ru/forum_vyvod.php?id_tema=432618
Искренне радовались за меня	http://www.spr.ru/forum_vyvod.php?id_tema=432613
Благодарны за полученную доброту	http://www.spr.ru/forum_vyvod.php?id_tema=432611
Спасибо всем большое	http://www.spr.ru/forum_vyvod.php?id_tema=432602
Ведь многое и от нас зависит	http://www.spr.ru/forum_vyvod.php?id_tema=432584
Вы грамотно выполняете свою работу	http://www.spr.ru/forum_vyvod.php?id_tema=432579
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=432578
Рожала по контракту	http://www.spr.ru/forum_vyvod.php?id_tema=432577
Решал все проблемы	http://www.spr.ru/forum_vyvod.php?id_tema=432575
Моей малышке уже два года	http://www.spr.ru/forum_vyvod.php?id_tema=432565
Спасибо за радость	http://www.spr.ru/forum_vyvod.php?id_tema=432560
Врачи заботятся о всех	http://www.spr.ru/forum_vyvod.php?id_tema=432558
Родили нашего второго ангелочка	http://www.spr.ru/forum_vyvod.php?id_tema=432557
Большие профессионалы	http://www.spr.ru/forum_vyvod.php?id_tema=432553
Выручила мой доктор	http://www.spr.ru/forum_vyvod.php?id_tema=432552
Благодарность роддому	http://www.spr.ru/forum_vyvod.php?id_tema=432551
Наблюдалась	http://www.spr.ru/forum_vyvod.php?id_tema=432549
Очень грамотно	http://www.spr.ru/forum_vyvod.php?id_tema=432548
Появился на свет здоровеньким	http://www.spr.ru/forum_vyvod.php?id_tema=432545
Примчусь рожать к вам	http://www.spr.ru/forum_vyvod.php?id_tema=432544
Благодаря ее золотым рукам	http://www.spr.ru/forum_vyvod.php?id_tema=432543
Всех Вам благ и успехов в работе, и во всем	http://www.spr.ru/forum_vyvod.php?id_tema=432541
Благодаря заботе	http://www.spr.ru/forum_vyvod.php?id_tema=432538
Благодарность роддому	http://www.spr.ru/forum_vyvod.php?id_tema=432535
Благодарность коллективу роддома	http://www.spr.ru/forum_vyvod.php?id_tema=432533
Довольна всем	http://www.spr.ru/forum_vyvod.php?id_tema=432532
Лучшая из лучших	http://www.spr.ru/forum_vyvod.php?id_tema=432526
Внимание и терпение	http://www.spr.ru/forum_vyvod.php?id_tema=432524
Отзыв о профессионализме врачей	http://www.spr.ru/forum_vyvod.php?id_tema=432522
Все прошло гладко и сладко	http://www.spr.ru/forum_vyvod.php?id_tema=432519
Готовилась к самому худшему	http://www.spr.ru/forum_vyvod.php?id_tema=432517
Сам центр порадовал	http://www.spr.ru/forum_vyvod.php?id_tema=432510
Просто громадное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=432509
Совершенно бесплатно	http://www.spr.ru/forum_vyvod.php?id_tema=432505
Супер-профессионал	http://www.spr.ru/forum_vyvod.php?id_tema=432504
Решила рожать заранее	http://www.spr.ru/forum_vyvod.php?id_tema=432494
Благодарность роддому	http://www.spr.ru/forum_vyvod.php?id_tema=432492
Желаю удачи всем	http://www.spr.ru/forum_vyvod.php?id_tema=432486
Не покидало чувство уверенности	http://www.spr.ru/forum_vyvod.php?id_tema=432459
В целом очень позитивные впечатления	http://www.spr.ru/forum_vyvod.php?id_tema=432452
Не все так замечательно и радужно	http://www.spr.ru/forum_vyvod.php?id_tema=432449
Благодарность роддому	http://www.spr.ru/forum_vyvod.php?id_tema=432443
Огромное человеческое спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=432442
Рожала первого ребенка в январе 2008	http://www.spr.ru/forum_vyvod.php?id_tema=432441
С вами я буду рожать хоть на краю света	http://www.spr.ru/forum_vyvod.php?id_tema=432437
Рожала в ЦПСР и мне очень все понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=432436
Рожала в 2001 и 2003 году	http://www.spr.ru/forum_vyvod.php?id_tema=432434
Спасибо за бесценный труд	http://www.spr.ru/forum_vyvod.php?id_tema=432433
Благодарность коллективу	http://www.spr.ru/forum_vyvod.php?id_tema=432432
Не могу найти достойные слова Благодарности	http://www.spr.ru/forum_vyvod.php?id_tema=432430
Я родила здесь двоих	http://www.spr.ru/forum_vyvod.php?id_tema=432427
Спасибо за сына	http://www.spr.ru/forum_vyvod.php?id_tema=432426
Все понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=432424
Полагайтнсь и доверяйте полностью своему врачу в родах	http://www.spr.ru/forum_vyvod.php?id_tema=432421
Еще раз огромное спасибо за все	http://www.spr.ru/forum_vyvod.php?id_tema=432418
Благодарю врача Аллу Валерьевну Пашкову	http://www.spr.ru/forum_vyvod.php?id_tema=432413
Прекрасный роддом	http://www.spr.ru/forum_vyvod.php?id_tema=432412
Помоги Вам Бог в вашей нелегкой работе	http://www.spr.ru/forum_vyvod.php?id_tema=432411
Выражаю огромную благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=432407
Отзывчивый и очень квалифицированный врач Пашкова Алла Валерьевна	http://www.spr.ru/forum_vyvod.php?id_tema=432406
Огромное спасибо врачу-акушеру Пашковой А В	http://www.spr.ru/forum_vyvod.php?id_tema=432405
Огромное спасибо Карабанович Яне Владимировне	http://www.spr.ru/forum_vyvod.php?id_tema=432404
Мой четвёртый сыночек родился здоровым только благодаря вам	http://www.spr.ru/forum_vyvod.php?id_tema=432401
Выражаю благодарность Анжеле Леонидовне Эльзон	http://www.spr.ru/forum_vyvod.php?id_tema=432397
Очень довольна всем	http://www.spr.ru/forum_vyvod.php?id_tema=432396
Это профессионал с большой буквы	http://www.spr.ru/forum_vyvod.php?id_tema=432394
В конце 2007 года родила чудесную девочку	http://www.spr.ru/forum_vyvod.php?id_tema=432393
Спасибо вам большое	http://www.spr.ru/forum_vyvod.php?id_tema=432392
Легких вам родов девочки	http://www.spr.ru/forum_vyvod.php?id_tema=432390
Благодарю врачей	http://www.spr.ru/forum_vyvod.php?id_tema=432389
Большое спасибо Нормантович Татьяне Олеговне	http://www.spr.ru/forum_vyvod.php?id_tema=432387
Выражаю благодарность Пашковой Алле Валерьевне	http://www.spr.ru/forum_vyvod.php?id_tema=432386
Хочу поблагодарить	http://www.spr.ru/forum_vyvod.php?id_tema=432385
Низкий поклон за профессионализм	http://www.spr.ru/forum_vyvod.php?id_tema=432384
Нам скоро годик и вас не забываем	http://www.spr.ru/forum_vyvod.php?id_tema=432383
Очень хочу поблагодарить Тищенко Евгению Петровну	http://www.spr.ru/forum_vyvod.php?id_tema=432382
Хочу выразить благодарность доктору Борисову Андрею Владимировичу	http://www.spr.ru/forum_vyvod.php?id_tema=432237
Благодарю замечательного Доктора и Человека Пашкову Аллу Валерьевну	http://www.spr.ru/forum_vyvod.php?id_tema=432236
Хочу от всего сердца поблагодарить	http://www.spr.ru/forum_vyvod.php?id_tema=432234
Прекрасное отношение	http://www.spr.ru/forum_vyvod.php?id_tema=432231
Я в восторге благодарна всем	http://www.spr.ru/forum_vyvod.php?id_tema=432230
Очень вежливый и знающий доктор	http://www.spr.ru/forum_vyvod.php?id_tema=432225
Я осталась очень довольна	http://www.spr.ru/forum_vyvod.php?id_tema=432224
Если решусь на второго ребенка то только к вам	http://www.spr.ru/forum_vyvod.php?id_tema=432223
Спасибо всем вам за такой тяжелый и нужный труд	http://www.spr.ru/forum_vyvod.php?id_tema=432222
Отличный роддом	http://www.spr.ru/forum_vyvod.php?id_tema=432220
Очень довольна родильным блоком	http://www.spr.ru/forum_vyvod.php?id_tema=432215
Никогда не забуду прекрасного, отзывчивого, внимательного доктора	http://www.spr.ru/forum_vyvod.php?id_tema=432213
Я рада что попала именно к Зинаиде Мусаевне	http://www.spr.ru/forum_vyvod.php?id_tema=432212
Роды прошли просто замечательно	http://www.spr.ru/forum_vyvod.php?id_tema=432211
Самый счастливый день в моей жизни	http://www.spr.ru/forum_vyvod.php?id_tema=432209
Хочу сказать спасибо профессору Шалиной Раисе Ивановне	http://www.spr.ru/forum_vyvod.php?id_tema=432206
Большое спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=432205
Огромное спасибо Керимовой Зинаиде Мусаевне	http://www.spr.ru/forum_vyvod.php?id_tema=432202
Огромное спасибо Пашковой Алле Валерьевне за нашу дочку	http://www.spr.ru/forum_vyvod.php?id_tema=432186
Мне понравилось абсолютно все	http://www.spr.ru/forum_vyvod.php?id_tema=432180
Отзыв	http://www.spr.ru/forum_vyvod.php?id_tema=432179
Выражаю особенную благодарность врачу Эльзон Анжеле Леонидовне	http://www.spr.ru/forum_vyvod.php?id_tema=432176
Огромное спасибо всем сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=432169
ЦПСиР оценила бы на 4+	http://www.spr.ru/forum_vyvod.php?id_tema=432166
За четвертым малышом только к ней	http://www.spr.ru/forum_vyvod.php?id_tema=432165
Низкий поклон за Ваши золотые руки	http://www.spr.ru/forum_vyvod.php?id_tema=432162
Огромнейшее спасибо всему персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=432161
За вторым ребенком к вам	http://www.spr.ru/forum_vyvod.php?id_tema=432160
Спасибо всему персоналу ЦПСР	http://www.spr.ru/forum_vyvod.php?id_tema=432156
Огромное спасибо Шамановой Марии Борисовне	http://www.spr.ru/forum_vyvod.php?id_tema=432155
Превосходная работа сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=432152
Признательна всему коллективу врачей и сестер	http://www.spr.ru/forum_vyvod.php?id_tema=432150
Желаю всем удачных родов и здоровых детишек	http://www.spr.ru/forum_vyvod.php?id_tema=432148
Огромное спасибо всему персоналу роддома	http://www.spr.ru/forum_vyvod.php?id_tema=432140
Благодарность за прекрасные роды	http://www.spr.ru/forum_vyvod.php?id_tema=432139
Хочу сказать огромное спасибо Калашникову	http://www.spr.ru/forum_vyvod.php?id_tema=432138
Врача искреннее рекомендую	http://www.spr.ru/forum_vyvod.php?id_tema=432136
Роддом просто супер	http://www.spr.ru/forum_vyvod.php?id_tema=432135
Хороший роддом	http://www.spr.ru/forum_vyvod.php?id_tema=432132
Хочу выразить огромную благодарность чудесному врачу	http://www.spr.ru/forum_vyvod.php?id_tema=432130
Хотим от всей души поблагодарить Шаманову Марию Борисовну	http://www.spr.ru/forum_vyvod.php?id_tema=432129
Огромное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=432128
Спасибо огромное	http://www.spr.ru/forum_vyvod.php?id_tema=432125
Это великолепный роддом	http://www.spr.ru/forum_vyvod.php?id_tema=432122
Я родила замечательную здоровенькую доченьку Полину	http://www.spr.ru/forum_vyvod.php?id_tema=432121
