name	url
ЦЕНТР ПЛАНИРОВАНИЯ СЕМЬИ И РЕПРОДУКЦИИ	http://www.spr.ru/cheremushki/tsentr-planirovaniya-semi-i-reproduktsii-243161.html
ЦЕНТР ИММУНОЛОГИИ И РЕПРОДУКЦИИ	http://www.spr.ru/marino/tsentr-immunologii-i-reproduktsii.html
КРЕДЕ ЭКСПЕРТО, гинекологическая клиника	http://www.spr.ru/meschanskiy/krede-eksperto-963440.html
КЛИНИКА АКУШЕРСТВА И ГИНЕКОЛОГИИ ИМ. В.Ф. СНЕГИРЁВА	http://www.spr.ru/hamovniki/klinika-akusherstva-i-ginekologii-im-v-f-snegireva.html
ЦЕНТР ТРАДИЦИОННОГО АКУШЕРСТВА	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/tsentr-traditsionnogo-akusherstva.html
ЛИНИЯ ЖИЗНИ, центр репродукции	http://www.spr.ru/mozhayskiy/liniya-zhizni-4511452.html
РЕЛАКС+, медицинский центр	http://www.spr.ru/balashiha-i-gorodskoy-okrug-balashiha/relaks-75152.html
ЭКО-ЦЕНТР И К, центр акушерства и гинекологии	http://www.spr.ru/obruchevskiy/eko-tsentr-i-k.html
ЮНОНА, гинекологическая клиника	http://www.spr.ru/tverskoy/yunona-117831.html
ЦЕНТР ИММУНОЛОГИИ И РЕПРОДУКЦИИ	http://www.spr.ru/voykovskiy/tsentr-immunologii-i-reproduktsii-233638.html
ЦЕНТР ИММУНОЛОГИИ И РЕПРОДУКЦИИ	http://www.spr.ru/zamoskvoreche/tsentr-immunologii-i-reproduktsii-449713.html
ЦЕНТР ПЛАНИРОВАНИЯ СЕМЬИ И РЕПРОДУКЦИИ № 3	http://www.spr.ru/babushkinskiy/tsentr-planirovaniya-semi-i-reproduktsii-3.html
КЛИНИКА ЖЕНСКОГО ЗДОРОВЬЯ	http://www.spr.ru/domodedovo-i-gorodskoy-okrug-domodedovo/klinika-zhenskogo-zdorovya-977459.html
ЦЕНТР ЖЕНСКОГО ЗДОРОВЬЯ	http://www.spr.ru/dorogomilovo/tsentr-zhenskogo-zdorovya-1100909.html
КЛИНИКА ЖЕНСКОГО ЗДОРОВЬЯ, диагностический центр	http://www.spr.ru/presnenskiy/klinika-zhenskogo-zdorovya.html
КЛИНИКА ЖЕНСКОГО ЗДОРОВЬЯ	http://www.spr.ru/taganskiy/klinika-zhenskogo-zdorovya-110103.html
ЦЕНТР ПЛАНИРОВАНИЯ СЕМЬИ И РЕПРОДУКЦИИ № 2	http://www.spr.ru/danilovskiy/tsentr-planirovaniya-semi-i-reproduktsii-2.html
МЕДИЦИНСКИЙ ЦЕНТР ЖЕНСКОГО ЗДОРОВЬЯ	http://www.spr.ru/severnoe-medvedkovo/meditsinskiy-tsentr-zhenskogo-zdorovya.html
ЦЕНТР ПЛАНИРОВАНИЯ СЕМЬИ И РЕПРОДУКЦИИ ЧЕЛОВЕКА	http://www.spr.ru/vihino-zhulebino/tsentr-planirovaniya-semi-i-reproduktsii-cheloveka.html
ЦЕНТРА ТРАДИЦИОННОГО АКУШЕРСТВА	http://www.spr.ru/basmanniy/tsentra-traditsionnogo-akusherstva-1110342.html
ЦЕНТР ПЛАНИРОВАНИЯ СЕМЬИ И РЕПРОДУКЦИИ	http://www.spr.ru/akademicheskiy/tsentr-planirovaniya-semi-i-reproduktsii.html
ЗДОРОВОЕ НАСЛЕДИЕ, клиника репродуктивной медицины	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/zdorovoe-nasledie.html
КЛИНИКА ГИНЕКОЛОГИИ	http://www.spr.ru/dorogomilovo/klinika-ginekologii.html
КЛИНИКА УРО-ГИНЕКОЛОГИИ	http://www.spr.ru/tverskoy/klinika-uro-ginekologii.html
МЕДИКУС, гинекологический центр	http://www.spr.ru/beskudnikovskiy/medikus.html
МЕДСТАР, гинекологический центр	http://www.spr.ru/pavlovskiy-posad-i-pavlovo-posadskiy-rayon/medstar.html
МОСКОВСКИЙ ЦЕНТР УРО-АНДРОЛОГИИ И РЕПРОДУКТИВНОЙ ГИНЕКОЛОГИИ	http://www.spr.ru/kuntsevo/moskovskiy-tsentr-uro-andrologii-i-reproduktivnoy-ginekologii.html
РЕСПУБЛИКАНСКИЙ ЦЕНТР РЕПРОДУКЦИИ ЧЕЛОВЕКА	http://www.spr.ru/pokrovskoe-streshnevo/respublikanskiy-tsentr-reproduktsii-cheloveka.html
ЦЕНТР ИММУНОЛОГИИ И РЕПРОДУКЦИИ	http://www.spr.ru/yuzhnoportoviy/tsentr-immunologii-i-reproduktsii-4475916.html
ВИТА, клиника женского здоровья	http://www.spr.ru/obruchevskiy/vita-17145.html
СМ-КЛИНИКА, центр репродуктивного здоровья	http://www.spr.ru/begovoy/sm-klinika-4475913.html
