name	url
Благодарность сотруднику Кирилюк на Фрунзенской	http://www.spr.ru/forum_vyvod.php?id_tema=3469651
Хорошая поликлиника	http://www.spr.ru/forum_vyvod.php?id_tema=3422934
Отзыв о посещении логопеда в Семашко Матвеевой Е А	http://www.spr.ru/forum_vyvod.php?id_tema=3390274
Благодарность Твалиашвили Г А	http://www.spr.ru/forum_vyvod.php?id_tema=3386129
Врачу	http://www.spr.ru/forum_vyvod.php?id_tema=3376849
Понравилась консультация психиатра	http://www.spr.ru/forum_vyvod.php?id_tema=3349383
Гастроэнтеролог Корнилова	http://www.spr.ru/forum_vyvod.php?id_tema=3347913
И вновь об актуальной теме - Деревцов В В	http://www.spr.ru/forum_vyvod.php?id_tema=3338387
И только к Деревцову ВВ	http://www.spr.ru/forum_vyvod.php?id_tema=3337215
Благодарность врачу Садовниковой	http://www.spr.ru/forum_vyvod.php?id_tema=3257474
Благодарность врачу	http://www.spr.ru/forum_vyvod.php?id_tema=3242020
Замечательный доктор	http://www.spr.ru/forum_vyvod.php?id_tema=3229704
Логопед	http://www.spr.ru/forum_vyvod.php?id_tema=3225876
Уделяется много времени	http://www.spr.ru/forum_vyvod.php?id_tema=3209245
Замечательный логопед	http://www.spr.ru/forum_vyvod.php?id_tema=3194683
Гастроэнтеролог Садовникова	http://www.spr.ru/forum_vyvod.php?id_tema=3175564
Благодарность стоматологу	http://www.spr.ru/forum_vyvod.php?id_tema=2965621
Благодарность кардиологу Логинову	http://www.spr.ru/forum_vyvod.php?id_tema=2935356
Лаборатория	http://www.spr.ru/forum_vyvod.php?id_tema=2918149
Отличный доктор	http://www.spr.ru/forum_vyvod.php?id_tema=2830737
Не прогадали с неврологом	http://www.spr.ru/forum_vyvod.php?id_tema=2830206
Благодарность Березину Валерию Николаевичу	http://www.spr.ru/forum_vyvod.php?id_tema=2799885
Хороший педиатр	http://www.spr.ru/forum_vyvod.php?id_tema=2783470
Отличные врачи	http://www.spr.ru/forum_vyvod.php?id_tema=2766781
Отделение на Бауманской	http://www.spr.ru/forum_vyvod.php?id_tema=2610228
Гастроэнтерологом остались довольны	http://www.spr.ru/forum_vyvod.php?id_tema=2492305
Отличный лор	http://www.spr.ru/forum_vyvod.php?id_tema=2408793
Хочу поделиться опытом	http://www.spr.ru/forum_vyvod.php?id_tema=2366102
Нареканий нет	http://www.spr.ru/forum_vyvod.php?id_tema=2195263
Оформляли карту в садик	http://www.spr.ru/forum_vyvod.php?id_tema=2190812
Специалисты здесь действительно отличные	http://www.spr.ru/forum_vyvod.php?id_tema=2131433
Вполне демократичные цены	http://www.spr.ru/forum_vyvod.php?id_tema=2131431
Снимают напряжение	http://www.spr.ru/forum_vyvod.php?id_tema=2131427
Отличная поликлиника	http://www.spr.ru/forum_vyvod.php?id_tema=606505
Филиал на Бауманской	http://www.spr.ru/forum_vyvod.php?id_tema=461042
Хочу поблагодарить невролога Кузину и окулиста Ветрова	http://www.spr.ru/forum_vyvod.php?id_tema=358802
Хочу поблагодарить доктора Абовян Нонну Михайловну	http://www.spr.ru/forum_vyvod.php?id_tema=25188
Грубый ответ	http://www.spr.ru/forum_vyvod.php?id_tema=3444571
Невролог Зайцева	http://www.spr.ru/forum_vyvod.php?id_tema=3441678
Бауманская, педиатр Лыкова	http://www.spr.ru/forum_vyvod.php?id_tema=3439744
На Бауманской	http://www.spr.ru/forum_vyvod.php?id_tema=3435152
Абсолютно безграмотный лор Кривец	http://www.spr.ru/forum_vyvod.php?id_tema=3414080
Полный бардак в поликлинике	http://www.spr.ru/forum_vyvod.php?id_tema=3397171
Детский педиатр	http://www.spr.ru/forum_vyvod.php?id_tema=3373277
Некачественный осмотр педиатра	http://www.spr.ru/forum_vyvod.php?id_tema=3351091
Безразличие педиатра Деревцова	http://www.spr.ru/forum_vyvod.php?id_tema=3347905
Непрофессионализм врача	http://www.spr.ru/forum_vyvod.php?id_tema=3347899
Результаты анализов	http://www.spr.ru/forum_vyvod.php?id_tema=3338082
Семашко на Б Почтовой	http://www.spr.ru/forum_vyvod.php?id_tema=3337479
Отвратительное ценообразование	http://www.spr.ru/forum_vyvod.php?id_tema=3336462
Не ходите к Деревцову	http://www.spr.ru/forum_vyvod.php?id_tema=3333760
Сплошное безразличие	http://www.spr.ru/forum_vyvod.php?id_tema=3316873
Установление неправильного диагноза	http://www.spr.ru/forum_vyvod.php?id_tema=3284566
Невнимательное отношение	http://www.spr.ru/forum_vyvod.php?id_tema=3273742
Агрессивный педиатр и плохой сервис	http://www.spr.ru/forum_vyvod.php?id_tema=3269055
Договорные услуги	http://www.spr.ru/forum_vyvod.php?id_tema=3251564
Отвратительная работа регистратуры	http://www.spr.ru/forum_vyvod.php?id_tema=3238591
Ответ по телефону	http://www.spr.ru/forum_vyvod.php?id_tema=3192808
Пульмонолог	http://www.spr.ru/forum_vyvod.php?id_tema=3192249
Лор	http://www.spr.ru/forum_vyvod.php?id_tema=3182816
Неграмотность врача	http://www.spr.ru/forum_vyvod.php?id_tema=3159561
Безразличие и отсутствие профессионализма	http://www.spr.ru/forum_vyvod.php?id_tema=3102132
Обслуживание в регистратуре	http://www.spr.ru/forum_vyvod.php?id_tema=3093839
Полный непрофессионализм врача	http://www.spr.ru/forum_vyvod.php?id_tema=3070310
Невнимательное отношение к постановке диагноза	http://www.spr.ru/forum_vyvod.php?id_tema=2908135
Отрицательный отзыв о враче	http://www.spr.ru/forum_vyvod.php?id_tema=2905423
Низкая квалификация врача	http://www.spr.ru/forum_vyvod.php?id_tema=2905386
В голове не укладывается	http://www.spr.ru/forum_vyvod.php?id_tema=2872956
Врач Винников	http://www.spr.ru/forum_vyvod.php?id_tema=2865117
