name	url
ЦЕНТР ДИАГНОСТИКИ И ЛЕЧЕНИЯ СЕМАШКО, вызов врача на дом, офтальмолог, УЗИ, колоноскопия	http://www.spr.ru/hamovniki/detskiy-tsentr-diagnostiki-i-lecheniya-imeni-n-a-semashko.html
ФЭНТЕЗИ, детская клиника, отличные педиатры и другие детские врачи в ЮЗАО	http://www.spr.ru/lomonosovskiy/fentezi-4671124.html
ОКЕАН ЗДОРОВЬЯ, детский медицинский центр	http://www.spr.ru/balashiha-i-gorodskoy-okrug-balashiha/okean-zdorovya-1183590.html
ДЕТСКИЙ ДИАГНОСТИЧЕСКИЙ ЦЕНТР	http://www.spr.ru/domodedovo-i-gorodskoy-okrug-domodedovo/detskiy-diagnosticheskiy-tsentr-1118380.html
МАШЕНЬКА, детский медицинский центр	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/mashenka-4651361.html
ИНСТИТУТ ДЕТСКОЙ НЕВРОЛОГИИ И ЭПИЛЕПСИИ ИМЕНИ СВЯТИТЕЛЯ ЛУКИ	http://www.spr.ru/troitsk/institut-detskoy-nevrologii-i-epilepsii-imeni-svyatitelya-luki.html
ТИГРЁНОК, детский медицинский центр	http://www.spr.ru/izmaylovo/tigrenok-1020530.html
МАРКУШКА, детская поликлиника, стоматология	http://www.spr.ru/balashiha-i-gorodskoy-okrug-balashiha/markushka-4577345.html
ЛЬВЁНОК, детский медицинский центр	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/lvenok-4609322.html
ПЕДИАТР И Я, детский медицинский центр	http://www.spr.ru/severnoe-butovo/pediatr-i-ya-4660658.html
СМ-ДОКТОР, детский медицинский центр	http://www.spr.ru/koptevo/sm-doktor.html
МОСКОВСКИЙ ОБЛАСТНОЙ КОНСУЛЬТАТИВНО-ДИАГНОСТИЧЕСКИЙ ЦЕНТР ДЛЯ ДЕТЕЙ	http://www.spr.ru/danilovskiy/moskovskiy-oblastnoy-konsultativno-diagnosticheskiy-tsentr-dlya-detey.html
НАУЧНЫЙ ЦЕНТР ЗДОРОВЬЯ ДЕТЕЙ РАМН	http://www.spr.ru/gagarinskiy/nauchniy-tsentr-zdorovya-detey-ramn.html
СОЛНЫШКО, детский медицинский центр	http://www.spr.ru/voskresensk-i-voskresenskiy-rayon/solnishko-1001262.html
ВИТАМИНКА, детский медицинский центр	http://www.spr.ru/balashiha-i-gorodskoy-okrug-balashiha/vitaminka-4379623.html
МЕДИАРТ, детский медицинский центр	http://www.spr.ru/novo-peredelkino/mediart-962074.html
АВТОР-МЕД, детская клиника	http://www.spr.ru/tepliy-stan/avtor-med.html
АЙБОЛИТ, детский медицинский центр	http://www.spr.ru/dolgoprudniy-i-gorodskoy-okrug-dolgoprudniy/aybolit-4626129.html
НЕБОЛЕЙКА, детский медицинский центр	http://www.spr.ru/mitischi-i-mitischinskiy-rayon/neboleyka-4261444.html
