name	url
Благодарность Зайцевой Ирине Александровне	http://www.spr.ru/forum_vyvod.php?id_tema=2840660
Великолепные сотрудники	http://www.spr.ru/forum_vyvod.php?id_tema=2685572
Плохое отношение и качество работы с клиентами	http://www.spr.ru/forum_vyvod.php?id_tema=3045891
Отношение к бесплатным клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=2944288
Обслуживание клиентов	http://www.spr.ru/forum_vyvod.php?id_tema=2842806
Можно сказать и так	http://www.spr.ru/forum_vyvod.php?id_tema=2707846
Невыполнение обязательств	http://www.spr.ru/forum_vyvod.php?id_tema=2132998
Работает один кабинет	http://www.spr.ru/forum_vyvod.php?id_tema=675359
Хороший доктор Громов	http://www.spr.ru/forum_vyvod.php?id_tema=3034758
Благодарность персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=3012712
Хорошие врачи	http://www.spr.ru/forum_vyvod.php?id_tema=2197590
Особая благодарность Жарову	http://www.spr.ru/forum_vyvod.php?id_tema=555203
Мне понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=473676
Хорошие врачи	http://www.spr.ru/forum_vyvod.php?id_tema=452884
Очень вежливые в регистратуре	http://www.spr.ru/forum_vyvod.php?id_tema=353369
Хороший детский дерматолог	http://www.spr.ru/forum_vyvod.php?id_tema=178346
Очень качественно и не дорого!	http://www.spr.ru/forum_vyvod.php?id_tema=18045
Пришла на прием	http://www.spr.ru/forum_vyvod.php?id_tema=2806705
Примите меры	http://www.spr.ru/forum_vyvod.php?id_tema=2591324
Отношение как в бесплатной организации	http://www.spr.ru/forum_vyvod.php?id_tema=2135120
Бездельники	http://www.spr.ru/forum_vyvod.php?id_tema=589678
Неквалифицированные врачи	http://www.spr.ru/forum_vyvod.php?id_tema=375425
Девушке в регистратуре надо быть повежливей	http://www.spr.ru/forum_vyvod.php?id_tema=244606
Регистратура ничего не знает	http://www.spr.ru/forum_vyvod.php?id_tema=88915
Незаконный отказ в выдаче справок	http://www.spr.ru/forum_vyvod.php?id_tema=18706
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2859253
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2858247
Поздравление с 8 марта	http://www.spr.ru/forum_vyvod.php?id_tema=2857809
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2837132
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2785205
Хороший диспансер	http://www.spr.ru/forum_vyvod.php?id_tema=2784254
