name	url
КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/sergiev-posad-i-sergievo-posadskiy-rayon/kozhno-venerologicheskiy-dispanser-212562.html
КРАСНОГОРСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/krasnogorsk-i-krasnogorskiy-rayon/krasnogorskiy-kozhno-venerologicheskiy-dispanser.html
КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 21	http://www.spr.ru/lyublino/kozhno-venerologicheskiy-dispanser-21.html
КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 15	http://www.spr.ru/veshnyaki/kozhno-venerologicheskiy-dispanser-15.html
МЫТИЩИНСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/mitischi-i-mitischinskiy-rayon/mitischinskiy-kozhno-venerologicheskiy-dispanser.html
ЩЁЛКОВСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/schelkovo-i-schelkovskiy-rayon/schelkovskiy-kozhno-venerologicheskiy-dispanser.html
ДОМОДЕДОВСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/domodedovo-i-gorodskoy-okrug-domodedovo/domodedovskiy-kozhno-venerologicheskiy-dispanser.html
Кожно-венерологическое отделение, РАМЕНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/kozhno-venerologicheskoe-otdelenie-210523.html
ПОДОЛЬСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/podolsk-i-podolskiy-rayon/podolskiy-kozhno-venerologicheskiy-dispanser.html
ХИМКИНСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/himki-i-gorodskoy-okrug-himki/himkinskiy-kozhno-venerologicheskiy-dispanser.html
КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 19, отделение медосмотров	http://www.spr.ru/altufevskiy/kozhno-venerologicheskiy-dispanser-19.html
КОРОЛЁВСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/korolev-i-gorodskoy-okrug-korolev/korolevskiy-kozhno-venerologicheskiy-dispanser.html
ОРЕХОВО-ЗУЕВСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/orehovo-zuevo-i-orehovo-zuevskiy-rayon/orehovo-zuevskiy-kozhno-venerologicheskiy-dispanser.html
ПАВЛОВО-ПОСАДСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/pavlovskiy-posad-i-pavlovo-posadskiy-rayon/pavlovo-posadskiy-kozhno-venerologicheskiy-dispanser.html
КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/balashiha-i-gorodskoy-okrug-balashiha/kozhno-venerologicheskiy-dispanser.html
ОДИНЦОВСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/odintsovskiy-kozhno-venerologicheskiy-dispanser.html
КЛИНСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/klin-i-klinskiy-rayon/klinskiy-kozhno-venerologicheskiy-dispanser.html
КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/dmitrov-i-dmitrovskiy-rayon/kozhno-venerologicheskiy-dispanser-225764.html
КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 27	http://www.spr.ru/schukino/kozhno-venerologicheskiy-dispanser-27.html
МОСКОВСКИЙ НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР ДЕРМАТОВЕНЕРОЛОГИИ И КОСМЕТОЛОГИИ, филиал Варшавский	http://www.spr.ru/nagorniy/moskovskiy-nauchno-prakticheskiy-tsentr-dermatovenerologii-i-kosmetologii-24637.html
Дерматовенерологическое диспансерное отделение, ВОСКРЕСЕНСКАЯ ПЕРВАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/voskresensk-i-voskresenskiy-rayon/dermatovenerologicheskoe-dispansernoe-otdelenie.html
КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/pushkino-i-pushkinskiy-rayon/kozhno-venerologicheskiy-dispanser-209204.html
КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/egorevsk-i-egorevskiy-rayon/kozhno-venerologicheskiy-dispanser-227249.html
КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/serpuhov-i-serpuhovskiy-rayon/kozhno-venerologicheskiy-dispanser-221412.html
КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 20	http://www.spr.ru/rostokino/kozhno-venerologicheskiy-dispanser-20.html
МОСКОВСКИЙ НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР ДЕРМАТОВЕНЕРОЛОГИИ И КОСМЕТОЛОГИИ, филиал Тимирязевский	http://www.spr.ru/koptevo/moskovskiy-nauchno-prakticheskiy-tsentr-dermatovenerologii-i-kosmetologii-18053.html
МОСКОВСКИЙ НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР ДЕРМАТОВЕНЕРОЛОГИИ И КОСМЕТОЛОГИИ, филиал Центральный	http://www.spr.ru/tverskoy/moskovskiy-nauchno-prakticheskiy-tsentr-dermatovenerologii-i-kosmetologii-103352.html
МОСКОВСКИЙ НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР ДЕРМАТОЛОГИИ И КОСМЕТОЛОГИИ, Тушинский филиал	http://www.spr.ru/yuzhnoe-tushino/moskovskiy-nauchno-prakticheskiy-tsentr-dermatologii-i-kosmetologii.html
МОСКОВСКИЙ ОБЛАСТНОЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/meschanskiy/moskovskiy-oblastnoy-kozhno-venerologicheskiy-dispanser.html
КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/reutov-i-gorodskoy-okrug-reutov/kozhno-venerologicheskiy-dispanser-220588.html
КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 9	http://www.spr.ru/presnenskiy/kozhno-venerologicheskiy-dispanser-9.html
