name	url
Большое спасибо Устинову Ивану Николаевичу	http://www.spr.ru/forum_vyvod.php?id_tema=3157256
Плохое отношение	http://www.spr.ru/forum_vyvod.php?id_tema=2885903
Это не медицина	http://www.spr.ru/forum_vyvod.php?id_tema=2970080
Результат	http://www.spr.ru/forum_vyvod.php?id_tema=2248684
У меня был надежда	http://www.spr.ru/forum_vyvod.php?id_tema=2948592
Плохое отношение к клиенту	http://www.spr.ru/forum_vyvod.php?id_tema=2477291
Откуда такие цены	http://www.spr.ru/forum_vyvod.php?id_tema=603742
Дозвониться практически невозможно	http://www.spr.ru/forum_vyvod.php?id_tema=2592124
Обратился в этот диспансер	http://www.spr.ru/forum_vyvod.php?id_tema=648017
Регистратура	http://www.spr.ru/forum_vyvod.php?id_tema=598736
Возврат в СССР	http://www.spr.ru/forum_vyvod.php?id_tema=595260
Фальсификация записей в карте пациентов	http://www.spr.ru/forum_vyvod.php?id_tema=317824
Хамский отказ в обслуживании	http://www.spr.ru/forum_vyvod.php?id_tema=2598741
О врачах	http://www.spr.ru/forum_vyvod.php?id_tema=2305430
Сердечная благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2410993
Надменное отношение и готовьте сумму без сдачи	http://www.spr.ru/forum_vyvod.php?id_tema=3405479
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3393197
Хочу поблагодарить Огневую Светлану	http://www.spr.ru/forum_vyvod.php?id_tema=3391780
Спасибо сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3391762
Справка	http://www.spr.ru/forum_vyvod.php?id_tema=2554997
Справка в ГАИ	http://www.spr.ru/forum_vyvod.php?id_tema=558646
Тест на наркотики	http://www.spr.ru/forum_vyvod.php?id_tema=2502017
Оплата	http://www.spr.ru/forum_vyvod.php?id_tema=2490396
Результаты уже месяц не приходят	http://www.spr.ru/forum_vyvod.php?id_tema=2253279
Выборочно плохое отношение к клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=532568
Доктор Кабанов	http://www.spr.ru/forum_vyvod.php?id_tema=3211240
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2819355
Отличный результат	http://www.spr.ru/forum_vyvod.php?id_tema=2751220
Бросил курить	http://www.spr.ru/forum_vyvod.php?id_tema=2639401
Долгий результат	http://www.spr.ru/forum_vyvod.php?id_tema=2290258
Получала справку	http://www.spr.ru/forum_vyvod.php?id_tema=3351010
Медленная работа сотрудников наркологического диспансера	http://www.spr.ru/forum_vyvod.php?id_tema=3178802
Мнение посетителя диспансера	http://www.spr.ru/forum_vyvod.php?id_tema=2505584
Нельзя дозвониться	http://www.spr.ru/forum_vyvod.php?id_tema=3102087
Сплошное хамство	http://www.spr.ru/forum_vyvod.php?id_tema=547803
Терпения и еще раз терпения	http://www.spr.ru/forum_vyvod.php?id_tema=2948529
Не дайте умереть нашему народу	http://www.spr.ru/forum_vyvod.php?id_tema=2904598
Хочу сказать о наркологе	http://www.spr.ru/forum_vyvod.php?id_tema=2967183
Уровень нулевой	http://www.spr.ru/forum_vyvod.php?id_tema=2948534
Нарушают права граждан	http://www.spr.ru/forum_vyvod.php?id_tema=548686
Бестолковый сайт	http://www.spr.ru/forum_vyvod.php?id_tema=3005506
Огромное спасибо за хороший прием	http://www.spr.ru/forum_vyvod.php?id_tema=586032
Видимо ветер перемен	http://www.spr.ru/forum_vyvod.php?id_tema=444560
Не выполняют инструкцию	http://www.spr.ru/forum_vyvod.php?id_tema=444559
Плохое отношение к клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=3274085
Поразительная безответственность персонала	http://www.spr.ru/forum_vyvod.php?id_tema=2115485
Быстро и без проблем	http://www.spr.ru/forum_vyvod.php?id_tema=604744
Нервный врач	http://www.spr.ru/forum_vyvod.php?id_tema=190796
Что-то невообразимое	http://www.spr.ru/forum_vyvod.php?id_tema=2552808
