name	url
ЛЮБЕРЕЦКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/lyuberetskiy-narkologicheskiy-dispanser.html
ХИМКИНСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/himki-i-gorodskoy-okrug-himki/himkinskiy-narkologicheskiy-dispanser.html
ПОДОЛЬСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/podolsk-i-podolskiy-rayon/podolskiy-narkologicheskiy-dispanser.html
НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР № 11	http://www.spr.ru/horoshevskiy/narkologicheskiy-dispanser-11.html
НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР № 5	http://www.spr.ru/sergiev-posad-i-sergievo-posadskiy-rayon/narkologicheskiy-dispanser-5.html
ЩЁЛКОВСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/schelkovo-i-schelkovskiy-rayon/schelkovskiy-narkologicheskiy-dispanser.html
НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР № 7	http://www.spr.ru/pokrovskoe-streshnevo/narkologicheskiy-dispanser-7.html
НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР № 8	http://www.spr.ru/sokolinaya-gora/narkologicheskiy-dispanser-8-71364.html
МОСКОВСКИЙ НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР НАРКОЛОГИИ, филиал № 3	http://www.spr.ru/losinoostrovskiy/moskovskiy-nauchno-prakticheskiy-tsentr-narkologii-53529.html
ОДИНЦОВСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР ДЛЯ ДЕТЕЙ И ПОДРОСТКОВ	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/odintsovskiy-narkologicheskiy-dispanser-dlya-detey-i-podrostkov.html
НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР № 10	http://www.spr.ru/matushkino/narkologicheskiy-dispanser-10.html
МОСКОВСКИЙ ОБЛАСТНОЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР, Пушкинское отделение	http://www.spr.ru/pushkino-i-pushkinskiy-rayon/moskovskiy-oblastnoy-narkologicheskiy-dispanser.html
НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/balashiha-i-gorodskoy-okrug-balashiha/narkologicheskiy-dispanser-75137.html
НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР № 2	http://www.spr.ru/krasnoselskiy/narkologicheskiy-dispanser-2.html
НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/zheleznodorozhniy-i-gorodskoy-okrug-zheleznodorozhniy/narkologicheskiy-dispanser-940855.html
НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/noginsk-i-noginskiy-rayon/narkologicheskiy-dispanser-968307.html
КОРОЛЁВСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/korolev-i-gorodskoy-okrug-korolev/korolevskiy-narkologicheskiy-dispanser.html
НАРКОЛОГИЧЕСКОЕ ДИСПАНСЕРНОЕ ОТДЕЛЕНИЕ	http://www.spr.ru/mitischi-i-mitischinskiy-rayon/narkologicheskoe-dispansernoe-otdelenie-215032.html
Наркологическое диспансерное отделение, МОСКОВСКАЯ ОБЛАСТНАЯ ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА № 23	http://www.spr.ru/naro-fominsk-i-naro-fominskiy-rayon/narkologicheskoe-dispansernoe-otdelenie.html
НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР № 8, Филиал № 8	http://www.spr.ru/filevskiy-park/narkologicheskiy-dispanser-8-241540.html
НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР №11	http://www.spr.ru/koptevo/narkologicheskiy-dispanser-11-1270647.html
Психонаркологическое диспансерное отделение, ВОСКРЕСЕНСКАЯ ПЕРВАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/voskresensk-i-voskresenskiy-rayon/psihonarkologicheskoe-dispansernoe-otdelenie.html
НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/klin-i-klinskiy-rayon/narkologicheskiy-dispanser-207191.html
