name	url
Благодарность Савенкову С В	http://www.spr.ru/forum_vyvod.php?id_tema=3463427
Большое спасибо докторам	http://www.spr.ru/forum_vyvod.php?id_tema=3450311
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=3427178
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3422808
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3416768
Работа клиники	http://www.spr.ru/forum_vyvod.php?id_tema=3412781
Благодарность сотрудникам хирургического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3400317
Благодарность сотрудникам онкогинекологического отделения номер 4	http://www.spr.ru/forum_vyvod.php?id_tema=3386507
Благодарность Сидорову Денису Борисовичу	http://www.spr.ru/forum_vyvod.php?id_tema=3378066
Благодарность сотрудникам 6 онкохирургии	http://www.spr.ru/forum_vyvod.php?id_tema=3369824
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3352467
Огромная благодарность Сергею Владимировичу Глазову	http://www.spr.ru/forum_vyvod.php?id_tema=3345914
2 хирургическое отделение	http://www.spr.ru/forum_vyvod.php?id_tema=3340812
Спасибо за поддержку и веру в жизнь	http://www.spr.ru/forum_vyvod.php?id_tema=3338950
Благодарность Роману Валентиновичу Савкову	http://www.spr.ru/forum_vyvod.php?id_tema=3332736
Поздравить с Днем медицинского работника	http://www.spr.ru/forum_vyvod.php?id_tema=3331487
9-е химиотерапевтическое отделение	http://www.spr.ru/forum_vyvod.php?id_tema=3330433
Благодарность доктору Савкову Роману Валентиновичу	http://www.spr.ru/forum_vyvod.php?id_tema=3328462
Благодарность спасителям	http://www.spr.ru/forum_vyvod.php?id_tema=3287864
Благодарность Сидорову Денису Борисовичу	http://www.spr.ru/forum_vyvod.php?id_tema=3285246
Благодарность онкологу Якубову и всем сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3282217
Благодарность Савкову Роману Валентиновичу	http://www.spr.ru/forum_vyvod.php?id_tema=3271127
Благодарность сотрудникам 6 отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3264366
Не всё так плохо	http://www.spr.ru/forum_vyvod.php?id_tema=3261608
Благодарность сотрудикам	http://www.spr.ru/forum_vyvod.php?id_tema=3232790
Cотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3217955
Благодарность сотрудникам пятого онкологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3211423
Большое спасибо за надежду и поддержку	http://www.spr.ru/forum_vyvod.php?id_tema=3189512
Мир не без добрых людей	http://www.spr.ru/forum_vyvod.php?id_tema=3165494
Спасибо за жизнь	http://www.spr.ru/forum_vyvod.php?id_tema=3146559
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3115784
