name	url
Благодарность Вяткиной и Кузнецовой	http://www.spr.ru/forum_vyvod.php?id_tema=3467637
Для прохождения на водительские права психиатора	http://www.spr.ru/forum_vyvod.php?id_tema=3466829
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=3438973
Благодарность Митченко Андрею Анатольевичу	http://www.spr.ru/forum_vyvod.php?id_tema=3241853
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3130619
Ничего плохого не заметила	http://www.spr.ru/forum_vyvod.php?id_tema=3101490
Расклад	http://www.spr.ru/forum_vyvod.php?id_tema=2961829
Заранее подготовьте бумаги	http://www.spr.ru/forum_vyvod.php?id_tema=2918979
Народ беднеет, а услуги монополистов дорожают	http://www.spr.ru/forum_vyvod.php?id_tema=3412710
Безобразно	http://www.spr.ru/forum_vyvod.php?id_tema=3354982
Рыба гниет с головы	http://www.spr.ru/forum_vyvod.php?id_tema=3341833
Плохое отношение к клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=3321217
Таких нужно увольнять	http://www.spr.ru/forum_vyvod.php?id_tema=3294776
Ответ по запросу	http://www.spr.ru/forum_vyvod.php?id_tema=3263834
Работа сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=3263392
Невоспитанные работники	http://www.spr.ru/forum_vyvod.php?id_tema=3204526
Некачественная работа персонала	http://www.spr.ru/forum_vyvod.php?id_tema=3021020
Это психиатрия	http://www.spr.ru/forum_vyvod.php?id_tema=3000667
Самоуправство	http://www.spr.ru/forum_vyvod.php?id_tema=2969242
Самоуправство	http://www.spr.ru/forum_vyvod.php?id_tema=2852173
Отношения к клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=2748272
Потребовалась справка	http://www.spr.ru/forum_vyvod.php?id_tema=2546429
Требуем принятия мер	http://www.spr.ru/forum_vyvod.php?id_tema=2500783
Безнаказанность в Люберцах	http://www.spr.ru/forum_vyvod.php?id_tema=2489532
Необоснованное и неправомерное самоуправство	http://www.spr.ru/forum_vyvod.php?id_tema=2351726
Оправдывает свое название	http://www.spr.ru/forum_vyvod.php?id_tema=2301270
Не хотели принимать	http://www.spr.ru/forum_vyvod.php?id_tema=2272229
Совок в худшем виде	http://www.spr.ru/forum_vyvod.php?id_tema=2182925
Получение справки	http://www.spr.ru/forum_vyvod.php?id_tema=667386
Не оставляйте мое письмо	http://www.spr.ru/forum_vyvod.php?id_tema=114611
Справка для ГАИ в Мытищинском психоневрологическом диспансере	http://www.spr.ru/forum_vyvod.php?id_tema=3393970
Пожелание сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3030367
Благодарность сотрудникам диспансера	http://www.spr.ru/forum_vyvod.php?id_tema=2973517
Наслаждайтесь	http://www.spr.ru/forum_vyvod.php?id_tema=2849504
Медленно, недоброжелательно и бестолково	http://www.spr.ru/forum_vyvod.php?id_tema=3424353
Ликвидируйте эту шарагу	http://www.spr.ru/forum_vyvod.php?id_tema=3365771
Молодцы	http://www.spr.ru/forum_vyvod.php?id_tema=3365751
Там гоняют из кабинета в кабинет, чтобы люди устали и платили	http://www.spr.ru/forum_vyvod.php?id_tema=3250024
Ужасное отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=3211380
Отвратительное отношение к клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=3176897
Не берут трубку	http://www.spr.ru/forum_vyvod.php?id_tema=3169056
Работать не хотят	http://www.spr.ru/forum_vyvod.php?id_tema=3137191
Ничего не изменилось	http://www.spr.ru/forum_vyvod.php?id_tema=3024815
На приеме	http://www.spr.ru/forum_vyvod.php?id_tema=2969688
Ни в коем случае туда не попадайте	http://www.spr.ru/forum_vyvod.php?id_tema=2875496
