name	url
ЛЮБЕРЕЦКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/lyuberetskiy-psihonevrologicheskiy-dispanser.html
МЫТИЩИНСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/mitischi-i-mitischinskiy-rayon/mitischinskiy-psihonevrologicheskiy-dispanser.html
ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/balashiha-i-gorodskoy-okrug-balashiha/psihonevrologicheskiy-dispanser-75139.html
ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 5	http://www.spr.ru/timiryazevskiy/psihonevrologicheskiy-dispanser-5.html
ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 9	http://www.spr.ru/sokolinaya-gora/psihonevrologicheskiy-dispanser-9.html
ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/korolev-i-gorodskoy-okrug-korolev/psihonevrologicheskiy-dispanser-76603.html
ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 4	http://www.spr.ru/golovinskiy/psihonevrologicheskiy-dispanser-4.html
ПСИХИАТРИЧЕСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 3 ИМЕНИ В.А. ГИЛЯРОВСКОГО, филиал № 1	http://www.spr.ru/izmaylovo/psihiatricheskaya-klinicheskaya-bolnitsa-3-imeni-v-a-gilyarovskogo.html
ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 3	http://www.spr.ru/pokrovskoe-streshnevo/psihonevrologicheskiy-dispanser-3.html
ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 2	http://www.spr.ru/arbat/psihonevrologicheskiy-dispanser-2.html
ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 7	http://www.spr.ru/ostankinskiy/psihonevrologicheskiy-dispanser-7-56443.html
РАМЕНСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/ramenskiy-psihonevrologicheskiy-dispanser.html
ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 13	http://www.spr.ru/cheremushki/psihonevrologicheskiy-dispanser-13.html
ЩЁЛКОВСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/schelkovo-i-schelkovskiy-rayon/schelkovskiy-psihonevrologicheskiy-dispanser.html
ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/solnechnogorsk-i-solnechnogorskiy-rayon/psihonevrologicheskiy-dispanser-78058.html
Психоневрологический диспансер, ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА № 8	http://www.spr.ru/orehovo-zuevo-i-orehovo-zuevskiy-rayon/psihonevrologicheskiy-dispanser-218265.html
СТУПИНСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/stupino-i-stupinskiy-rayon/stupinskiy-psihonevrologicheskiy-dispanser.html
ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/noginsk-i-noginskiy-rayon/psihonevrologicheskiy-dispanser-999016.html
ПСИХИАТРИЧЕСКИЙ ДИСПАНСЕР	http://www.spr.ru/serpuhov-i-serpuhovskiy-rayon/psihiatricheskiy-dispanser-221415.html
ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР № 24	http://www.spr.ru/novo-peredelkino/psihonevrologicheskiy-dispanser-24.html
