name	url
Обе понравились	http://www.spr.ru/forum_vyvod.php?id_tema=3459710
Моя любимая Наталья Александровна	http://www.spr.ru/forum_vyvod.php?id_tema=3249007
Благодарность Щенниковой Ирине Ивановне	http://www.spr.ru/forum_vyvod.php?id_tema=3208989
О Марине Борисовне	http://www.spr.ru/forum_vyvod.php?id_tema=3065996
Благодарность Шелеповой и Зайцевой	http://www.spr.ru/forum_vyvod.php?id_tema=3035542
Замечательный врач	http://www.spr.ru/forum_vyvod.php?id_tema=2987163
Супер врач	http://www.spr.ru/forum_vyvod.php?id_tema=2984122
Благодарю Пилипчук Раису Алексеевну	http://www.spr.ru/forum_vyvod.php?id_tema=2953193
Замечательный доктор Жилина Светлана Леонидовна	http://www.spr.ru/forum_vyvod.php?id_tema=2863398
Врач от Бога	http://www.spr.ru/forum_vyvod.php?id_tema=2724137
Хороший врач	http://www.spr.ru/forum_vyvod.php?id_tema=2631300
Благодарность Назаровой Галине Анатольевне	http://www.spr.ru/forum_vyvod.php?id_tema=2622668
Спасибо за профессионализм и чуткое отношение	http://www.spr.ru/forum_vyvod.php?id_tema=2533053
Никулина Наталья Александровна	http://www.spr.ru/forum_vyvod.php?id_tema=2524491
Замечательный доктор	http://www.spr.ru/forum_vyvod.php?id_tema=2524440
Вполне нормально	http://www.spr.ru/forum_vyvod.php?id_tema=2485048
Главное выносить здоровенького малыша	http://www.spr.ru/forum_vyvod.php?id_tema=2456499
Удовлетворительная работа врачей	http://www.spr.ru/forum_vyvod.php?id_tema=2453064
Благодарю персонал	http://www.spr.ru/forum_vyvod.php?id_tema=2451264
Профессионализм медперсонала	http://www.spr.ru/forum_vyvod.php?id_tema=2410225
Не все так плохо	http://www.spr.ru/forum_vyvod.php?id_tema=2404483
Благодарность Ирине Ивановне и Наталье	http://www.spr.ru/forum_vyvod.php?id_tema=2355135
Поделись улыбкою своей	http://www.spr.ru/forum_vyvod.php?id_tema=2300446
Нормально	http://www.spr.ru/forum_vyvod.php?id_tema=2257313
Очень хороший врач	http://www.spr.ru/forum_vyvod.php?id_tema=2231187
Есть хорошие врачи	http://www.spr.ru/forum_vyvod.php?id_tema=2151827
Хорошие врачи	http://www.spr.ru/forum_vyvod.php?id_tema=2143656
Отзывчивый и ответственный врач	http://www.spr.ru/forum_vyvod.php?id_tema=2118886
Положительный отзыв	http://www.spr.ru/forum_vyvod.php?id_tema=666023
Хочу поблагодарить сотрудника Назарову	http://www.spr.ru/forum_vyvod.php?id_tema=611460
Зачем же так пугать	http://www.spr.ru/forum_vyvod.php?id_tema=579267
Потрясающий врач	http://www.spr.ru/forum_vyvod.php?id_tema=553949
Отличный врач	http://www.spr.ru/forum_vyvod.php?id_tema=540074
Хочу поблагодарить сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=532016
Мне очень повезло мой врач Назарова Г А	http://www.spr.ru/forum_vyvod.php?id_tema=522600
Хороший врач	http://www.spr.ru/forum_vyvod.php?id_tema=515016
Самые лучшие слова	http://www.spr.ru/forum_vyvod.php?id_tema=509808
Самая лучшая Щенникова Ирина Ивановна	http://www.spr.ru/forum_vyvod.php?id_tema=486962
Огромное спасибо Болговой	http://www.spr.ru/forum_vyvod.php?id_tema=396280
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=375489
Благодарю Щенникову Ирину Ивановну	http://www.spr.ru/forum_vyvod.php?id_tema=306791
Ефименко умничка	http://www.spr.ru/forum_vyvod.php?id_tema=283723
