name	url
МЫТИЩИНСКАЯ РАЙОННАЯ ЖЕНСКАЯ КОНСУЛЬТАЦИЯ	http://www.spr.ru/mitischi-i-mitischinskiy-rayon/mitischinskaya-rayonnaya-zhenskaya-konsultatsiya.html
Женская консультация, КРАСНОГОРСКАЯ ГОРОДСКАЯ БОЛЬНИЦА № 3	http://www.spr.ru/krasnogorsk-i-krasnogorskiy-rayon/zhenskaya-konsultatsiya-43480.html
Женская консультация, ОРЕХОВО-ЗУЕВСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА, филиал № 3, родильный дом	http://www.spr.ru/orehovo-zuevo-i-orehovo-zuevskiy-rayon/zhenskaya-konsultatsiya-1146462.html
Женская консультация, ПОДОЛЬСКИЙ РОДИЛЬНЫЙ ДОМ	http://www.spr.ru/podolsk-i-podolskiy-rayon/zhenskaya-konsultatsiya-778807.html
Женская консультация № 2, ЛЮБЕРЕЦКАЯ РАЙОННАЯ БОЛЬНИЦА № 3	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/zhenskaya-konsultatsiya-2-202091.html
ЖЕНСКАЯ КОНСУЛЬТАЦИЯ № 8	http://www.spr.ru/dmitrovskiy/zhenskaya-konsultatsiya-8.html
Женская консультация, РОДИЛЬНЫЙ ДОМ	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/zhenskaya-konsultatsiya-210501.html
Женская консультация, ХИМКИНСКАЯ ЦЕНТРАЛЬНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА	http://www.spr.ru/himki-i-gorodskoy-okrug-himki/zhenskaya-konsultatsiya-204764.html
КОНСУЛЬТАТИВНО-ДИАГНОСТИЧЕСКАЯ ПОЛИКЛИНИКА № 121, филиал № 2, женская консультация	http://www.spr.ru/yuzhnoe-butovo/konsultativno-diagnosticheskaya-poliklinika-121-7310.html
Женская консультация, ЕГОРЬЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/egorevsk-i-egorevskiy-rayon/zhenskaya-konsultatsiya-227240.html
Женская консультация, ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ГОРОДА РЕУТОВ	http://www.spr.ru/reutov-i-gorodskoy-okrug-reutov/zhenskaya-konsultatsiya-220586.html
