name	url
Благодарность Чурсину Вячеславу Владимировичу	http://www.spr.ru/forum_vyvod.php?id_tema=3476112
Благодарность Чупрынину Владимиру Дмитриевичу	http://www.spr.ru/forum_vyvod.php?id_tema=3475315
Благодарность отделению общей хирургии	http://www.spr.ru/forum_vyvod.php?id_tema=3474576
Выражаю огромную благодарность врачу Горбуновой Елене Алексеевне	http://www.spr.ru/forum_vyvod.php?id_tema=3462831
Спасибо замечательным специалистам	http://www.spr.ru/forum_vyvod.php?id_tema=3460948
За все я вас благодарю	http://www.spr.ru/forum_vyvod.php?id_tema=3457352
Суперпрофесионалы	http://www.spr.ru/forum_vyvod.php?id_tema=3453342
Очень благодарна	http://www.spr.ru/forum_vyvod.php?id_tema=3450964
Огромнейшее спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3449942
Выражаю огромную благодарность Варданяну Вардану Гарниковичу	http://www.spr.ru/forum_vyvod.php?id_tema=3439116
Благодарность Мельникову Михаилу Викторовичу	http://www.spr.ru/forum_vyvod.php?id_tema=3438411
Благодарность Юреневой Светлане Владимировне	http://www.spr.ru/forum_vyvod.php?id_tema=3438036
Михаилу Мельникову	http://www.spr.ru/forum_vyvod.php?id_tema=3435862
Благодарность Шальмиевой Инне Ивановне	http://www.spr.ru/forum_vyvod.php?id_tema=3432994
Замечательный врач Бойкова	http://www.spr.ru/forum_vyvod.php?id_tema=3430765
Храмченко Наталья Васильевна	http://www.spr.ru/forum_vyvod.php?id_tema=3426536
5-летию Центра посвящается	http://www.spr.ru/forum_vyvod.php?id_tema=3408375
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=3403508
Большое спасибо врачам и персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=3399818
Благодарность Ермаковой Елене Ивановне	http://www.spr.ru/forum_vyvod.php?id_tema=3390000
Благодарность доктору Коршунову и сотрудникам ОКИК	http://www.spr.ru/forum_vyvod.php?id_tema=3389686
Отделение ОКИК	http://www.spr.ru/forum_vyvod.php?id_tema=3378735
Благодарность Данилову Александру Юрьевичу	http://www.spr.ru/forum_vyvod.php?id_tema=3371974
Врач Олейник	http://www.spr.ru/forum_vyvod.php?id_tema=3340518
Благодарность Кулаковой Елене Владимировне	http://www.spr.ru/forum_vyvod.php?id_tema=3337343
