name	url
НАУЧНЫЙ ЦЕНТР АКУШЕРСТВА, ГИНЕКОЛОГИИ И ПЕРИНАТОЛОГИИ ИМ. АКАДЕМИКА В.И. КУЛАКОВА	http://www.spr.ru/obruchevskiy/nauchniy-tsentr-akusherstva-ginekologii-i-perinatologii-im-akademika-v-i.html
РОССИЙСКИЙ ОНКОЛОГИЧЕСКИЙ НАУЧНЫЙ ЦЕНТР ИМЕНИ Н.Н. БЛОХИНА РАМН	http://www.spr.ru/nagatino-sadovniki/rossiyskiy-onkologicheskiy-nauchniy-tsentr-imeni-n-n-blohina-ramn.html
НИИ УРОЛОГИИ	http://www.spr.ru/izmaylovo/nii-urologii.html
МОСКОВСКИЙ НИИ ГЛАЗНЫХ БОЛЕЗНЕЙ ИМЕНИ ГЕЛЬМГОЛЬЦА	http://www.spr.ru/basmanniy/moskovskiy-nii-glaznih-bolezney-imeni-gelmgoltsa.html
ИНСТИТУТ КАРДИОХИРУРГИИ ИМ. В.И. БУРАКОВСКОГО	http://www.spr.ru/kuntsevo/institut-kardiohirurgii-im-v-i-burakovskogo.html
РОССИЙСКИЙ НАУЧНЫЙ ЦЕНТР ХИРУРГИИ ИМЕНИ АКАДЕМИКА Б.В. ПЕТРОВСКОГО РАМН	http://www.spr.ru/hamovniki/rossiyskiy-nauchniy-tsentr-hirurgii-imeni-akademika-b-v-petrovskogo-ramn.html
ФНЦ ТРАНСПЛАНТОЛОГИИ И ИСКУССТВЕННЫХ ОРГАНОВ ИМЕНИ АКАДЕМИКА В.И ШУМАКОВА, ФГБУ	http://www.spr.ru/schukino/fnts-transplantologii-i-iskusstvennih-organov-imeni-akademika-v-i-shumakova.html
ЦЕНТРАЛЬНЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ТРАВМАТОЛОГИИ И ОРТОПЕДИИ ИМЕНИ Н.Н. ПИРОГОВА	http://www.spr.ru/koptevo/tsentralniy-nauchno-issledovatelskiy-institut-travmatologii-i-ortopedii-imeni-n.html
ГНЦ СОЦИАЛЬНОЙ И СУДЕБНОЙ ПСИХИАТРИИ ИМ В.П. СЕРБСКОГО, консультативно-диагностическое отделение	http://www.spr.ru/hamovniki/gnts-sotsialnoy-i-sudebnoy-psihiatrii-im-v-p-serbskogo-117786.html
МОСКОВСКИЙ НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР ОТОРИНОЛАРИНГОЛОГИИ ИМЕНИ Л.И.СВЕРЖЕВСКОГО	http://www.spr.ru/donskoy/moskovskiy-nauchno-prakticheskiy-tsentr-otorinolaringologii-imeni-l-i.html
ГОСУДАРСТВЕННЫЙ НАУЧНЫЙ ЦЕНТР ДЕРМАТОВЕНЕРОЛОГИИ МИНЗДРАВСОЦРАЗВИТИЯ	http://www.spr.ru/sokolniki/gosudarstvenniy-nauchniy-tsentr-dermatovenerologii-minzdravsotsrazvitiya.html
НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР ИНТЕРВЕНЦИОННОЙ КАРДИОАНГИОЛОГИИ	http://www.spr.ru/basmanniy/nauchno-prakticheskiy-tsentr-interventsionnoy-kardioangiologii.html
НИИ МЕДИЦИНЫ ТРУДА РАМН, клиника	http://www.spr.ru/sokolinaya-gora/nii-meditsini-truda-ramn-72863.html
ЦНИИ ТУБЕРКУЛЁЗА РАМН	http://www.spr.ru/bogorodskoe/tsnii-tuberkuleza-ramn.html
ИНСТИТУТ ПОЛИОМИЕЛИТА И ВИРУСНЫХ ЭНЦЕФАЛИТОВ ИМ. М.П. ЧУМАКОВА РАМН	http://www.spr.ru/moskovskiy-118954/institut-poliomielita-i-virusnih-entsefalitov-im-m-p-chumakova-ramn-224878.html
МИРАЛМЕД, медицинская клиника	http://www.spr.ru/horoshevskiy/miralmed.html
НИИ ДЕТСКОЙ ОНКОЛОГИИ И ГЕМАТОЛОГИИ	http://www.spr.ru/nagatino-sadovniki/nii-detskoy-onkologii-i-gematologii.html
МИКРОЭЛЕМЕНТ, научно-медицинский центр	http://www.spr.ru/lefortovo/mikroelement.html
НИИ АКУШЕРСТВА И ГИНЕКОЛОГИИ МОСКОВСКОЙ ОБЛАСТИ, поликлиническое отделение	http://www.spr.ru/basmanniy/nii-akusherstva-i-ginekologii-moskovskoy-oblasti.html
ЦЕНТРАЛЬНЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ СТОМАТОЛОГИИ И ЧЕЛЮСТНО-ЛИЦЕВОЙ ХИРУРГИИ	http://www.spr.ru/hamovniki/tsentralniy-nauchno-issledovatelskiy-institut-stomatologii-i-chelyustno.html
МЕДИАН, медицинский научно-исследовательский центр иммунологии и аллергологии	http://www.spr.ru/elektrostal-i-gorodskoy-okrug-elektrostal/median.html
НИИ УРОЛОГИИ, отделение уронефрологии и гемодиализа	http://www.spr.ru/severnoe-izmaylovo/nii-urologii-248588.html
ФЕДЕРАЛЬНЫЙ НАУЧНЫЙ ЦЕНТР ГИГИЕНЫ ИМЕНИ Ф.Ф. ЭРИСМАНА, ФБУН	http://www.spr.ru/mitischi-i-mitischinskiy-rayon/federalniy-nauchniy-tsentr-gigieni-imeni-f-f-erismana-fbun.html
ИНСТИТУТ ПОЛИОМИЕЛИТА И ВИРУСНЫХ ЭНЦЕФАЛИТОВ ИМ. М.П. ЧУМАКОВА РАМН, клиническое отделение	http://www.spr.ru/pokrovskoe-streshnevo/institut-poliomielita-i-virusnih-entsefalitov-im-m-p-chumakova-ramn.html
Медико-психологические экспертизы, ГНЦ СОЦИАЛЬНОЙ И СУДЕБНОЙ ПСИХИАТРИИ ИМ В.П. СЕРБСКОГО, консультативно-диагностическое отделение	http://www.spr.ru/hamovniki/mediko-psihologicheskie-ekspertizi.html
НАУЧНО-КЛИНИЧЕСКИЙ ЦЕНТР ОТОРИНОЛАРИНГОЛОГИИ	http://www.spr.ru/horoshevo-mnevniki/nauchno-klinicheskiy-tsentr-otorinolaringologii.html
НАУЧНО-ТЕРАПЕВТИЧЕСКИЙ ЦЕНТР ПО ПРОФИЛАКТИКЕ И ЛЕЧЕНИЮ ПСИХОНЕВРОЛОГИЧЕСКОЙ ИНВАЛИДНОСТИ	http://www.spr.ru/sokol/nauchno-terapevticheskiy-tsentr-po-profilaktike-i-lecheniyu.html
ПЕРВЫЙ МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ИМ. И.М. СЕЧЕНОВА, межклиническое отделение медицинской генетики	http://www.spr.ru/hamovniki/perviy-moskovskiy-gosudarstvenniy-meditsinskiy-universitet-im-i-m-sechenova-780166.html
ИНСТИТУТ ПРОБЛЕМ ЭМБРИОГЕНЕТИЧЕСКОГО И НЕЙРОЭНДОКРИННОГО ИММУННОГО ДЕФИЦИТА РАЕН	http://www.spr.ru/horoshevskiy/institut-problem-embriogeneticheskogo-i-neyroendokrinnogo-immunnogo-defitsita.html
ТЕХНОЛОГИИ ОМОЛОЖЕНИЯ ННПЦ	http://www.spr.ru/sergiev-posad-i-sergievo-posadskiy-rayon/tehnologii-omolozheniya-nnpts.html
