name	url
Очень хороший центр	http://www.spr.ru/forum_vyvod.php?id_tema=2159474
Реальная помощь	http://www.spr.ru/forum_vyvod.php?id_tema=3060610
Огромное спасибо Виктору Игоревичу	http://www.spr.ru/forum_vyvod.php?id_tema=3303807
Лечит насморк	http://www.spr.ru/forum_vyvod.php?id_tema=3358949
Хорошо от астмы	http://www.spr.ru/forum_vyvod.php?id_tema=3357314
Находка для здоровья	http://www.spr.ru/forum_vyvod.php?id_tema=3350363
Хожу к гинекологу	http://www.spr.ru/forum_vyvod.php?id_tema=3388943
ВСЕМ СОВЕТУЮ	http://www.spr.ru/forum_vyvod.php?id_tema=3387312
Лучше чем в поликлинике	http://www.spr.ru/forum_vyvod.php?id_tema=3386550
Починили спину	http://www.spr.ru/forum_vyvod.php?id_tema=3407054
Огромное спасибо Сергею!	http://www.spr.ru/forum_vyvod.php?id_tema=3404902
Спасибо тебе Сергей	http://www.spr.ru/forum_vyvod.php?id_tema=3402737
Благодарность Людмиле Николаевне	http://www.spr.ru/forum_vyvod.php?id_tema=3290253
Спасибо Людмиле Николаевне	http://www.spr.ru/forum_vyvod.php?id_tema=3264284
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3106869
Благодарность Людмиле Николаевне	http://www.spr.ru/forum_vyvod.php?id_tema=3057696
Большое спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3052876
Большая благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2937458
Огромное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2937274
Спасибо большое	http://www.spr.ru/forum_vyvod.php?id_tema=2929677
Непонятное отношение	http://www.spr.ru/forum_vyvod.php?id_tema=3379837
Огромнейшее спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2581318
Отзывчивый менеджер	http://www.spr.ru/forum_vyvod.php?id_tema=2395550
Биорезонансное тестирование	http://www.spr.ru/forum_vyvod.php?id_tema=13671
Клиника на Белорусской изменилась к лучшему	http://www.spr.ru/forum_vyvod.php?id_tema=3406368
Хороший стоматолог	http://www.spr.ru/forum_vyvod.php?id_tema=3268013
Врачи очень хорошие	http://www.spr.ru/forum_vyvod.php?id_tema=2364149
О медицинском центре	http://www.spr.ru/forum_vyvod.php?id_tema=2203307
Организационные вопросы решаются оперативно	http://www.spr.ru/forum_vyvod.php?id_tema=2203306
Посещаю врачей именно в МЕДСИ	http://www.spr.ru/forum_vyvod.php?id_tema=2203304
Пользовалась услугами	http://www.spr.ru/forum_vyvod.php?id_tema=2203303
Никаких очередей	http://www.spr.ru/forum_vyvod.php?id_tema=2203301
Очень подробно	http://www.spr.ru/forum_vyvod.php?id_tema=2203300
Самый большой филиал	http://www.spr.ru/forum_vyvod.php?id_tema=2203299
Рекомендую офтальмолога	http://www.spr.ru/forum_vyvod.php?id_tema=620507
А толку нет	http://www.spr.ru/forum_vyvod.php?id_tema=3475323
Безразличное отношение к клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=3445368
Стоматолог	http://www.spr.ru/forum_vyvod.php?id_tema=3408712
Некомпетентность врача	http://www.spr.ru/forum_vyvod.php?id_tema=3398981
Отличный врач в кавычках	http://www.spr.ru/forum_vyvod.php?id_tema=3340509
Непрофессионализм и дезинформация при записи на прием	http://www.spr.ru/forum_vyvod.php?id_tema=3339702
Не ходите к гинекологу Есипович	http://www.spr.ru/forum_vyvod.php?id_tema=3312370
Кассир Ершова, которая наугад ставит коды для анализов	http://www.spr.ru/forum_vyvod.php?id_tema=3305381
Непрофессионализм, неправильное лечение	http://www.spr.ru/forum_vyvod.php?id_tema=3270554
Большое количество непрофессиональных врачей	http://www.spr.ru/forum_vyvod.php?id_tema=3258151
Некомпетентность	http://www.spr.ru/forum_vyvod.php?id_tema=3166572
Жалоба на сотрудника Батыреву Викторию Владимировну	http://www.spr.ru/forum_vyvod.php?id_tema=3164128
Эндокринолог	http://www.spr.ru/forum_vyvod.php?id_tema=2937727
Экстренная помощь	http://www.spr.ru/forum_vyvod.php?id_tema=2508373
Для меня название "МЕДСИ" умерло	http://www.spr.ru/forum_vyvod.php?id_tema=2203308
