name	url
ЦЕНТР ЦВЕТОЧНОЙ ТЕРАПИИ БАХА	http://www.spr.ru/ramenki/tsentr-tsvetochnoy-terapii-baha-994879.html
ЦЕНТР МАНУАЛЬНОЙ ТЕРАПИИ ДОЦЕНТА НАМИНОВА	http://www.spr.ru/konkovo/tsentr-manualnoy-terapii-dotsenta-naminova.html
КАБИНЕТ МАНУАЛЬНОЙ ТЕРАПИИ И КОСМЕТОЛОГИИ ПОД РУК. МИХАЛЬЧЕВА ВИКТОРА ИГОРЕВИЧА	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/kabinet-manualnoy-terapii-i-kosmetologii-pod-ruk-mihalcheva-viktora-igorevicha.html
GALOMED, соляная пещера	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/galomed-4625056.html
МАНУАЛЬНЫЙ ТЕРАПЕВТ	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/manualniy-terapevt-4131193.html
ГОВОРОВО, лечебно-оздоровительный центр	http://www.spr.ru/mozhayskiy/govorovo.html
КИНЕЗИС, оздоровительный центр	http://www.spr.ru/klin-i-klinskiy-rayon/kinezis-4656148.html
КЛИНИКА МАНУАЛЬНОЙ ТЕРАПИИ ДОКТОРА ЧЕЧИЛЯ	http://www.spr.ru/presnenskiy/klinika-manualnoy-terapii-doktora-chechilya.html
ЛЮДАНИКА, консультационно-диагностический оздоровительный центр, невролог, психолог в Перово	http://www.spr.ru/perovo/lyudanika.html
САЛОН МЕДИЦИНСКОГО МАССАЖА	http://www.spr.ru/himki-i-gorodskoy-okrug-himki/salon-meditsinskogo-massazha.html
СОЛЯНАЯ ПЕЩЕРА, оздоровительный центр	http://www.spr.ru/zhukovskiy-i-gorodskoy-okrug-zhukovskiy/solyanaya-peschera-4073267.html
АФРОДИТА, центр здоровья	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/afrodita-4472184.html
ГАЛО ПЛЮС, оздоровительный центр галотерапии	http://www.spr.ru/izmaylovo/galo-plyus.html
ЗДОРОВЬЕ ЦЕНТР	http://www.spr.ru/kuzminki/zdorove-tsentr.html
КЕДРОВАЯ БОЧКА, фито-центр	http://www.spr.ru/kosino-uhtomskiy/kedrovaya-bochka-1039887.html
ЛЕЧЕБНЫЙ МАССАЖ	http://www.spr.ru/sokol/lechebniy-massazh-1085733.html
НАТУРАМЕД, центр естественного оздоровления	http://www.spr.ru/basmanniy/naturamed.html
СИЛЬВИНИТОВЫЙ РАЙ, оздоровительный центр	http://www.spr.ru/butirskiy/silvinitoviy-ray.html
СОЛЬ И СОЛНЦЕ, соляная пещера	http://www.spr.ru/mitino/sol-i-solntse.html
CONSTANTA WELLNESS, студия оздоровления	http://www.spr.ru/lomonosovskiy/constanta-wellness.html
HAIR FOR EVER, центр трихологии	http://www.spr.ru/meschanskiy/hair-for-ever.html
МЕДСИ, лечебно-оздоровительный комплекс	http://www.spr.ru/presnenskiy/medsi-37994.html
GALOMED, соляная пещера	http://www.spr.ru/volokolamsk-i-volokolamskiy-rayon/galomed-4625057.html
АТЛАС-ЭФФЕКТ, лечебно-оздоровительный центр	http://www.spr.ru/ramenki/atlas-effekt.html
ПРЕДТЕЧА, учебно-оздоровительный центр	http://www.spr.ru/marino/predtecha.html
СТОПА, СПИНА, ОСАНКА, оздоровительный центр	http://www.spr.ru/chernogolovka-i-gorodskoy-okrug-chernogolovka/stopa-spina-osanka.html
ЦЕНТР МАНУАЛЬНОЙ ТЕРАПИИ	http://www.spr.ru/troparevo-nikulino/tsentr-manualnoy-terapii-206167.html
ВИТА БРИЗ, соляная пещера	http://www.spr.ru/sergiev-posad-i-sergievo-posadskiy-rayon/vita-briz-4649126.html
ДАРА, оздоровительный центр	http://www.spr.ru/kolomna-i-kolomenskiy-rayon/dara-1003580.html
