name	url
Вернули к жизни	http://www.spr.ru/forum_vyvod.php?id_tema=3131068
Спасибо Мелфону	http://www.spr.ru/forum_vyvod.php?id_tema=3087865
Отличный центр и отличные специалисты	http://www.spr.ru/forum_vyvod.php?id_tema=3068049
Оказали помощь и поддержку	http://www.spr.ru/forum_vyvod.php?id_tema=3026209
Надоело унижаться	http://www.spr.ru/forum_vyvod.php?id_tema=2586862
Безразличие	http://www.spr.ru/forum_vyvod.php?id_tema=379261
Центр в Строгино	http://www.spr.ru/forum_vyvod.php?id_tema=3236396
Спасибо сурдологам	http://www.spr.ru/forum_vyvod.php?id_tema=2201606
Я говорю спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2201604
Огромное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2201603
Хочу поблагодарить	http://www.spr.ru/forum_vyvod.php?id_tema=2201602
Врачам отдельное спасибо за терпение и хорошую работу	http://www.spr.ru/forum_vyvod.php?id_tema=2201598
Компания заслуживает того, чтобы о ней написали хорошие слова	http://www.spr.ru/forum_vyvod.php?id_tema=2201594
Остались довольны качеством работы	http://www.spr.ru/forum_vyvod.php?id_tema=2201593
Врачи - молодцы	http://www.spr.ru/forum_vyvod.php?id_tema=2201592
Мы не поскупились и очень рады	http://www.spr.ru/forum_vyvod.php?id_tema=2201590
Спасибо вам за помощь!	http://www.spr.ru/forum_vyvod.php?id_tema=601254
Хорошее впечатление от прежней работы	http://www.spr.ru/forum_vyvod.php?id_tema=546516
Очень рекомендую, лучший уровень не представляю себе	http://www.spr.ru/forum_vyvod.php?id_tema=3411925
Благодарность Центру патологии речи и нейрореабилитации	http://www.spr.ru/forum_vyvod.php?id_tema=3397614
Детское отделение	http://www.spr.ru/forum_vyvod.php?id_tema=3383694
Огромная благодарность всем сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3382986
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3381843
Детское отделение дневной стационар	http://www.spr.ru/forum_vyvod.php?id_tema=3236822
Огромное спасибо центру и все сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3172408
Благодарность сотруднику	http://www.spr.ru/forum_vyvod.php?id_tema=3081578
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3059297
Повторный инсульт	http://www.spr.ru/forum_vyvod.php?id_tema=2754764
Отличный центр	http://www.spr.ru/forum_vyvod.php?id_tema=2679261
А нам там понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=2660679
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2417698
Нам очень помогло	http://www.spr.ru/forum_vyvod.php?id_tema=2365674
Спасибо Сорокиной Наталье Анатольевне	http://www.spr.ru/forum_vyvod.php?id_tema=2275514
Хочу поблагодарить сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=544437
Это просто супер	http://www.spr.ru/forum_vyvod.php?id_tema=456482
Это для Вас и Ваших детей	http://www.spr.ru/forum_vyvod.php?id_tema=456476
Хорошие отзывы	http://www.spr.ru/forum_vyvod.php?id_tema=456474
В восторге от профессионализма	http://www.spr.ru/forum_vyvod.php?id_tema=456471
Спасибо большинству специалистов центра	http://www.spr.ru/forum_vyvod.php?id_tema=456469
Вы дали нам надежду на будущее	http://www.spr.ru/forum_vyvod.php?id_tema=456467
Спасибо всему центру	http://www.spr.ru/forum_vyvod.php?id_tema=456463
Избавиться от заикания	http://www.spr.ru/forum_vyvod.php?id_tema=456438
Стало намного лучше	http://www.spr.ru/forum_vyvod.php?id_tema=456424
Нам выпала удача	http://www.spr.ru/forum_vyvod.php?id_tema=456420
Неадекватное отношение к больным людям	http://www.spr.ru/forum_vyvod.php?id_tema=3212750
Плохое отношение к пациенту	http://www.spr.ru/forum_vyvod.php?id_tema=3207242
Отношение инструктора	http://www.spr.ru/forum_vyvod.php?id_tema=3157282
Отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=3059092
Расписывается в карточке	http://www.spr.ru/forum_vyvod.php?id_tema=2699238
Абсолютно пустое новое здание	http://www.spr.ru/forum_vyvod.php?id_tema=2627623
Не советую	http://www.spr.ru/forum_vyvod.php?id_tema=2537133
Восстановление после инсульта	http://www.spr.ru/forum_vyvod.php?id_tema=2507112
Тянут время	http://www.spr.ru/forum_vyvod.php?id_tema=2326450
Беспредел	http://www.spr.ru/forum_vyvod.php?id_tema=2325421
Очень грустно	http://www.spr.ru/forum_vyvod.php?id_tema=531054
Очень странное заведение	http://www.spr.ru/forum_vyvod.php?id_tema=456465
Компания нам помогла	http://www.spr.ru/forum_vyvod.php?id_tema=3467899
Заикание вылечить возможно	http://www.spr.ru/forum_vyvod.php?id_tema=3139246
Советую всем	http://www.spr.ru/forum_vyvod.php?id_tema=2336312
Не помогло совсем	http://www.spr.ru/forum_vyvod.php?id_tema=3373693
Отзыв о консультации	http://www.spr.ru/forum_vyvod.php?id_tema=2274725
Хочу поблагодарить специалистов центра	http://www.spr.ru/forum_vyvod.php?id_tema=2107010
Хочу восхититься уровнем обслуживания	http://www.spr.ru/forum_vyvod.php?id_tema=39929
Никакого обследования	http://www.spr.ru/forum_vyvod.php?id_tema=626938
