name	url
МЕЛФОН, центр коррекции слуха, речи	http://www.spr.ru/yakimanka/melfon-91792.html
БУКВОЕЖКА, логопедия	http://www.spr.ru/stupino-i-stupinskiy-rayon/bukvoezhka-4477554.html
ДЕТСКАЯ АКАДЕМИЯ РЕЧИ, логопедический центр	http://www.spr.ru/strogino/detskaya-akademiya-rechi-4478116.html
ЦЕНТР КОРРЕКЦИИ РЕЧИ	http://www.spr.ru/basmanniy/tsentr-korrektsii-rechi-1154088.html
МЕЛФОН, центр коррекции слуха и речи	http://www.spr.ru/vihino-zhulebino/melfon-1040064.html
МЕЛФОН, центр коррекции слуха и речи	http://www.spr.ru/obruchevskiy/melfon.html
МИР СЛУХА, сурдологический центр	http://www.spr.ru/danilovskiy/mir-sluha-1002275.html
ЦЕНТР ПАТОЛОГИИ РЕЧИ И НЕЙРОРЕАБИЛИТАЦИИ	http://www.spr.ru/taganskiy/tsentr-patologii-rechi-i-neyroreabilitatsii.html
АРЛИЛИЯ, центр коррекции заикания	http://www.spr.ru/severnoe-medvedkovo/arliliya.html
ЛОГОМЕД ПРОГНОЗ, центр реабилитация речи	http://www.spr.ru/lyublino/logomed-prognoz.html
АЛЬФАСЛУХ, центр слуха	http://www.spr.ru/mitischi-i-mitischinskiy-rayon/alfasluh.html
ДАР РЕЧИ, центр коррекции речи	http://www.spr.ru/yuzhnoe-butovo/dar-rechi-4587379.html
ДЕТСКАЯ АКАДЕМИЯ РЕЧИ	http://www.spr.ru/horoshevo-mnevniki/detskaya-akademiya-rechi.html
ЛОГОПЕДИЧЕСКАЯ ПОМОЩЬ	http://www.spr.ru/krasnogorsk-i-krasnogorskiy-rayon/logopedicheskaya-pomosch.html
ЛОГОПЕДИЧЕСКИЙ КАБИНЕТ	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/logopedicheskiy-kabinet-1126316.html
ЛОГОПЕДИЧЕСКИЙ ЦЕНТР	http://www.spr.ru/dorogomilovo/logopedicheskiy-tsentr-936876.html
МАЛУСЯ И РОГОПЕД, центр инклюзивного образования и коррекции	http://www.spr.ru/domodedovo-i-gorodskoy-okrug-domodedovo/malusya-i-rogoped.html
НИКА, речевой центр	http://www.spr.ru/yuzhnoe-butovo/nika-1018801.html
СОЛНЫШКО, кабинет психолого-логопедической помощи детям	http://www.spr.ru/domodedovo-i-gorodskoy-okrug-domodedovo/solnishko-4804628.html
СУРДОСЕРВИС, центр лечения слуха	http://www.spr.ru/kuntsevo/surdoservis.html
ЭЛЕСОН МТЦ, центр слуха	http://www.spr.ru/arbat/eleson-mtts.html
БУДУ ГОВОРИТЬ, логопедия	http://www.spr.ru/zyuzino/budu-govorit.html
В МИРЕ ЗВУКОВ, центр восстановления слуха	http://www.spr.ru/pechatniki/v-mire-zvukov.html
ВЕРБОТОН-М, центр слуха и речи	http://www.spr.ru/tverskoy/verboton-m.html
ДЕТСКАЯ АКАДЕМИЯ РЕЧИ	http://www.spr.ru/severnoe-tushino/detskaya-akademiya-rechi-4651398.html
ИНТЕРАУДИОФАРМСЕРВИС, центр реабилитации слуха	http://www.spr.ru/tverskoy/interaudiofarmservis.html
КАБИНЕТ ЛОГОПЕДИИ И РАЗВИТИЯ РЕБЁНКА	http://www.spr.ru/orehovo-borisovo-yuzhnoe/kabinet-logopedii-i-razvitiya-rebenka.html
ЛОГОПЕД	http://www.spr.ru/orehovo-zuevo-i-orehovo-zuevskiy-rayon/logoped.html
ЛОГОПЕД.ORG, логопедическая помощь	http://www.spr.ru/yuzhnoe-butovo/logoped-org.html
РАДУГА ЗВУКОВ, центр слуха	http://www.spr.ru/dmitrov-i-dmitrovskiy-rayon/raduga-zvukov-4562816.html
РАДУГА ЗВУКОВ, центр слуха	http://www.spr.ru/elektrostal-i-gorodskoy-okrug-elektrostal/raduga-zvukov-223712.html
РАДУГА ЗВУКОВ, центр слуха	http://www.spr.ru/fryazino-i-gorodskoy-okrug-fryazino/raduga-zvukov-981265.html
ТЕХНИКА СЛУХА, кабинет слухопротезирования	http://www.spr.ru/zamoskvoreche/tehnika-sluha-4257166.html
УЛЫБКА, детский логопедический центр	http://www.spr.ru/moskvoreche-saburovo/ulibka-4628487.html
ЦЕНТР СЛУХА	http://www.spr.ru/yakimanka/tsentr-sluha-998998.html
