name	url
МЕДТЕХНО РУ, магазин медтехники Марьино, инвалидная техника, ортопедические изделия	http://www.spr.ru/marino/medtechno-ru.html
МЕДТЕХНИКА ДЛЯ ДОМА	http://www.spr.ru/pushkino-i-pushkinskiy-rayon/medtehnika-dlya-doma-4379594.html
СИБИРСКОЕ ЗДОРОВЬЕ	http://www.spr.ru/chehov-i-chehovskiy-rayon/sibirskoe-zdorove-1181816.html
КЛУБ ЗДОРОВОГО ОБРАЗА ЖИЗНИ	http://www.spr.ru/solntsevo/klub-zdorovogo-obraza-zhizni-4793853.html
ТОВАРЫ ДЛЯ ЗДОРОВЬЯ, КРАСОТЫ И АКТИВНОГО ДОЛГОЛЕТИЯ	http://www.spr.ru/ivanteevka-i-gorodskoy-okrug-ivanteevka/tovari-dlya-zdorovya-krasoti-i-aktivnogo-dolgoletiya.html
НЕГА-МЕД	http://www.spr.ru/krilatskoe/nega-med-4799486.html
МЕДТЕХНИКА	http://www.spr.ru/mitischi-i-mitischinskiy-rayon/medtehnika-4795704.html
СИБИРСКОЕ ЗДОРОВЬЕ КОРПОРАЦИЯ	http://www.spr.ru/reutov-i-gorodskoy-okrug-reutov/sibirskoe-zdorove-korporatsiya.html
СИБИРСКОЕ ЗДОРОВЬЕ, товары для здоровья	http://www.spr.ru/orehovo-borisovo-yuzhnoe/sibirskoe-zdorove-1085222.html
СЕРАГЕМ, товары для здоровья	http://www.spr.ru/yuzhnoe-tushino/seragem-1143519.html
ТОВАРЫ ОТ ПРИРОДЫ, товары для здоровья	http://www.spr.ru/akademicheskiy/tovari-ot-prirodi.html
АРГО, аппликаторы, пищевые добавки, косметические средства	http://www.spr.ru/novo-peredelkino/argo-4396569.html
МЕДТЕХНИКА ДЛЯ ДОМА	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/medtehnika-dlya-doma-1123692.html
МИР СЛУХА, слуховые аппараты	http://www.spr.ru/zamoskvoreche/mir-sluha-1002278.html
СИБИРСКОЕ ЗДОРОВЬЕ, биологически активные добавки, косметика	http://www.spr.ru/cheremushki/sibirskoe-zdorove-1808356.html
CASADA, массажеры и массажные кресла	http://www.spr.ru/tekstilschiki/casada-4658737.html
АЛЛЕРГОДОМ, товары для здоровья	http://www.spr.ru/tverskoy/allergodom-103530.html
МАМИ ЗДОРОВЬЕ ДЛЯ ВАС	http://www.spr.ru/ostankinskiy/mami-zdorove-dlya-vas.html
МЕД-АУДИО, слуховые аппараты	http://www.spr.ru/alekseevskiy/med-audio.html
АРГО РПО, товары для здоровья	http://www.spr.ru/tverskoy/argo-rpo.html
АРТ ЛАЙФ, биологически активные добавки, косметика	http://www.spr.ru/tverskoy/art-layf-4696039.html
БУДЬ ЗДОРОВ, товары для здоровья	http://www.spr.ru/orehovo-zuevo-i-orehovo-zuevskiy-rayon/bud-zdorov-1705650.html
ВИТАЛАЙН, биологически активные добавки	http://www.spr.ru/dorogomilovo/vitalayn-237457.html
ДЕАЛМЕД, товары для здоровья	http://www.spr.ru/kotlovka/dealmed.html
ИСТОЧНИК ДОЛГОЛЕТИЯ, товары для здоровья	http://www.spr.ru/kuzminki/istochnik-dolgoletiya.html
КОРПОРАЦИЯ СИБИРСКОЕ ЗДОРОВЬЕ, товары для здоровья	http://www.spr.ru/kolomna-i-kolomenskiy-rayon/korporatsiya-sibirskoe-zdorove-4272565.html
МЕДМАСТЕР, товары для здоровья	http://www.spr.ru/ryazanskiy/medmaster.html
МЕДТЕХНИКА ДЛЯ ДОМА	http://www.spr.ru/biryulevo-vostochnoe/medtehnika-dlya-doma-1170614.html
ОРТОКОСМОС, товары для здоровья	http://www.spr.ru/mitischi-i-mitischinskiy-rayon/ortokosmos.html
СИБИРСКОЕ ЗДОРОВЬЕ, товары для здоровья	http://www.spr.ru/severnoe-butovo/sibirskoe-zdorove-4255692.html
СОВРЕМЕННЫЕ ТЕХНОЛОГИЧЕСКИЕ ЛИНИИ, товары для красоты и здоровья	http://www.spr.ru/krasnogorsk-i-krasnogorskiy-rayon/sovremennie-tehnologicheskie-linii-4137411.html
СОХРАНИ ЗДОРОВЬЕ, эзотерический магазин	http://www.spr.ru/krasnogorsk-i-krasnogorskiy-rayon/sohrani-zdorove.html
ТАЙБАЗАР, товары для здоровья	http://www.spr.ru/nagatino-sadovniki/taybazar.html
ТЕХНИКА СЛУХА, слуховые аппараты	http://www.spr.ru/dolgoprudniy-i-gorodskoy-okrug-dolgoprudniy/tehnika-sluha-4255669.html
ЭДАС, товары для здоровья	http://www.spr.ru/zamoskvoreche/edas-1112858.html
ECOLIFE, товары для здоровья	http://www.spr.ru/kolomna-i-kolomenskiy-rayon/ecolife-1910376.html
NL INTERNATIONAL, товары для здоровья	http://www.spr.ru/kolomna-i-kolomenskiy-rayon/nl-international-4118599.html
АККОРД, слуховые аппараты, протезы	http://www.spr.ru/balashiha-i-gorodskoy-okrug-balashiha/akkord-778628.html
АЛТАЙБИЗНЕС, товары для здоровья	http://www.spr.ru/bibirevo/altaybiznes.html
АЛЬФАТОН, слуховые аппараты	http://www.spr.ru/basmanniy/alfaton.html
ДОЛГОВА Г.Ю., биологически активные добавки	http://www.spr.ru/basmanniy/dolgova-g-yu.html
СИБИРСКОЕ ЗДОРОВЬЕ, товары для здоровья	http://www.spr.ru/ivanovskoe/sibirskoe-zdorove-4680464.html
ФИЗИО ТЕЙП РОССИЯ, товары для здоровья	http://www.spr.ru/zamoskvoreche/fizio-teyp-rossiya.html
ЭНЕРГИЯ ЗДОРОВЬЯ, товары для красоты и здоровья	http://www.spr.ru/yuzhnoportoviy/energiya-zdorovya.html
DOCTOR LIMUS, лечебные грязи Сакского озера	http://www.spr.ru/bogorodskoe/doctor-limus.html
PANGO, товары для здоровья	http://www.spr.ru/yubileyniy-i-gorodskoy-okrug-yubileyniy/pango.html
ZENET, производство товаров для здоровья и красоты	http://www.spr.ru/sokolniki/zenet-4682589.html
МОССТОМАТРЕНТГЕН	http://www.spr.ru/strogino/mosstomatrentgen-4571945.html
ЧАВАНПРАМ - ЭЛИКСИР МОЛОДОСТИ, фитосборы, чай	http://www.spr.ru/preobrazhenskoe/chavanpram-eliksir-molodosti.html
АРГО, аппликаторы, пищевые добавки, косметические средства	http://www.spr.ru/dorogomilovo/argo-4694913.html
АРГО, аппликаторы, пищевые добавки, косметические средства	http://www.spr.ru/lefortovo/argo-4694909.html
АРГО, аппликаторы, пищевые добавки, косметические средства	http://www.spr.ru/taganskiy/argo-4694904.html
АРГО, аппликаторы, пищевые добавки, косметические средства	http://www.spr.ru/krasnoselskiy/argo-4694901.html
АРГО, аппликаторы, пищевые добавки, косметические средства	http://www.spr.ru/tverskoy/argo-8302350.html
АРГО, аппликаторы, пищевые добавки, косметические средства	http://www.spr.ru/zamoskvoreche/argo-4694907.html
АРГО, аппликаторы, пищевые добавки, косметические средства	http://www.spr.ru/tverskoy/argo-4694902.html
АРГО, аппликаторы, пищевые добавки, косметические средства	http://www.spr.ru/basmanniy/argo-8302351.html
