name	url
Добрые намерения	http://www.spr.ru/forum_vyvod.php?id_tema=2866617
Хочу поблагодарить	http://www.spr.ru/forum_vyvod.php?id_tema=2855552
Иди и работай	http://www.spr.ru/forum_vyvod.php?id_tema=2857379
Никакого уважения и сострадания	http://www.spr.ru/forum_vyvod.php?id_tema=2855553
Неправильное заполнение	http://www.spr.ru/forum_vyvod.php?id_tema=2934395
Мы уже не люди	http://www.spr.ru/forum_vyvod.php?id_tema=2466436
Нет информации о начале работы в августе	http://www.spr.ru/forum_vyvod.php?id_tema=13322
Отсутствие информации	http://www.spr.ru/forum_vyvod.php?id_tema=2250260
Снятие инвалидности	http://www.spr.ru/forum_vyvod.php?id_tema=646325
Хочу поблагодарить сотрудницу отвечавшую мне по телефону	http://www.spr.ru/forum_vyvod.php?id_tema=632470
Срок действия ипр	http://www.spr.ru/forum_vyvod.php?id_tema=386722
Принятие документов на комиссию	http://www.spr.ru/forum_vyvod.php?id_tema=2419498
Нет объективности в присвоении инвалидности	http://www.spr.ru/forum_vyvod.php?id_tema=3098088
Получение инвалидности	http://www.spr.ru/forum_vyvod.php?id_tema=2662610
Теряю драгоценное время	http://www.spr.ru/forum_vyvod.php?id_tema=2591827
Отказали в группе	http://www.spr.ru/forum_vyvod.php?id_tema=2109059
Благодарность медикам	http://www.spr.ru/forum_vyvod.php?id_tema=3275767
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2868902
Благодарность сотрудникам бюро	http://www.spr.ru/forum_vyvod.php?id_tema=2827963
Нуждаемся в помощи	http://www.spr.ru/forum_vyvod.php?id_tema=157447
Плохое отношение к больным	http://www.spr.ru/forum_vyvod.php?id_tema=2947984
Инвалидность по диагнозу	http://www.spr.ru/forum_vyvod.php?id_tema=2457204
Отношение	http://www.spr.ru/forum_vyvod.php?id_tema=3221826
В рабочее время никого нет на рабочем месте	http://www.spr.ru/forum_vyvod.php?id_tema=2530291
Плохое отношение к клиентам	http://www.spr.ru/forum_vyvod.php?id_tema=2352193
Не понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=2919852
Благодарность безмерная сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3367380
Огромная благодарность клинике	http://www.spr.ru/forum_vyvod.php?id_tema=3051921
Благодарность коллективу клиники	http://www.spr.ru/forum_vyvod.php?id_tema=3006900
Спасибо всем	http://www.spr.ru/forum_vyvod.php?id_tema=2864744
Лечение на уровне	http://www.spr.ru/forum_vyvod.php?id_tema=2863611
Спасибо всем	http://www.spr.ru/forum_vyvod.php?id_tema=2860714
Прекрасная больница	http://www.spr.ru/forum_vyvod.php?id_tema=2858448
Мне помогли	http://www.spr.ru/forum_vyvod.php?id_tema=2858426
Чувство благодарности переполняет	http://www.spr.ru/forum_vyvod.php?id_tema=2857684
Прекрасная клиника и хорошие специалисты	http://www.spr.ru/forum_vyvod.php?id_tema=2857228
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2857219
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2857210
Таких клиник мало	http://www.spr.ru/forum_vyvod.php?id_tema=2855703
Спасибо за неравнодушие	http://www.spr.ru/forum_vyvod.php?id_tema=2853315
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2851959
Я всем довольна	http://www.spr.ru/forum_vyvod.php?id_tema=2851102
Хорошая клиника	http://www.spr.ru/forum_vyvod.php?id_tema=2851041
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2849633
Моя бабушка проходила лечение	http://www.spr.ru/forum_vyvod.php?id_tema=2849590
Спасибо Кошелеву Руслану Викторовичу	http://www.spr.ru/forum_vyvod.php?id_tema=2838698
Отделение невррологии	http://www.spr.ru/forum_vyvod.php?id_tema=2837130
Благоданость коллективу и главному врачу	http://www.spr.ru/forum_vyvod.php?id_tema=2836869
Лучшее лечебное учреждение	http://www.spr.ru/forum_vyvod.php?id_tema=2835786
От всей души благодарю	http://www.spr.ru/forum_vyvod.php?id_tema=2645410
Большое человеческое спасибо приёмному отделению	http://www.spr.ru/forum_vyvod.php?id_tema=2644562
Благодарность сотрудникам гинекологии и реанимации	http://www.spr.ru/forum_vyvod.php?id_tema=2612160
В ожидании	http://www.spr.ru/forum_vyvod.php?id_tema=2607412
Внимательное отношение со стороны врачей	http://www.spr.ru/forum_vyvod.php?id_tema=2544147
О заблуждениях	http://www.spr.ru/forum_vyvod.php?id_tema=2534653
Беспредел	http://www.spr.ru/forum_vyvod.php?id_tema=2521023
Выражаю глубокую благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2520891
Благодарность за чуткость и внимание экспертного состава	http://www.spr.ru/forum_vyvod.php?id_tema=2500022
Хочу поблагодарить экспертов	http://www.spr.ru/forum_vyvod.php?id_tema=2445271
Хочу поблагодарить сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=2386876
Отзыв	http://www.spr.ru/forum_vyvod.php?id_tema=2358102
Хочу поблагодарить сотрудников гинекологии	http://www.spr.ru/forum_vyvod.php?id_tema=712606
Благодарность детскому отделению	http://www.spr.ru/forum_vyvod.php?id_tema=669937
Молодцы ребята - работают на совесть	http://www.spr.ru/forum_vyvod.php?id_tema=579340
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=537991
Здесь работают врачи от Бога	http://www.spr.ru/forum_vyvod.php?id_tema=280441
Палачи в халатах и работают сдельно	http://www.spr.ru/forum_vyvod.php?id_tema=210724
Совет	http://www.spr.ru/forum_vyvod.php?id_tema=3456587
Беспредел в МСЭ	http://www.spr.ru/forum_vyvod.php?id_tema=3420464
Советское обслуживание, не советские цены	http://www.spr.ru/forum_vyvod.php?id_tema=3416966
Непонятные правила на комиссии МСЭ в Балашихе	http://www.spr.ru/forum_vyvod.php?id_tema=3379971
Безответственно	http://www.spr.ru/forum_vyvod.php?id_tema=3378378
Полная безграмотность и хамство	http://www.spr.ru/forum_vyvod.php?id_tema=3371144
Чудеса	http://www.spr.ru/forum_vyvod.php?id_tema=3353961
Высокая текучесть кадров	http://www.spr.ru/forum_vyvod.php?id_tema=3344184
Ответа не будет	http://www.spr.ru/forum_vyvod.php?id_tema=3296923
Ждите ответа	http://www.spr.ru/forum_vyvod.php?id_tema=3261149
Попробуй получить	http://www.spr.ru/forum_vyvod.php?id_tema=3257825
Издевательство	http://www.spr.ru/forum_vyvod.php?id_tema=3257308
Давайте займёмся наведением порядка	http://www.spr.ru/forum_vyvod.php?id_tema=3246138
Печаль и разруха	http://www.spr.ru/forum_vyvod.php?id_tema=3233158
Халявщики	http://www.spr.ru/forum_vyvod.php?id_tema=3223843
Была на комиссии	http://www.spr.ru/forum_vyvod.php?id_tema=3218841
