name	url
Хорошее диагностическое отделение	http://www.spr.ru/forum_vyvod.php?id_tema=3453082
Дополнительные заезды	http://www.spr.ru/forum_vyvod.php?id_tema=3350131
Маммография	http://www.spr.ru/forum_vyvod.php?id_tema=3278401
Сделала компьютерную томографию	http://www.spr.ru/forum_vyvod.php?id_tema=3160645
Спасибо доктору	http://www.spr.ru/forum_vyvod.php?id_tema=2319592
Благодарность педиатру	http://www.spr.ru/forum_vyvod.php?id_tema=2281684
Справился с заболеванием	http://www.spr.ru/forum_vyvod.php?id_tema=3462430
Безмерная благодарность и восторг	http://www.spr.ru/forum_vyvod.php?id_tema=3447932
Сейчас проходит бесплатная консультация	http://www.spr.ru/forum_vyvod.php?id_tema=3406614
Благодарность заведующей	http://www.spr.ru/forum_vyvod.php?id_tema=3189216
Спасибо за помощь в лечении и поддержку!	http://www.spr.ru/forum_vyvod.php?id_tema=2672506
Нет даже намека на профессионализм	http://www.spr.ru/forum_vyvod.php?id_tema=3473045
Работают в целом хорошо	http://www.spr.ru/forum_vyvod.php?id_tema=3476124
Лучший терапевт	http://www.spr.ru/forum_vyvod.php?id_tema=3474422
Услуги медсестры	http://www.spr.ru/forum_vyvod.php?id_tema=3468033
Настоящие врачи	http://www.spr.ru/forum_vyvod.php?id_tema=3454363
Довольна обслуживанием	http://www.spr.ru/forum_vyvod.php?id_tema=3449091
Профи	http://www.spr.ru/forum_vyvod.php?id_tema=3442511
Хороший дерматолог	http://www.spr.ru/forum_vyvod.php?id_tema=3441819
Клиника, с которой нет проблем	http://www.spr.ru/forum_vyvod.php?id_tema=3434693
Хороший уролог	http://www.spr.ru/forum_vyvod.php?id_tema=3431010
Быстрый результат	http://www.spr.ru/forum_vyvod.php?id_tema=3430352
Благодарность врачу УЗИ	http://www.spr.ru/forum_vyvod.php?id_tema=3427676
Быстрый медосмотр	http://www.spr.ru/forum_vyvod.php?id_tema=3418844
Замечательный гинеколог	http://www.spr.ru/forum_vyvod.php?id_tema=3414096
Перестала бояться кресла стоматолога	http://www.spr.ru/forum_vyvod.php?id_tema=3406955
Работает хороший стоматолог	http://www.spr.ru/forum_vyvod.php?id_tema=3400706
Спасибо гинекологу!	http://www.spr.ru/forum_vyvod.php?id_tema=3388516
Клиника высшего уровня	http://www.spr.ru/forum_vyvod.php?id_tema=3385608
Шикарное УЗИ	http://www.spr.ru/forum_vyvod.php?id_tema=3380372
Спасибо косметологу	http://www.spr.ru/forum_vyvod.php?id_tema=3084292
Приемлемые цены	http://www.spr.ru/forum_vyvod.php?id_tema=2693317
Теперь и я всем рекомендую	http://www.spr.ru/forum_vyvod.php?id_tema=2653190
А также огромное спасибо ему от моей жены и дочки	http://www.spr.ru/forum_vyvod.php?id_tema=2585600
Хороший доктор	http://www.spr.ru/forum_vyvod.php?id_tema=2504594
Спасибо огромное	http://www.spr.ru/forum_vyvod.php?id_tema=2451369
Я туда обращалась не один раз	http://www.spr.ru/forum_vyvod.php?id_tema=2197146
Рекомендую всем	http://www.spr.ru/forum_vyvod.php?id_tema=2197123
Мне понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=2195983
Офтальмолога благодарю за лечение	http://www.spr.ru/forum_vyvod.php?id_tema=658972
Хорошее обслуживание	http://www.spr.ru/forum_vyvod.php?id_tema=452252
Стоматолог доктор Лавренов молодец	http://www.spr.ru/forum_vyvod.php?id_tema=452240
Благодарность врачу	http://www.spr.ru/forum_vyvod.php?id_tema=387928
Отзывчивые и добрые люди	http://www.spr.ru/forum_vyvod.php?id_tema=228848
Больше нет прыщей!	http://www.spr.ru/forum_vyvod.php?id_tema=206603
Профессиональный осмотр	http://www.spr.ru/forum_vyvod.php?id_tema=205547
Выражаю благодарность сотрудникам клиники	http://www.spr.ru/forum_vyvod.php?id_tema=202392
Лучший стоматолог	http://www.spr.ru/forum_vyvod.php?id_tema=180296
Объявляю благодарность клинике на курской	http://www.spr.ru/forum_vyvod.php?id_tema=162900
Клиника - помогли	http://www.spr.ru/forum_vyvod.php?id_tema=151912
Хвала	http://www.spr.ru/forum_vyvod.php?id_tema=137008
Присосался клещ	http://www.spr.ru/forum_vyvod.php?id_tema=123862
Дерматолог на Курской - хороший врач	http://www.spr.ru/forum_vyvod.php?id_tema=118038
Андрей Павлов	http://www.spr.ru/forum_vyvod.php?id_tema=103461
Отличный доктор	http://www.spr.ru/forum_vyvod.php?id_tema=81705
Спасибо, доктор	http://www.spr.ru/forum_vyvod.php?id_tema=76674
Отличное лечение	http://www.spr.ru/forum_vyvod.php?id_tema=52635
Большое спасибо врачам	http://www.spr.ru/forum_vyvod.php?id_tema=51301
Результат полностью удовлетворил	http://www.spr.ru/forum_vyvod.php?id_tema=50538
Стоматология	http://www.spr.ru/forum_vyvod.php?id_tema=50462
Хочу поблагодарить	http://www.spr.ru/forum_vyvod.php?id_tema=50186
Мои проблемы были решены	http://www.spr.ru/forum_vyvod.php?id_tema=47528
Стоматология будущего	http://www.spr.ru/forum_vyvod.php?id_tema=45850
"Медцентрсервис"	http://www.spr.ru/forum_vyvod.php?id_tema=43001
Отзыв на стоматологию "Медцентрсервиса"	http://www.spr.ru/forum_vyvod.php?id_tema=42869
Благодарность стоматологу Лавренову Роману	http://www.spr.ru/forum_vyvod.php?id_tema=38936
Отличное отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=38343
Лечение зуба в "МедЦентрСервис"	http://www.spr.ru/forum_vyvod.php?id_tema=38250
Была на консультации у гинеколога	http://www.spr.ru/forum_vyvod.php?id_tema=3466644
Ходила к терапевту	http://www.spr.ru/forum_vyvod.php?id_tema=3447599
Ничего нового не узнала	http://www.spr.ru/forum_vyvod.php?id_tema=3337120
Надо было поискать еще	http://www.spr.ru/forum_vyvod.php?id_tema=3282584
Хожу несколько лет	http://www.spr.ru/forum_vyvod.php?id_tema=3025581
Ничего нового не узнала	http://www.spr.ru/forum_vyvod.php?id_tema=2859126
Результата не видно	http://www.spr.ru/forum_vyvod.php?id_tema=2711539
Неприятный осадок	http://www.spr.ru/forum_vyvod.php?id_tema=2680400
Высокие цены	http://www.spr.ru/forum_vyvod.php?id_tema=2479134
Лечение банальное	http://www.spr.ru/forum_vyvod.php?id_tema=2420458
Благодарность администратору	http://www.spr.ru/forum_vyvod.php?id_tema=3304283
Благодарность масссажисту	http://www.spr.ru/forum_vyvod.php?id_tema=3303919
Наконец в Ногинске есть хороший маммограф	http://www.spr.ru/forum_vyvod.php?id_tema=3300330
Всем рекомендую	http://www.spr.ru/forum_vyvod.php?id_tema=3297953
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3108122
Замечательное обслуживание	http://www.spr.ru/forum_vyvod.php?id_tema=2905305
Спасибо огромное	http://www.spr.ru/forum_vyvod.php?id_tema=2773028
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2757511
Побольше таких докторов	http://www.spr.ru/forum_vyvod.php?id_tema=2425792
Побольше таких докторов	http://www.spr.ru/forum_vyvod.php?id_tema=2423840
Внимательный и доброжелательный врач	http://www.spr.ru/forum_vyvod.php?id_tema=2422752
Я всем довольна	http://www.spr.ru/forum_vyvod.php?id_tema=2334015
Довольна профессионализмом врачей	http://www.spr.ru/forum_vyvod.php?id_tema=2329654
Очень хорошие и доброжелательные сотрудники	http://www.spr.ru/forum_vyvod.php?id_tema=2167407
Хамское отношение администраторов	http://www.spr.ru/forum_vyvod.php?id_tema=3301703
Отвратительно	http://www.spr.ru/forum_vyvod.php?id_tema=3164825
Берегите своих детей	http://www.spr.ru/forum_vyvod.php?id_tema=3088493
Качество лечения	http://www.spr.ru/forum_vyvod.php?id_tema=3076849
Теперь работает неврологом	http://www.spr.ru/forum_vyvod.php?id_tema=2894832
Вежливость нарочитая	http://www.spr.ru/forum_vyvod.php?id_tema=2894161
Отношение нейтральное	http://www.spr.ru/forum_vyvod.php?id_tema=2839630
Цены как в клиниках Израиля	http://www.spr.ru/forum_vyvod.php?id_tema=2764601
Клиентов не уважают	http://www.spr.ru/forum_vyvod.php?id_tema=2759072
У меня были сильные боли	http://www.spr.ru/forum_vyvod.php?id_tema=688807
Благодарность урологу	http://www.spr.ru/forum_vyvod.php?id_tema=3362997
Отоларинголог, Красногорск	http://www.spr.ru/forum_vyvod.php?id_tema=3341940
Отличный гинеколог в Красногорске	http://www.spr.ru/forum_vyvod.php?id_tema=2862763
Отличный детский лор-врач	http://www.spr.ru/forum_vyvod.php?id_tema=2764188
Благодарность Косорукову Анатолию Максимовичу	http://www.spr.ru/forum_vyvod.php?id_tema=3462677
Согласна про врача Куличенко	http://www.spr.ru/forum_vyvod.php?id_tema=3335148
Лечите свои зубки у Куличенко Е И	http://www.spr.ru/forum_vyvod.php?id_tema=3291992
Благодарность Куличенко Е И	http://www.spr.ru/forum_vyvod.php?id_tema=3288637
Очень хорошая клиника	http://www.spr.ru/forum_vyvod.php?id_tema=2985730
Парацельс в Истре	http://www.spr.ru/forum_vyvod.php?id_tema=2602974
Очень довольна с	http://www.spr.ru/forum_vyvod.php?id_tema=2194280
Хорошие врачи	http://www.spr.ru/forum_vyvod.php?id_tema=2194279
Благодарность гинекологу	http://www.spr.ru/forum_vyvod.php?id_tema=580228
Флеболог	http://www.spr.ru/forum_vyvod.php?id_tema=3409033
Благодарность сотрудникам "Пластики С"	http://www.spr.ru/forum_vyvod.php?id_tema=3341616
Лучшая клиника в Королеве	http://www.spr.ru/forum_vyvod.php?id_tema=3325397
Благодарность клинике	http://www.spr.ru/forum_vyvod.php?id_tema=3249791
Детский гастроэнтеролог	http://www.spr.ru/forum_vyvod.php?id_tema=3205644
Спасибо большое, отличный доктор	http://www.spr.ru/forum_vyvod.php?id_tema=3157460
Грамотные специалисты	http://www.spr.ru/forum_vyvod.php?id_tema=2998632
Флеболог	http://www.spr.ru/forum_vyvod.php?id_tema=2997155
Очень хорошая клиника	http://www.spr.ru/forum_vyvod.php?id_tema=2911244
Умницы	http://www.spr.ru/forum_vyvod.php?id_tema=2864878
Спасибо за внимательность	http://www.spr.ru/forum_vyvod.php?id_tema=2790470
Вселяют уверенность	http://www.spr.ru/forum_vyvod.php?id_tema=2790437
Огромная благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2777733
Флеболог	http://www.spr.ru/forum_vyvod.php?id_tema=2729473
Спасибо флебологу Кутидзе	http://www.spr.ru/forum_vyvod.php?id_tema=2681846
Спасибо доктору	http://www.spr.ru/forum_vyvod.php?id_tema=2622906
Стоматология на высшем уровне	http://www.spr.ru/forum_vyvod.php?id_tema=2621753
Хочу сказать спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2620704
Спасибо Вам огромное	http://www.spr.ru/forum_vyvod.php?id_tema=2616357
Огромная редкость в нашем городе	http://www.spr.ru/forum_vyvod.php?id_tema=2608919
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2592145
Минус 10 лет	http://www.spr.ru/forum_vyvod.php?id_tema=2577734
Огромная благодарность доктору	http://www.spr.ru/forum_vyvod.php?id_tema=2562609
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2550780
