name	url
Спасибо хирургу Скоробогатову	http://www.spr.ru/forum_vyvod.php?id_tema=3171494
Благодарность доктору Скоробогатову	http://www.spr.ru/forum_vyvod.php?id_tema=3166497
Благодарность врачу Медникову Сергею Васильевичу	http://www.spr.ru/forum_vyvod.php?id_tema=3044078
Нормальная поликлиника	http://www.spr.ru/forum_vyvod.php?id_tema=2951923
Лучший врач	http://www.spr.ru/forum_vyvod.php?id_tema=2945673
Благодарность медсестре уролога	http://www.spr.ru/forum_vyvod.php?id_tema=2943956
Замечательный эндокринолог	http://www.spr.ru/forum_vyvod.php?id_tema=2931715
Спасибо большое Машкиной	http://www.spr.ru/forum_vyvod.php?id_tema=2899671
Хороший эндокринолог	http://www.spr.ru/forum_vyvod.php?id_tema=2854655
Хороший гинеколог	http://www.spr.ru/forum_vyvod.php?id_tema=2501260
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=700600
Вы зря наговорили	http://www.spr.ru/forum_vyvod.php?id_tema=652374
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=529410
Чуть не прописали очки здоровому человеку	http://www.spr.ru/forum_vyvod.php?id_tema=3427296
Справка	http://www.spr.ru/forum_vyvod.php?id_tema=3389418
Плохое медицинское учреждение	http://www.spr.ru/forum_vyvod.php?id_tema=3387198
Гинекология	http://www.spr.ru/forum_vyvod.php?id_tema=3320603
Отвратительное отношение гинеколога	http://www.spr.ru/forum_vyvod.php?id_tema=3294364
Проходите мимо этой поликлиники	http://www.spr.ru/forum_vyvod.php?id_tema=3288545
Бездарный врач	http://www.spr.ru/forum_vyvod.php?id_tema=3223176
Бардак, самое точное название	http://www.spr.ru/forum_vyvod.php?id_tema=3203489
Не стоит денег	http://www.spr.ru/forum_vyvod.php?id_tema=3196506
За деньги здесь делать нечего	http://www.spr.ru/forum_vyvod.php?id_tema=3193497
Безответственность врача	http://www.spr.ru/forum_vyvod.php?id_tema=3152137
Не рекомендую	http://www.spr.ru/forum_vyvod.php?id_tema=3009060
Наглость	http://www.spr.ru/forum_vyvod.php?id_tema=2967271
Работа регистратуры	http://www.spr.ru/forum_vyvod.php?id_tema=2930819
Кардиолог может навредить	http://www.spr.ru/forum_vyvod.php?id_tema=2914122
Абсолютная неграмотность врачей	http://www.spr.ru/forum_vyvod.php?id_tema=2890360
Давно пора разогнать	http://www.spr.ru/forum_vyvod.php?id_tema=2885669
В Белый дом быстрее дозвониться	http://www.spr.ru/forum_vyvod.php?id_tema=2881340
Не пойду больше и вам не советую	http://www.spr.ru/forum_vyvod.php?id_tema=2879917
Регистратура	http://www.spr.ru/forum_vyvod.php?id_tema=2847895
Побывали у врача	http://www.spr.ru/forum_vyvod.php?id_tema=2777595
Ложные диагнозы	http://www.spr.ru/forum_vyvod.php?id_tema=2725765
Работа регистратуры	http://www.spr.ru/forum_vyvod.php?id_tema=2666813
Отношение врачей	http://www.spr.ru/forum_vyvod.php?id_tema=2626330
Окулист вытворят невероятные вещи	http://www.spr.ru/forum_vyvod.php?id_tema=2620391
Если Вам дорого здоровье	http://www.spr.ru/forum_vyvod.php?id_tema=2386144
Отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=2376496
Организация проведения медицинских осмотров	http://www.spr.ru/forum_vyvod.php?id_tema=2332644
Даже нет одноразовых полотенец	http://www.spr.ru/forum_vyvod.php?id_tema=2304303
О сервисе	http://www.spr.ru/forum_vyvod.php?id_tema=2303226
Приём	http://www.spr.ru/forum_vyvod.php?id_tema=2271341
Даже бабулька в гардеробной кричит	http://www.spr.ru/forum_vyvod.php?id_tema=2271290
Не возможно дозвониться	http://www.spr.ru/forum_vyvod.php?id_tema=2268931
Жалоба на лор-врача	http://www.spr.ru/forum_vyvod.php?id_tema=644822
Дорого и не качественно	http://www.spr.ru/forum_vyvod.php?id_tema=492143
Ремонт в ущерб здоровью пациентов	http://www.spr.ru/forum_vyvod.php?id_tema=456033
Как сдать кровь	http://www.spr.ru/forum_vyvod.php?id_tema=444141
Отношение к клиентам - ПЛОХОЕ	http://www.spr.ru/forum_vyvod.php?id_tema=123785
Благодарность врачу Волковой	http://www.spr.ru/forum_vyvod.php?id_tema=3408275
А я похвалю	http://www.spr.ru/forum_vyvod.php?id_tema=3396373
Добрые слова о наших врачах	http://www.spr.ru/forum_vyvod.php?id_tema=3391451
Низкий поклон врачу	http://www.spr.ru/forum_vyvod.php?id_tema=3379139
Спасибо доктору за профессионализм	http://www.spr.ru/forum_vyvod.php?id_tema=3113861
Благодарность Конышевой	http://www.spr.ru/forum_vyvod.php?id_tema=3054620
Благодарность стоматологу	http://www.spr.ru/forum_vyvod.php?id_tema=2578657
Слова огромной благодарности Гарнышевой Светлане Георгиевне	http://www.spr.ru/forum_vyvod.php?id_tema=2532632
Благодарю за профессионализм и доброту	http://www.spr.ru/forum_vyvod.php?id_tema=2485659
Спасибо Гарнышевой	http://www.spr.ru/forum_vyvod.php?id_tema=2367901
Хорошее отношение к апциентам	http://www.spr.ru/forum_vyvod.php?id_tema=2331674
Очень хорошие врачи	http://www.spr.ru/forum_vyvod.php?id_tema=480739
Прошу разобраться	http://www.spr.ru/forum_vyvod.php?id_tema=3434161
Отказ в помощи при острой боли	http://www.spr.ru/forum_vyvod.php?id_tema=3418091
Некомпетентность врачей	http://www.spr.ru/forum_vyvod.php?id_tema=3190107
Неверный результат анализов	http://www.spr.ru/forum_vyvod.php?id_tema=3183606
Гастроэнтеролог в платном отделении	http://www.spr.ru/forum_vyvod.php?id_tema=3137599
Неверные результаты анализов	http://www.spr.ru/forum_vyvod.php?id_tema=3034814
Отношение в справочной	http://www.spr.ru/forum_vyvod.php?id_tema=3000917
О результатах сдачи анализов	http://www.spr.ru/forum_vyvod.php?id_tema=2853866
Только подпись поставить	http://www.spr.ru/forum_vyvod.php?id_tema=2849033
Засекреченная регистратура или как попасть к врачу	http://www.spr.ru/forum_vyvod.php?id_tema=2833088
Записалась к стоматологу	http://www.spr.ru/forum_vyvod.php?id_tema=2782437
Отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=2762568
Неквалифицированные специалисты	http://www.spr.ru/forum_vyvod.php?id_tema=2755272
Жуткий непрофессионализм	http://www.spr.ru/forum_vyvod.php?id_tema=2665977
