name	url
МСЧ № 8	http://www.spr.ru/serpuhov-i-serpuhovskiy-rayon/msch-8-221401.html
МСЧ № 170	http://www.spr.ru/korolev-i-gorodskoy-okrug-korolev/msch-170.html
МСЧ № 9	http://www.spr.ru/dubna-i-gorodskoy-okrug-dubna/msch-9.html
МСЧ № 1, при ОАМО ЗИЛ	http://www.spr.ru/danilovskiy/msch-1.html
ЦМСЧ № 21	http://www.spr.ru/elektrostal-i-gorodskoy-okrug-elektrostal/tsmsch-21.html
ЦЕНТРАЛЬНАЯ МЕДИКО-САНИТАРНАЯ ЧАСТЬ № 119 ФМБА	http://www.spr.ru/marina-roscha/tsentralnaya-mediko-sanitarnaya-chast-119-fmba.html
МЕДИКО-САНИТАРНАЯ ЧАСТЬ № 4	http://www.spr.ru/himki-i-gorodskoy-okrug-himki/mediko-sanitarnaya-chast-4-204759.html
МСЧ № 94	http://www.spr.ru/sergiev-posad-i-sergievo-posadskiy-rayon/msch-94-969956.html
МСЧ № 6	http://www.spr.ru/korolev-i-gorodskoy-okrug-korolev/msch-6.html
МЕДИКО-САНИТАРНАЯ ЧАСТЬ МПФ ГОЗНАКА	http://www.spr.ru/danilovskiy/mediko-sanitarnaya-chast-mpf-goznaka.html
МЕДСАНЧАСТЬ 03, многопрофильная клиника	http://www.spr.ru/marina-roscha/medsanchast-03.html
Медсанчасть, ДОМОДЕДОВСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА	http://www.spr.ru/domodedovo-i-gorodskoy-okrug-domodedovo/medsanchast.html
МСЧ № 51	http://www.spr.ru/voykovskiy/msch-51.html
МСЧ ГУВД	http://www.spr.ru/koptevo/msch-guvd.html
ЦМСЧ № 165, поликлиника № 1	http://www.spr.ru/nagatino-sadovniki/tsmsch-165.html
МСЧ № 26	http://www.spr.ru/sokolinaya-gora/msch-26.html
МСЧ № 174	http://www.spr.ru/protvino-i-gorodskoy-okrug-protvino/msch-174.html
МЕДИКО-САНИТАРНАЯ ЧАСТЬ № 2	http://www.spr.ru/sokolniki/mediko-sanitarnaya-chast-2.html
МЕДИКО-САНИТАРНАЯ ЧАСТЬ № 7	http://www.spr.ru/filevskiy-park/mediko-sanitarnaya-chast-7-241536.html
МЕДИКО-САНИТАРНАЯ ЧАСТЬ № 23	http://www.spr.ru/alekseevskiy/mediko-sanitarnaya-chast-23.html
МЕДИКО-САНИТАРНАЯ ЧАСТЬ № 32, поликлиника	http://www.spr.ru/donskoy/mediko-sanitarnaya-chast-32.html
МЕДИКО-САНИТАРНАЯ ЧАСТЬ № 171	http://www.spr.ru/nagatino-sadovniki/mediko-sanitarnaya-chast-171.html
МЕДИКО-САНИТАРНЫЙ ЦЕНТР МВД РФ	http://www.spr.ru/schukino/mediko-sanitarniy-tsentr-mvd-rf.html
МСЧ № 34, при ГУП Мострансавто	http://www.spr.ru/danilovskiy/msch-34.html
МСЧ № 49	http://www.spr.ru/lefortovo/msch-49.html
МСЧ № 152	http://www.spr.ru/dzerzhinskiy-i-gorodskoy-okrug-dzerzhinskiy/msch-152.html
МСЧ № 169	http://www.spr.ru/otradnoe/msch-169.html
МСЧ ЦИАМ ИМ. П.И. БАРАНОВА	http://www.spr.ru/lefortovo/msch-tsiam-im-p-i-baranova.html
МСЧ № 5	http://www.spr.ru/reutov-i-gorodskoy-okrug-reutov/msch-5.html
МСЧ № 33	http://www.spr.ru/rostokino/msch-33-55502.html
МСЧ, при МКБ Вымпел	http://www.spr.ru/pokrovskoe-streshnevo/msch-33200.html
Поликлиника, МСЧ № 152	http://www.spr.ru/dzerzhinskiy-i-gorodskoy-okrug-dzerzhinskiy/poliklinika-1010606.html
Поликлиника № 2, МСЧ № 94	http://www.spr.ru/sergiev-posad-i-sergievo-posadskiy-rayon/poliklinika-2-212546.html
