name	url
СПАСЕНИЕ, наркологическая клиника в Москве	http://www.spr.ru/meschanskiy/spasenie-4075235.html
АЛКОМЕД, наркологический медицинский центр, кодирование, вывод из запоя	http://www.spr.ru/filevskiy-park/alkomed.html
НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ НАРКОЛОГИИ	http://www.spr.ru/lyublino/nauchno-issledovatelskiy-institut-narkologii.html
КЛИНИКА МАРШАКА, наркологическая клиника	http://www.spr.ru/naro-fominsk-i-naro-fominskiy-rayon/klinika-marshaka-942466.html
МЕДИК-ГРУПП, наркологическая клиника	http://www.spr.ru/hovrino/medik-grupp.html
ZETMED, наркологическая клиника	http://www.spr.ru/zyuzino/zetmed.html
АЛКОМЕД, наркологическая клиника	http://www.spr.ru/bronnitsi-i-gorodskoy-okrug-bronnitsi/alkomed-189238.html
АЛКОХЕЛП, центр лечения алкоголизма	http://www.spr.ru/donskoy/alkohelp.html
ВЗГЛЯД, лечение наркомании, алкоголизма	http://www.spr.ru/voskresensk-i-voskresenskiy-rayon/vzglyad-4585284.html
ВИТАЛИНИЯ, наркологический центр	http://www.spr.ru/mozhayskiy/vitaliniya.html
ГИППОКРАТ, центр лечения алкоголизма и наркомании	http://www.spr.ru/brateevo/gippokrat-4662275.html
ЗДОРОВЬЕ-Н, наркологическая клиника	http://www.spr.ru/ryazanskiy/zdorove-n.html
СПЕЦМЕДСЕРВИС, наркологическая клиника	http://www.spr.ru/zhukovskiy-i-gorodskoy-okrug-zhukovskiy/spetsmedservis-1909852.html
УЛЬТРАМЕД, наркологическая клиника	http://www.spr.ru/pechatniki/ultramed-4264315.html
ЦЕНТР ЛЕЧЕНИЯ АЛКОГОЛИЗМА	http://www.spr.ru/domodedovo-i-gorodskoy-okrug-domodedovo/tsentr-lecheniya-alkogolizma-1008099.html
ДАР, психотерапевтический центр имю А.Р. Довженко	http://www.spr.ru/izmaylovo/dar-4798047.html
ЖИЗНЬ, наркологическая клиника	http://www.spr.ru/losinoostrovskiy/zhizn-4801949.html
ЖИЗНЬ-ХИМКИ, центр помощи наркозависимым	http://www.spr.ru/himki-i-gorodskoy-okrug-himki/zhizn-himki.html
НАРКОБЛОК, центр реабилитации	http://www.spr.ru/pokrovskoe-streshnevo/narkoblok.html
НАРКОЛОГИЧЕСКАЯ КЛИНИКА	http://www.spr.ru/sviblovo/narkologicheskaya-klinika-4813178.html
НАРКОПРОФИ, наркологический стационар	http://www.spr.ru/marino/narkoprofi.html
РЕВАНШ, наркологическая клиника	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/revansh-4664908.html
СОЮЗ МЕД, центр лечения алкоголизма	http://www.spr.ru/marfino/soyuz-med.html
