name	url
ЯСНЫЙ ВЗОР, детский офтальмолог, лечение косоглазия	http://www.spr.ru/ramenki/yasniy-vzor.html
КЛИНИКА ПРОФЕССИОНАЛЬНОЙ ОФТАЛЬМОЛОГИИ ДОКТОРА ШИЛОВОЙ, центр офтальмологии, лазерная коррекция зрения, лечение глаукомы и катаракты	http://www.spr.ru/konkovo/klinika-professionalnoy-oftalmologii-doktora-shilovoy-4647893.html
ЦЕНТР СЕМЕЙНОЙ ОФТАЛЬМОЛОГИИ, офтальмологический центр, диагностика зрения в Москве	http://www.spr.ru/aeroport/tsentr-semeynoy-oftalmologii-1169879.html
ЦЕНТР СЕМЕЙНОЙ ОФТАЛЬМОЛОГИИ	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/tsentr-semeynoy-oftalmologii-4632226.html
ВЗГЛЯД ЭКСИМЕР, центр коррекции зрения	http://www.spr.ru/ivanteevka-i-gorodskoy-okrug-ivanteevka/vzglyad-eksimer-4614122.html
ГЛАЗНАЯ КЛИНИКА ЛАЗЕРНОЙ ЭКСТРАКЦИИ КАТАРАКТЫ	http://www.spr.ru/ivanteevka-i-gorodskoy-okrug-ivanteevka/glaznaya-klinika-lazernoy-ekstraktsii-katarakti-4674227.html
ОФТАЛЬМОЛОГИЧЕСКИЙ МЕДИЦИНСКИЙ ЦЕНТР	http://www.spr.ru/solntsevo/oftalmologicheskiy-meditsinskiy-tsentr.html
ОФТАЛЬМОЛОГИЧЕСКИЙ ЦЕНТР КОНОВАЛОВА	http://www.spr.ru/tverskoy/oftalmologicheskiy-tsentr-konovalova.html
СВЕТОЧ, офтальмологический центр	http://www.spr.ru/pushkino-i-pushkinskiy-rayon/svetoch-958196.html
ВОСТОК-ПРОЗРЕНИЕ, глазной центр	http://www.spr.ru/presnenskiy/vostok-prozrenie.html
ЦЕНТР ВОССТАНОВЛЕНИЯ ЗРЕНИЯ	http://www.spr.ru/hamovniki/tsentr-vosstanovleniya-zreniya-17153.html
МОСКОВСКАЯ ГЛАЗНАЯ КЛИНИКА	http://www.spr.ru/sokolinaya-gora/moskovskaya-glaznaya-klinika.html
НОВЫЙ ВЗГЛЯД, офтальмологический центр	http://www.spr.ru/krilatskoe/noviy-vzglyad.html
ЯСНЫЙ ВЗОР, детская офтальмологическая клиника	http://www.spr.ru/meschanskiy/yasniy-vzor-4255935.html
ГЛАЗНАЯ КЛИНИКА ДОКТОРА ЯКОВЛЕВА	http://www.spr.ru/podolsk-i-podolskiy-rayon/glaznaya-klinika-doktora-yakovleva.html
ДОКТОР ВИЗУС, офтальмологический центр	http://www.spr.ru/krasnoselskiy/doktor-vizus.html
ПРОФЕССОР, глазной центр	http://www.spr.ru/yasenevo/professor-962648.html
ВИДЕОЭКОЛОГИЯ, глазной центр	http://www.spr.ru/tverskoy/videoekologiya.html
ГЛАЗНАЯ КЛИНИКА ДОКТОРА БЕЛИКОВОЙ	http://www.spr.ru/sokolinaya-gora/glaznaya-klinika-doktora-belikovoy.html
ЗРЕНИЕ, офтальмологический центр	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/zrenie-589364.html
КЛИНИКА ДОКТОРА ЯКОВЛЕВА	http://www.spr.ru/basmanniy/klinika-doktora-yakovleva-4690470.html
ОПТИКАЛНЭТ, медицинский глазной центр	http://www.spr.ru/tverskoy/optikalnet.html
ЦЕНТР ГЛАЗНОЙ ХИРУРГИИ И.П. МЕДВЕДЕВА	http://www.spr.ru/hamovniki/tsentr-glaznoy-hirurgii-i-p-medvedeva.html
ЭКСИМЕР, офтальмологическая клиника	http://www.spr.ru/taganskiy/eksimer.html
DOC.FEELGOOD, центр коррекции зрения	http://www.spr.ru/danilovskiy/doc-feelgood.html
ВОСТОК-ПРОЗРЕНИЕ, глазной центр	http://www.spr.ru/dubna-i-gorodskoy-okrug-dubna/vostok-prozrenie-192136.html
ВОСТОК-ПРОЗРЕНИЕ, офтальмологический центр	http://www.spr.ru/sokolinaya-gora/vostok-prozrenie-71370.html
ЦЕНТР ВОССТАНОВЛЕНИЯ ЗРЕНИЯ	http://www.spr.ru/ramenki/tsentr-vosstanovleniya-zreniya.html
ЯСНЫЙ ВЗОР, детская офтальмологическая клиника	http://www.spr.ru/basmanniy/yasniy-vzor-130279.html
ЯСНЫЙ ВЗОР, детская офтальмологическая клиника	http://www.spr.ru/beskudnikovskiy/yasniy-vzor-4560499.html
ЯСНЫЙ ВЗОР, детская офтальмологическая клиника	http://www.spr.ru/marino/yasniy-vzor-946027.html
ЯСНЫЙ ВЗОР, детская офтальмологическая клиника	http://www.spr.ru/aeroport/yasniy-vzor-4255934.html
ТОЧКА ЗРЕНИЯ, медицинский центр	http://www.spr.ru/voskresensk-i-voskresenskiy-rayon/tochka-zreniya-6126369.html
СФЕРА, офтальмологическая клиника	http://www.spr.ru/severnoe-butovo/sfera-6742.html
