name	url
Без прописки в столице нельзя стать донором	http://www.spr.ru/forum_vyvod.php?id_tema=434742
Благодарность сотрудникам лор-отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3465470
Благодарность докторам	http://www.spr.ru/forum_vyvod.php?id_tema=3445039
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3429669
Низкий поклон кардиохирургам Пискуну и Каткову	http://www.spr.ru/forum_vyvod.php?id_tema=3419145
С благодарностью гематологу Марковой Елене Евгеньевне	http://www.spr.ru/forum_vyvod.php?id_tema=3415680
Гинекологическое отделение номер 23	http://www.spr.ru/forum_vyvod.php?id_tema=3407998
Огромная благодарность всем врачам 41 урологического отделения	http://www.spr.ru/forum_vyvod.php?id_tema=3390866
Огромное спасибо врачам и медперсоналу	http://www.spr.ru/forum_vyvod.php?id_tema=3332807
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=3313114
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3271311
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3188243
Хочу поблагодарить Кардиохирургов	http://www.spr.ru/forum_vyvod.php?id_tema=3087583
Благодарность Будник Ирине Васильевне	http://www.spr.ru/forum_vyvod.php?id_tema=3085579
Огромная благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3073768
Выражаю большую благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3014658
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2908751
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2854047
Слова благодарности	http://www.spr.ru/forum_vyvod.php?id_tema=2770020
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2769264
Благодарность Макееву Дмитрию Юрьевичу	http://www.spr.ru/forum_vyvod.php?id_tema=2719591
Благодарность Исмаиловой	http://www.spr.ru/forum_vyvod.php?id_tema=2630219
Благодарность сотрудникам больницы	http://www.spr.ru/forum_vyvod.php?id_tema=2606638
Квалифицированные врачи	http://www.spr.ru/forum_vyvod.php?id_tema=2567629
Урология	http://www.spr.ru/forum_vyvod.php?id_tema=2420835
Хочу поблагодарить сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=2339805
Бардак с телефонами	http://www.spr.ru/forum_vyvod.php?id_tema=3473004
Хамка регистратор	http://www.spr.ru/forum_vyvod.php?id_tema=3456383
Полная разруха, наплевательское отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=3454954
Отказ в оказании услуг	http://www.spr.ru/forum_vyvod.php?id_tema=3447427
Ужасные алчные врачи	http://www.spr.ru/forum_vyvod.php?id_tema=3440989
