name	url
НАРО-ФОМИНСКАЯ СТАНЦИЯ ПЕРЕЛИВАНИЯ КРОВИ	http://www.spr.ru/naro-fominsk-i-naro-fominskiy-rayon/naro-fominskaya-stantsiya-perelivaniya-krovi.html
ЦЕНТРАЛЬНАЯ СТАНЦИЯ ПЕРЕЛИВАНИЯ КРОВИ	http://www.spr.ru/basmanniy/tsentralnaya-stantsiya-perelivaniya-krovi.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМ. С.П. БОТКИНА, станция переливания крови	http://www.spr.ru/begovoy/gorodskaya-klinicheskaya-bolnitsa-im-s-p-botkina-1022741.html
СТАНЦИЯ ПЕРЕЛИВАНИЯ КРОВИ	http://www.spr.ru/begovoy/stantsiya-perelivaniya-krovi-125987.html
СТАНЦИЯ ПЕРЕЛИВАНИЯ КРОВИ, филиал	http://www.spr.ru/tsaritsino/stantsiya-perelivaniya-krovi-245340.html
ОРЕХОВО-ЗУЕВСКАЯ СТАНЦИЯ ПЕРЕЛИВАНИЯ КРОВИ	http://www.spr.ru/orehovo-zuevo-i-orehovo-zuevskiy-rayon/orehovo-zuevskaya-stantsiya-perelivaniya-krovi.html
Станция переливания крови, ЛЮБЕРЕЦКАЯ РАЙОННАЯ БОЛЬНИЦА № 2	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/stantsiya-perelivaniya-krovi-202073.html
ВОСКРЕСЕНСКАЯ СТАНЦИЯ ПЕРЕЛИВАНИЯ КРОВИ	http://www.spr.ru/voskresensk-i-voskresenskiy-rayon/voskresenskaya-stantsiya-perelivaniya-krovi.html
ЩЁЛКОВСКАЯ СТАНЦИЯ ПЕРЕЛИВАНИЯ КРОВИ	http://www.spr.ru/schelkovo-i-schelkovskiy-rayon/schelkovskaya-stantsiya-perelivaniya-krovi.html
МОСКОВСКАЯ ОБЛАСТНАЯ СТАНЦИЯ ПЕРЕЛИВАНИЯ КРОВИ	http://www.spr.ru/perovo/moskovskaya-oblastnaya-stantsiya-perelivaniya-krovi.html
ПОДОЛЬСКАЯ СТАНЦИЯ ПЕРЕЛИВАНИЯ КРОВИ	http://www.spr.ru/podolsk-i-podolskiy-rayon/podolskaya-stantsiya-perelivaniya-krovi.html
Станция переливания крови, ДЕТСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА СВЯТОГО ВЛАДИМИРА	http://www.spr.ru/sokolniki/stantsiya-perelivaniya-krovi-1022834.html
СЕРПУХОВСКАЯ СТАНЦИЯ ПЕРЕЛИВАНИЯ КРОВИ	http://www.spr.ru/serpuhov-i-serpuhovskiy-rayon/serpuhovskaya-stantsiya-perelivaniya-krovi.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 51, станция переливания крови	http://www.spr.ru/filevskiy-park/gorodskaya-klinicheskaya-bolnitsa-51-1022830.html
