name	url
ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ 72 ЦЕНТРАЛЬНАЯ ПОЛИКЛИНИКА МЧС РОССИИ	http://www.spr.ru/ochakovo-matveevskoe/federalnoe-gosudarstvennoe-byudzhetnoe-uchrezhdenie-zdravoohraneniya-72.html
ЛЕЧЕБНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР МИНЭКОНОМРАЗВИТИЯ РОССИИ, филиал № 2	http://www.spr.ru/ramenki/lechebno-reabilitatsionniy-tsentr-minekonomrazvitiya-rossii.html
ПОЛИКЛИНИКА № 3 УД ПРЕЗИДЕНТА РФ	http://www.spr.ru/krasnoselskiy/poliklinika-3-ud-prezidenta-rf.html
ПОЛИКЛИНИКА № 2 ФСБ РФ	http://www.spr.ru/basmanniy/poliklinika-2-fsb-rf.html
ПОЛИКЛИНИКА № 1 РАН	http://www.spr.ru/krasnoselskiy/poliklinika-1-ran.html
Поликлиника, ДОРОЖНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМ. Н.А. СЕМАШКО НА СТАНЦИИ ЛЮБЛИНО ОАО РЖД	http://www.spr.ru/lyublino/poliklinika-48100.html
ПОЛИКЛИНИКА № 6 ФСБ РОССИИ	http://www.spr.ru/fili-davidkovo/poliklinika-6-fsb-rossii.html
ПОЛИКЛИНИКА МИНЭКОНОМРАЗВИТИЯ РОССИИ	http://www.spr.ru/presnenskiy/poliklinika-minekonomrazvitiya-rossii.html
ПОЛИКЛИНИКА № 3 ЦКБ РАН	http://www.spr.ru/gagarinskiy/poliklinika-3-tskb-ran.html
МСЧ МВД РОССИИ ПО ГОРОДУ МОСКВЕ, ПОЛИКЛИНИКА № 2	http://www.spr.ru/zamoskvoreche/msch-mvd-rossii-po-gorodu-moskve-poliklinika-2.html
ПОЛИКЛИНИКА № 4, при УД Президента РФ	http://www.spr.ru/dorogomilovo/poliklinika-4-237401.html
ПОЛИКЛИНИКА № 7 ФСБ РФ	http://www.spr.ru/marina-roscha/poliklinika-7-fsb-rf.html
ЦЕНТРАЛЬНАЯ ПОЛИКЛИНИКА № 2 МВД РОССИИ	http://www.spr.ru/ramenki/tsentralnaya-poliklinika-2-mvd-rossii.html
ПОЛИКЛИНИКА МИНСЕЛЬХОЗА РФ	http://www.spr.ru/krasnoselskiy/poliklinika-minselhoza-rf.html
ПОЛИКЛИНИКА ФНС РОССИИ	http://www.spr.ru/taganskiy/poliklinika-fns-rossii.html
ЦЕНТРАЛЬНАЯ ПОЛИКЛИНИКА ОАО РЖД	http://www.spr.ru/basmanniy/tsentralnaya-poliklinika-oao-rzhd.html
ФИЛИАЛ ФГБЛПУ ЛЕЧЕБНО-ОЗДОРОВИТЕЛЬНЫЙ ЦЕНТР МИД РФ - ПОЛИКЛИНИКА	http://www.spr.ru/arbat/filial-fgblpu-lechebno-ozdorovitelniy-tsentr-mid-rf-poliklinika.html
ПОЛИКЛИНИКА № 3, при ГУВД г. Москвы	http://www.spr.ru/ostankinskiy/poliklinika-3.html
ПОЛИКЛИНИКА № 2 ИМЕНИ СЕМАШКО	http://www.spr.ru/yakimanka/poliklinika-2-imeni-semashko.html
ДЕТСКАЯ ПОЛИКЛИНИКА УД ПРЕЗИДЕНТА РФ	http://www.spr.ru/ostankinskiy/detskaya-poliklinika-ud-prezidenta-rf.html
ПОЛИКЛИНИКА ЦЕНТРОСОЮЗА РФ	http://www.spr.ru/meschanskiy/poliklinika-tsentrosoyuza-rf.html
ГОРОДСКАЯ ПОЛИКЛИНИКА № 202	http://www.spr.ru/ramenki/gorodskaya-poliklinika-202.html
ГЛАВНЫЙ ВОЕННЫЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ ИМЕНИ Н.Н. БУРДЕНКО МИНОБОРОНЫ РФ, филиал № 5, поликлиника № 6	http://www.spr.ru/desenovskoe/glavniy-voenniy-klinicheskiy-gospital-imeni-n-n-burdenko-minoboroni-rf.html
ПОЛИКЛИНИКА, при ОАО ГАЗПРОМ	http://www.spr.ru/cheremushki/poliklinika-243144.html
ПОЛИКЛИНИКА ИМЕНИ 1 МАЯ, при ОАО РЖД	http://www.spr.ru/presnenskiy/poliklinika-imeni-1-maya.html
ПОЛИКЛИНИКА РАМН	http://www.spr.ru/basmanniy/poliklinika-ramn.html
ПОЛИКЛИНИКА ФТС РФ	http://www.spr.ru/filevskiy-park/poliklinika-fts-rf.html
Поликлиника, ОКРУЖНОЙ ВОЕННЫЙ КЛИНИЧЕСКИЙ ГОСПИТАЛЬ № 1586	http://www.spr.ru/podolsk-i-podolskiy-rayon/poliklinika-986129.html
ЦЕНТРАЛЬНАЯ ПОЛИКЛИНИКА РЖД	http://www.spr.ru/krasnoselskiy/tsentralnaya-poliklinika-rzhd.html
ПОЛИКЛИНИКА № 1 УД ПРЕЗИДЕНТА РФ	http://www.spr.ru/arbat/poliklinika-1-ud-prezidenta-rf.html
ПОЛИКЛИНИКА № 4 ФСБ РФ	http://www.spr.ru/zheleznodorozhniy-i-gorodskoy-okrug-zheleznodorozhniy/poliklinika-4-fsb-rf.html
ПОЛИКЛИНИКА № 1 МВД РФ	http://www.spr.ru/marina-roscha/poliklinika-1-mvd-rf.html
Поликлиника, МОЖАЙСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/mozhaysk-i-mozhayskiy-rayon/poliklinika-924329.html
ПОЛИКЛИНИКА № 5 ФСБ	http://www.spr.ru/izmaylovo/poliklinika-5-fsb.html
ДЕТСКАЯ ПОЛИКЛИНИКА, при НПО Энергомаш имени Глушко	http://www.spr.ru/himki-i-gorodskoy-okrug-himki/detskaya-poliklinika-204766.html
