name	url
Спасибо медперсоналу детской больнице	http://www.spr.ru/forum_vyvod.php?id_tema=3419071
Спасибо медперсоналу детской больницы	http://www.spr.ru/forum_vyvod.php?id_tema=3419060
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3366673
Очень вежливая девушка в регистратуре	http://www.spr.ru/forum_vyvod.php?id_tema=3211168
Спасибо Соломатиной и Петриной	http://www.spr.ru/forum_vyvod.php?id_tema=3097445
Благодарность Клевцовой	http://www.spr.ru/forum_vyvod.php?id_tema=3016032
С благодарностью	http://www.spr.ru/forum_vyvod.php?id_tema=3013478
Благодарность неврологу	http://www.spr.ru/forum_vyvod.php?id_tema=2942658
Спасибо заведующей	http://www.spr.ru/forum_vyvod.php?id_tema=2873593
Приятно удивлена	http://www.spr.ru/forum_vyvod.php?id_tema=2740089
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2572884
Понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=2519640
Спасибо невропатологу	http://www.spr.ru/forum_vyvod.php?id_tema=2335981
Замечательный детский врач	http://www.spr.ru/forum_vyvod.php?id_tema=684804
Плохое отношение к клиентам, неверная постановка диагноза	http://www.spr.ru/forum_vyvod.php?id_tema=3429089
Не приняли	http://www.spr.ru/forum_vyvod.php?id_tema=3366682
Отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=3337416
Благодарность врачу Скакунову	http://www.spr.ru/forum_vyvod.php?id_tema=3304060
Невролог Зинатулина Мария Маратовна	http://www.spr.ru/forum_vyvod.php?id_tema=3293846
Полный бардак	http://www.spr.ru/forum_vyvod.php?id_tema=3252861
Плохое отношение к маленьким пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=3227317
Причина беспредела в больницах	http://www.spr.ru/forum_vyvod.php?id_tema=3202031
Не хотят принимать ребенка-инвалида	http://www.spr.ru/forum_vyvod.php?id_tema=3180064
Бедные детишки раменской больницы	http://www.spr.ru/forum_vyvod.php?id_tema=3154130
Примите меры	http://www.spr.ru/forum_vyvod.php?id_tema=3122554
Невнимательный педиатр	http://www.spr.ru/forum_vyvod.php?id_tema=3122512
Условия приема малышей	http://www.spr.ru/forum_vyvod.php?id_tema=3122492
