name	url
Детская городская поликлиника, РАМЕНСКАЯ ГОРОДСКАЯ ДЕТСКАЯ БОЛЬНИЦА	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/detskaya-gorodskaya-poliklinika-971748.html
Детская поликлиника, ДМИТРОВСКАЯ ГОРОДСКАЯ БОЛЬНИЦА	http://www.spr.ru/dmitrov-i-dmitrovskiy-rayon/detskaya-poliklinika-225742.html
Детская поликлиника № 1, РАЙОННАЯ БОЛЬНИЦА № 1	http://www.spr.ru/schelkovo-i-schelkovskiy-rayon/detskaya-poliklinika-1-200288.html
ЕГОРЬЕВСКАЯ ДЕТСКАЯ ПОЛИКЛИНИКА	http://www.spr.ru/egorevsk-i-egorevskiy-rayon/egorevskaya-detskaya-poliklinika.html
ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА	http://www.spr.ru/sergiev-posad-i-sergievo-posadskiy-rayon/detskaya-gorodskaya-poliklinika-212528.html
Детская поликлиника № 2, РАЙОННАЯ БОЛЬНИЦА № 2	http://www.spr.ru/schelkovo-i-schelkovskiy-rayon/detskaya-poliklinika-2-200289.html
Детская поликлиника, ОДИНЦОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/detskaya-poliklinika-198807.html
ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА	http://www.spr.ru/serpuhov-i-serpuhovskiy-rayon/detskaya-gorodskaya-poliklinika-221397.html
Детская поликлиника, ВИДНОВСКАЯ РАЙОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА	http://www.spr.ru/vidnoe-i-leninskiy-rayon/detskaya-poliklinika-224988.html
ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 118	http://www.spr.ru/severnoe-butovo/detskaya-gorodskaya-poliklinika-118.html
Детская поликлиника, СТУПИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА	http://www.spr.ru/stupino-i-stupinskiy-rayon/detskaya-poliklinika-229608.html
Детская поликлиника, ИСТРИНСКАЯ РАЙОННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА	http://www.spr.ru/istra-i-istrinskiy-rayon/detskaya-poliklinika-201176.html
ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 97	http://www.spr.ru/tepliy-stan/detskaya-gorodskaya-poliklinika-97.html
ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 52	http://www.spr.ru/sokolinaya-gora/detskaya-gorodskaya-poliklinika-52.html
ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 103	http://www.spr.ru/yasenevo/detskaya-gorodskaya-poliklinika-103.html
Детская поликлиника № 7, БАЛАШИХИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/balashiha-i-gorodskoy-okrug-balashiha/detskaya-poliklinika-7-75126.html
Филиал № 144, ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 132	http://www.spr.ru/novo-peredelkino/filial-144.html
ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 58	http://www.spr.ru/strogino/detskaya-gorodskaya-poliklinika-58-239167.html
ДЕТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 86	http://www.spr.ru/dmitrovskiy/detskaya-gorodskaya-poliklinika-86.html
