name	url
Идите лечиться только к Пантюшиной	http://www.spr.ru/forum_vyvod.php?id_tema=3434215
Ангел хранитель в поликлинике	http://www.spr.ru/forum_vyvod.php?id_tema=3430933
Врачи-ангелы	http://www.spr.ru/forum_vyvod.php?id_tema=3429365
Благодарность Пантюшиной Надежде Ивановне	http://www.spr.ru/forum_vyvod.php?id_tema=3425996
Благодарю Вас	http://www.spr.ru/forum_vyvod.php?id_tema=3364892
Для тех, кто незнает	http://www.spr.ru/forum_vyvod.php?id_tema=3351646
Благодарность грамотному врачу	http://www.spr.ru/forum_vyvod.php?id_tema=3350999
Благодарность хорошему врачу	http://www.spr.ru/forum_vyvod.php?id_tema=3350905
Хороший кабинет	http://www.spr.ru/forum_vyvod.php?id_tema=3350707
Все бы хорошо	http://www.spr.ru/forum_vyvod.php?id_tema=3350034
Благодарю доктора	http://www.spr.ru/forum_vyvod.php?id_tema=3349764
Хорошие сотрудники	http://www.spr.ru/forum_vyvod.php?id_tema=3348189
Благодарность от души	http://www.spr.ru/forum_vyvod.php?id_tema=3347150
Благодарность ортопеду	http://www.spr.ru/forum_vyvod.php?id_tema=3347085
Хорошая поликлиника	http://www.spr.ru/forum_vyvod.php?id_tema=3347083
Очень милый доктор	http://www.spr.ru/forum_vyvod.php?id_tema=3345249
Очарованна была на приёме у врача терапевта	http://www.spr.ru/forum_vyvod.php?id_tema=3345120
Поздравляем с днем медика	http://www.spr.ru/forum_vyvod.php?id_tema=3325953
Парадонтолог Балагезян	http://www.spr.ru/forum_vyvod.php?id_tema=3309156
Знаю некоторых отличных врачей	http://www.spr.ru/forum_vyvod.php?id_tema=3304190
Хороший врач	http://www.spr.ru/forum_vyvod.php?id_tema=3302550
Хороший кабинет	http://www.spr.ru/forum_vyvod.php?id_tema=3302415
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3298820
C праздником	http://www.spr.ru/forum_vyvod.php?id_tema=3296048
Наступающим и вечным праздником 9 мая!	http://www.spr.ru/forum_vyvod.php?id_tema=3285759
Просто самый лучший врач	http://www.spr.ru/forum_vyvod.php?id_tema=3269993
Супер-специалист	http://www.spr.ru/forum_vyvod.php?id_tema=3259237
Хотим отметить 6 кабинет	http://www.spr.ru/forum_vyvod.php?id_tema=3219719
Хороший специалист	http://www.spr.ru/forum_vyvod.php?id_tema=3214383
Супер стоматологическая поликлиника	http://www.spr.ru/forum_vyvod.php?id_tema=3210376
Спасибо Торшиной В П	http://www.spr.ru/forum_vyvod.php?id_tema=3208965
Поблагодарить врача поликлиники	http://www.spr.ru/forum_vyvod.php?id_tema=3207214
Поздравления с 8 марта!	http://www.spr.ru/forum_vyvod.php?id_tema=3207163
Очень хороший врач	http://www.spr.ru/forum_vyvod.php?id_tema=3204603
Просто отличная поликлиника	http://www.spr.ru/forum_vyvod.php?id_tema=3199534
Отличная поликлиника	http://www.spr.ru/forum_vyvod.php?id_tema=3193597
Отличная стоматологическая клиника	http://www.spr.ru/forum_vyvod.php?id_tema=3190690
Все идёт к лучшему	http://www.spr.ru/forum_vyvod.php?id_tema=3187082
Особо отметить работу	http://www.spr.ru/forum_vyvod.php?id_tema=3183322
Отличное хирургическое отделение	http://www.spr.ru/forum_vyvod.php?id_tema=3183242
Самый лучший 58 кабинет	http://www.spr.ru/forum_vyvod.php?id_tema=3172626
Детское отделение красивое	http://www.spr.ru/forum_vyvod.php?id_tema=3168053
Выражаю благодарность Тихоновой И В	http://www.spr.ru/forum_vyvod.php?id_tema=3157805
Чуткому доктору	http://www.spr.ru/forum_vyvod.php?id_tema=3157492
Благодарность врачам и сёстрам 6 кабинета	http://www.spr.ru/forum_vyvod.php?id_tema=3157465
Спасибо врачу	http://www.spr.ru/forum_vyvod.php?id_tema=3144550
Благодарность Тихоновой Ирине Васильевне	http://www.spr.ru/forum_vyvod.php?id_tema=3143139
С наступающим 2015 годом	http://www.spr.ru/forum_vyvod.php?id_tema=3135185
Отличный выбор	http://www.spr.ru/forum_vyvod.php?id_tema=3097055
Детское отделение	http://www.spr.ru/forum_vyvod.php?id_tema=3079709
Грамотный специалист	http://www.spr.ru/forum_vyvod.php?id_tema=3076013
График работы поликлиники изменили к лучшему	http://www.spr.ru/forum_vyvod.php?id_tema=3059296
Благодарность врачам стоматологической п-ки №60	http://www.spr.ru/forum_vyvod.php?id_tema=3030181
Профессионалы своего дела	http://www.spr.ru/forum_vyvod.php?id_tema=3009923
Очень хороший специалист	http://www.spr.ru/forum_vyvod.php?id_tema=2977184
Здесь работают профессионалы	http://www.spr.ru/forum_vyvod.php?id_tema=2964520
Образцово-показательная клиника	http://www.spr.ru/forum_vyvod.php?id_tema=2944360
Поздравление	http://www.spr.ru/forum_vyvod.php?id_tema=2939272
Особо отметить хорошую работу врача Логвиненко Н В	http://www.spr.ru/forum_vyvod.php?id_tema=2936990
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2916303
Благодарность лучшему стоматологу-терапевту	http://www.spr.ru/forum_vyvod.php?id_tema=2903091
Благодарность Ластовкиной Ю С	http://www.spr.ru/forum_vyvod.php?id_tema=2899072
Самым лучшим спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2880951
Отзыв	http://www.spr.ru/forum_vyvod.php?id_tema=2877005
Хотим поблагодарить врача	http://www.spr.ru/forum_vyvod.php?id_tema=2864476
Благодарность лучшему врачу	http://www.spr.ru/forum_vyvod.php?id_tema=2847562
Отличный главный врач	http://www.spr.ru/forum_vyvod.php?id_tema=2815181
Благодарность врачу стоматологу	http://www.spr.ru/forum_vyvod.php?id_tema=2807926
Очень внимательный доктор	http://www.spr.ru/forum_vyvod.php?id_tema=2807514
Классный хирург	http://www.spr.ru/forum_vyvod.php?id_tema=2801253
Благодарность замечательным врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2794309
Поздравления врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2793105
Очень доволен	http://www.spr.ru/forum_vyvod.php?id_tema=2788368
Благодарность главному врачу	http://www.spr.ru/forum_vyvod.php?id_tema=2787818
Великолепный зубной врач	http://www.spr.ru/forum_vyvod.php?id_tema=2778855
Спасибо за хорошее настроение	http://www.spr.ru/forum_vyvod.php?id_tema=2760907
Просто супер стоматолог	http://www.spr.ru/forum_vyvod.php?id_tema=2746437
Врач с большой буквы	http://www.spr.ru/forum_vyvod.php?id_tema=2741504
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2671446
Отличный врач	http://www.spr.ru/forum_vyvod.php?id_tema=2663122
Великолепный ортопед	http://www.spr.ru/forum_vyvod.php?id_tema=2658987
Благодарность медицинскому регистратору	http://www.spr.ru/forum_vyvod.php?id_tema=2658924
Очень внимательный специалист	http://www.spr.ru/forum_vyvod.php?id_tema=2658920
Хочу поблагодарить	http://www.spr.ru/forum_vyvod.php?id_tema=2654650
Самый классный стоматолог	http://www.spr.ru/forum_vyvod.php?id_tema=2653387
Отличный пародонтолог	http://www.spr.ru/forum_vyvod.php?id_tema=2651118
Отличный хирург	http://www.spr.ru/forum_vyvod.php?id_tema=2651100
Спасибо большое	http://www.spr.ru/forum_vyvod.php?id_tema=2650728
Хороший врач	http://www.spr.ru/forum_vyvod.php?id_tema=2650694
Поликлиника очень хорошая	http://www.spr.ru/forum_vyvod.php?id_tema=2627392
Благодарность самому лучшему доктору	http://www.spr.ru/forum_vyvod.php?id_tema=2624689
Доктор волшебник	http://www.spr.ru/forum_vyvod.php?id_tema=2612591
Спасибо пародонтологу	http://www.spr.ru/forum_vyvod.php?id_tema=2547216
Спасибо докторам	http://www.spr.ru/forum_vyvod.php?id_tema=2530895
Хирург Панова	http://www.spr.ru/forum_vyvod.php?id_tema=2530531
Хочу поблагодарить сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=2486531
Поздравить моих любимых врачей	http://www.spr.ru/forum_vyvod.php?id_tema=2479022
Бальшое спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2351989
Замечательный врач	http://www.spr.ru/forum_vyvod.php?id_tema=2302877
Золотые руки	http://www.spr.ru/forum_vyvod.php?id_tema=2282711
Хорошие врачи	http://www.spr.ru/forum_vyvod.php?id_tema=2231805
Замечательные специалисты	http://www.spr.ru/forum_vyvod.php?id_tema=2228320
Даже не верится	http://www.spr.ru/forum_vyvod.php?id_tema=2214062
Хочу поблагодарить доктора Сенченко	http://www.spr.ru/forum_vyvod.php?id_tema=2212342
Спасибо врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2177286
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2157586
Вежливое отношение	http://www.spr.ru/forum_vyvod.php?id_tema=2132585
Отношение врачей к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=2654665
Благодарность Овчинникову Игорю Александровичу	http://www.spr.ru/forum_vyvod.php?id_tema=3441312
Благодарность Абаканову Зайнутдину Гогеновичу	http://www.spr.ru/forum_vyvod.php?id_tema=3400482
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3385826
Большое спасибо Павлович Веронике Антоновне	http://www.spr.ru/forum_vyvod.php?id_tema=3382571
Большая благодарность врачу хирургу Абакарову Зайнутдину Гасановичу	http://www.spr.ru/forum_vyvod.php?id_tema=3375236
Спасибо доктору Овчинникову	http://www.spr.ru/forum_vyvod.php?id_tema=3360608
Благодарность Павелко Галине Александровне	http://www.spr.ru/forum_vyvod.php?id_tema=3326362
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=3296825
Подарили надежду	http://www.spr.ru/forum_vyvod.php?id_tema=3287306
Благодарность Абакарову Зайнутдину Гасановичу	http://www.spr.ru/forum_vyvod.php?id_tema=3278727
Детское отделение	http://www.spr.ru/forum_vyvod.php?id_tema=3233411
Рекомендую врача	http://www.spr.ru/forum_vyvod.php?id_tema=3212266
Благодарность Овчинникову Александру Владимировичу	http://www.spr.ru/forum_vyvod.php?id_tema=3198221
Благодарность Королеву	http://www.spr.ru/forum_vyvod.php?id_tema=3181527
Серебренникова Валентина Георгиевна	http://www.spr.ru/forum_vyvod.php?id_tema=3174266
Благодарность Сомовой Марине Михайловне	http://www.spr.ru/forum_vyvod.php?id_tema=3150820
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3024639
Качество обследования	http://www.spr.ru/forum_vyvod.php?id_tema=3023204
Стоматолог Гаврилина Анна Михайловна	http://www.spr.ru/forum_vyvod.php?id_tema=3004081
Огромная благодарность Сомовой Марине Михайловне	http://www.spr.ru/forum_vyvod.php?id_tema=2931456
Новое качество жизни	http://www.spr.ru/forum_vyvod.php?id_tema=2924421
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2889983
Врач от Бога	http://www.spr.ru/forum_vyvod.php?id_tema=2885136
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2884527
Настоящий человек своего дела	http://www.spr.ru/forum_vyvod.php?id_tema=2878293
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2876802
Благодарность пародонтологу	http://www.spr.ru/forum_vyvod.php?id_tema=2754745
Спасибо врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2748481
Спасибо Семкину Василию Александровичу	http://www.spr.ru/forum_vyvod.php?id_tema=2719914
Благодарю	http://www.spr.ru/forum_vyvod.php?id_tema=2702076
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2690356
Спасибо доктору	http://www.spr.ru/forum_vyvod.php?id_tema=2646884
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2637295
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2625711
Вряд ли вернусь	http://www.spr.ru/forum_vyvod.php?id_tema=2619612
Одна из лучших стоматологических клиник	http://www.spr.ru/forum_vyvod.php?id_tema=2608382
