name	url
СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 60, лечение, удаление, протезирование зубов в Строгино	http://www.spr.ru/strogino/stomatologicheskaya-poliklinika-60.html
ЦНИИ СТОМАТОЛОГИИ И ЧЕЛЮСТНО-ЛИЦЕВОЙ ХИРУРГИИ, поликлиника	http://www.spr.ru/hamovniki/tsnii-stomatologii-i-chelyustno-litsevoy-hirurgii.html
CTOMATOЛOГИЧECKAЯ ПOЛИKЛИHИKA № 5	http://www.spr.ru/krilatskoe/ctomatologicheckaya-poliklihika-5.html
СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 22	http://www.spr.ru/perovo/stomatologicheskaya-poliklinika-22.html
СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 51	http://www.spr.ru/marino/stomatologicheskaya-poliklinika-51.html
ГОРОДСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 62	http://www.spr.ru/tsaritsino/gorodskaya-stomatologicheskaya-poliklinika-62.html
КРАСНОГОРСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА ИМЕНИ Л.Ф. СМУРОВОЙ	http://www.spr.ru/krasnogorsk-i-krasnogorskiy-rayon/krasnogorskaya-stomatologicheskaya-poliklinika-imeni-l-f-smurovoy.html
Городская стоматологическая поликлиника, РАМЕНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/gorodskaya-stomatologicheskaya-poliklinika-210498.html
СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 50	http://www.spr.ru/krasnoselskiy/stomatologicheskaya-poliklinika-50.html
ЕГОРЬЕВСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА	http://www.spr.ru/egorevsk-i-egorevskiy-rayon/egorevskaya-stomatologicheskaya-poliklinika.html
ГОРОДСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 12	http://www.spr.ru/vostochnoe-degunino/gorodskaya-stomatologicheskaya-poliklinika-12-128111.html
СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 56	http://www.spr.ru/preobrazhenskoe/stomatologicheskaya-poliklinika-56.html
БАЛАШИХИНСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА	http://www.spr.ru/balashiha-i-gorodskoy-okrug-balashiha/balashihinskaya-stomatologicheskaya-poliklinika.html
ГОРОДСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 32	http://www.spr.ru/babushkinskiy/gorodskaya-stomatologicheskaya-poliklinika-32.html
ДЕТСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 6	http://www.spr.ru/marino/detskaya-stomatologicheskaya-poliklinika-6.html
ДЕТСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 43	http://www.spr.ru/chertanovo-tsentralnoe/detskaya-stomatologicheskaya-poliklinika-43.html
СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 67	http://www.spr.ru/novokosino/stomatologicheskaya-poliklinika-67.html
ГОРОДСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА	http://www.spr.ru/podolsk-i-podolskiy-rayon/gorodskaya-stomatologicheskaya-poliklinika-779284.html
