name	url
Благодарность медицинскому персоналу и комментарии о работе	http://www.spr.ru/forum_vyvod.php?id_tema=3473978
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3438326
Спасибо, Роберт Манвелович	http://www.spr.ru/forum_vyvod.php?id_tema=3434458
Потрясающие врачи, особенно Корбут	http://www.spr.ru/forum_vyvod.php?id_tema=3427317
Казарян лучший	http://www.spr.ru/forum_vyvod.php?id_tema=3421362
Замечательное гинекологическое отделение	http://www.spr.ru/forum_vyvod.php?id_tema=3418155
Спасибо Болотовой и Исаевой	http://www.spr.ru/forum_vyvod.php?id_tema=3400273
Человеческое спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3386651
Низкий поклон	http://www.spr.ru/forum_vyvod.php?id_tema=3376934
Большое спасибо сотрудникам роддома за мою кроху	http://www.spr.ru/forum_vyvod.php?id_tema=3358493
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3262955
Прекрасный роддом	http://www.spr.ru/forum_vyvod.php?id_tema=3226875
Григорян Карина Валерьевна	http://www.spr.ru/forum_vyvod.php?id_tema=3214125
Отличный роддом и благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3211930
Двойное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3210377
Подробный отзыв о роддоме	http://www.spr.ru/forum_vyvod.php?id_tema=3206944
Огромная благодарность врачу Сидневу	http://www.spr.ru/forum_vyvod.php?id_tema=3173943
Спасибо за мою принцессу	http://www.spr.ru/forum_vyvod.php?id_tema=3167410
Противоречивое мнение	http://www.spr.ru/forum_vyvod.php?id_tema=3147961
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3138026
Огромная благодарность доктору Казарян	http://www.spr.ru/forum_vyvod.php?id_tema=3090075
Благодарность за сына	http://www.spr.ru/forum_vyvod.php?id_tema=3078930
Огромная благодарность всем сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3075839
Роды бесплатно	http://www.spr.ru/forum_vyvod.php?id_tema=3042534
Благодарность врачу Корбут Андрею Владимировичу	http://www.spr.ru/forum_vyvod.php?id_tema=2966725
Большое спасибо за комфортные роды и сына	http://www.spr.ru/forum_vyvod.php?id_tema=2933314
Очень благодарна персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=2927527
Спасибо большое Карине Валерьевне	http://www.spr.ru/forum_vyvod.php?id_tema=2918768
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=2917546
Все хорошо	http://www.spr.ru/forum_vyvod.php?id_tema=2917213
Хороший роддом	http://www.spr.ru/forum_vyvod.php?id_tema=2893374
Хороший роддом	http://www.spr.ru/forum_vyvod.php?id_tema=2876972
Мне понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=2861068
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2849465
Благодарность врачам и всем сотрудникам роддома города Москва	http://www.spr.ru/forum_vyvod.php?id_tema=2847175
Огромное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2838746
Все очень понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=2819568
Прекрасный роддом	http://www.spr.ru/forum_vyvod.php?id_tema=2770936
Мне понравилось почти все	http://www.spr.ru/forum_vyvod.php?id_tema=2761281
Спасибо за сыночка	http://www.spr.ru/forum_vyvod.php?id_tema=2729055
Огромную благодарность выражаю Новиковой	http://www.spr.ru/forum_vyvod.php?id_tema=2714226
Супер роддом	http://www.spr.ru/forum_vyvod.php?id_tema=2674590
С большой благодарностью	http://www.spr.ru/forum_vyvod.php?id_tema=2674397
Спасибо за понимание	http://www.spr.ru/forum_vyvod.php?id_tema=2635981
Есть и свой сайт	http://www.spr.ru/forum_vyvod.php?id_tema=2633782
Низкий поклон Федориной Светлане	http://www.spr.ru/forum_vyvod.php?id_tema=2615116
Выражаю благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2487857
Спасибо Щербакову за счастье	http://www.spr.ru/forum_vyvod.php?id_tema=2462511
Благодарность персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=2456358
Спасибо всем огромное	http://www.spr.ru/forum_vyvod.php?id_tema=592004
Выражаю благодарность персоналу	http://www.spr.ru/forum_vyvod.php?id_tema=578778
Благодарна врачам	http://www.spr.ru/forum_vyvod.php?id_tema=408065
Спас мою нервную систему	http://www.spr.ru/forum_vyvod.php?id_tema=408057
Крупный плод	http://www.spr.ru/forum_vyvod.php?id_tema=408053
Своевременное наблюдение	http://www.spr.ru/forum_vyvod.php?id_tema=408051
Самые лучшие врачи	http://www.spr.ru/forum_vyvod.php?id_tema=408016
Врачи нравятся	http://www.spr.ru/forum_vyvod.php?id_tema=407994
Неправда насчет кесарево	http://www.spr.ru/forum_vyvod.php?id_tema=407982
Слушайте акушеров	http://www.spr.ru/forum_vyvod.php?id_tema=407962
Там все супер	http://www.spr.ru/forum_vyvod.php?id_tema=407958
Терпеливая смена	http://www.spr.ru/forum_vyvod.php?id_tema=407947
Отличный роддом	http://www.spr.ru/forum_vyvod.php?id_tema=407930
Все прошло на ура	http://www.spr.ru/forum_vyvod.php?id_tema=407921
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=407905
Врачи контролировали весь процесс	http://www.spr.ru/forum_vyvod.php?id_tema=407900
Понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=407898
Мы были вместе с сыночком с первого дня	http://www.spr.ru/forum_vyvod.php?id_tema=407890
Очень даже ничего	http://www.spr.ru/forum_vyvod.php?id_tema=407877
Я очень довольна этим роддомом	http://www.spr.ru/forum_vyvod.php?id_tema=407872
Рожать можно с любым врачом	http://www.spr.ru/forum_vyvod.php?id_tema=407861
Отношение хорошее	http://www.spr.ru/forum_vyvod.php?id_tema=407858
Рожала в этом роддоме шестую дочку	http://www.spr.ru/forum_vyvod.php?id_tema=407851
У меня было плановое кесарево	http://www.spr.ru/forum_vyvod.php?id_tema=407848
Обращение сгладило мое негативное	http://www.spr.ru/forum_vyvod.php?id_tema=407843
Лежала в одноместной палате вместе с ребёнком	http://www.spr.ru/forum_vyvod.php?id_tema=407621
Очень хороший доктор	http://www.spr.ru/forum_vyvod.php?id_tema=407574
Ложилась заранее	http://www.spr.ru/forum_vyvod.php?id_tema=407546
Я осталась очень довольна	http://www.spr.ru/forum_vyvod.php?id_tema=407539
Что касается родов этом роддоме	http://www.spr.ru/forum_vyvod.php?id_tema=407536
До сих пор с благодарностью вспоминаю	http://www.spr.ru/forum_vyvod.php?id_tema=407530
Впечатления только положительные	http://www.spr.ru/forum_vyvod.php?id_tema=407522
Что очень порадовало	http://www.spr.ru/forum_vyvod.php?id_tema=407520
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=407518
Мне очень понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=407504
Благодарна	http://www.spr.ru/forum_vyvod.php?id_tema=407497
Желаю Всем легких родов и здоровых малышей	http://www.spr.ru/forum_vyvod.php?id_tema=407490
Девочка у меня чудесная родилась	http://www.spr.ru/forum_vyvod.php?id_tema=407488
Вспоминаю с теплотой	http://www.spr.ru/forum_vyvod.php?id_tema=407478
В этот роддом мне посоветовали знакомые	http://www.spr.ru/forum_vyvod.php?id_tema=407460
Абсолютно бесплатно родила тут свою доченьку	http://www.spr.ru/forum_vyvod.php?id_tema=407453
Спасибо всем Хороший роддом	http://www.spr.ru/forum_vyvod.php?id_tema=407248
Никаких претензий не имею	http://www.spr.ru/forum_vyvod.php?id_tema=407242
Спасибо за мою Маргаритку	http://www.spr.ru/forum_vyvod.php?id_tema=407231
Все вышло просто чудесно	http://www.spr.ru/forum_vyvod.php?id_tema=407225
Держат планку	http://www.spr.ru/forum_vyvod.php?id_tema=407211
Было очень много родов	http://www.spr.ru/forum_vyvod.php?id_tema=407209
Если кто знает их контакты пожалуйста поделитесь	http://www.spr.ru/forum_vyvod.php?id_tema=407205
Меня родные пугали пьяными врачами	http://www.spr.ru/forum_vyvod.php?id_tema=407198
Огромное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=407191
Кому жигули и кому мерседесы	http://www.spr.ru/forum_vyvod.php?id_tema=407184
Сейчас я на 8 месяце жду сына	http://www.spr.ru/forum_vyvod.php?id_tema=407182
Доктор очень внимательный	http://www.spr.ru/forum_vyvod.php?id_tema=407178
Низкий ему поклон	http://www.spr.ru/forum_vyvod.php?id_tema=407173
В общем я в восторге	http://www.spr.ru/forum_vyvod.php?id_tema=407171
Рекомендую этот роддом	http://www.spr.ru/forum_vyvod.php?id_tema=407162
Жизнь легко не дается	http://www.spr.ru/forum_vyvod.php?id_tema=407160
Родила абсолютно бесплатно и никто ничего не выпрашивал	http://www.spr.ru/forum_vyvod.php?id_tema=407158
Все понравилось	http://www.spr.ru/forum_vyvod.php?id_tema=407156
Огромное спасибо всему персоналу этого замечательного родильного дома	http://www.spr.ru/forum_vyvod.php?id_tema=407151
Там прекрасные специалисты	http://www.spr.ru/forum_vyvod.php?id_tema=407148
Прям вспыхнула от возмущения	http://www.spr.ru/forum_vyvod.php?id_tema=407138
Вам же необходим профессионализм врачей а не кухня	http://www.spr.ru/forum_vyvod.php?id_tema=407137
Дорогие мамочки и будущие мамочки	http://www.spr.ru/forum_vyvod.php?id_tema=407126
Муж на роды не успел но это даже к лучшему	http://www.spr.ru/forum_vyvod.php?id_tema=407123
Очень довольна	http://www.spr.ru/forum_vyvod.php?id_tema=407096
Действительно раньше у этого роддома была дурная репутация	http://www.spr.ru/forum_vyvod.php?id_tema=407080
Это гипер важно	http://www.spr.ru/forum_vyvod.php?id_tema=407071
Я родила замечательного сыночка	http://www.spr.ru/forum_vyvod.php?id_tema=407058
У меня 4 детей	http://www.spr.ru/forum_vyvod.php?id_tema=407054
Спасибо им огромное за мою козявочку	http://www.spr.ru/forum_vyvod.php?id_tema=407047
Послеродовое отделение как в санатории	http://www.spr.ru/forum_vyvod.php?id_tema=407046
Поступала я вот с каким букетом	http://www.spr.ru/forum_vyvod.php?id_tema=407044
