name	url
РОДИЛЬНЫЙ ДОМ № 17	http://www.spr.ru/vostochnoe-degunino/rodilniy-dom-17.html
РОДИЛЬНЫЙ ДОМ № 4	http://www.spr.ru/obruchevskiy/rodilniy-dom-4.html
НОГИНСКИЙ РОДИЛЬНЫЙ ДОМ	http://www.spr.ru/noginsk-i-noginskiy-rayon/noginskiy-rodilniy-dom.html
РОДИЛЬНЫЙ ДОМ № 3	http://www.spr.ru/ochakovo-matveevskoe/rodilniy-dom-3.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 68, родильный дом	http://www.spr.ru/vihino-zhulebino/gorodskaya-klinicheskaya-bolnitsa-68-8930.html
ПОДОЛЬСКИЙ РОДИЛЬНЫЙ ДОМ	http://www.spr.ru/podolsk-i-podolskiy-rayon/podolskiy-rodilniy-dom.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ А.К. ЕРАМИШАНЦЕВА, родильное отделение № 2	http://www.spr.ru/altufevskiy/gorodskaya-klinicheskaya-bolnitsa-imeni-a-k-eramishantseva.html
РОДДОМ	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/roddom-202080.html
МОСКОВСКИЙ ОБЛАСТНОЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР	http://www.spr.ru/balashiha-i-gorodskoy-okrug-balashiha/moskovskiy-oblastnoy-perinatalniy-tsentr.html
ОРЕХОВО-ЗУЕВСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА, филиал № 3, родильный дом	http://www.spr.ru/orehovo-zuevo-i-orehovo-zuevskiy-rayon/orehovo-zuevskaya-tsentralnaya-gorodskaya-bolnitsa-946198.html
РОДИЛЬНЫЙ ДОМ № 25	http://www.spr.ru/gagarinskiy/rodilniy-dom-25.html
ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА, родильный дом	http://www.spr.ru/izmaylovo/gorodskaya-klinicheskaya-bolnitsa-944205.html
РОДИЛЬНЫЙ ДОМ	http://www.spr.ru/zyuzino/rodilniy-dom.html
РОДИЛЬНЫЙ ДОМ № 18	http://www.spr.ru/basmanniy/rodilniy-dom-18.html
КЛИНСКИЙ РОДДОМ	http://www.spr.ru/klin-i-klinskiy-rayon/klinskiy-roddom.html
ПЕРИНАТАЛЬНЫЙ МЕДИЦИНСКИЙ ЦЕНТР	http://www.spr.ru/cheremushki/perinatalniy-meditsinskiy-tsentr.html
РОДИЛЬНЫЙ ДОМ № 1	http://www.spr.ru/severnoe-tushino/rodilniy-dom-1-231679.html
РОДИЛЬНЫЙ ДОМ	http://www.spr.ru/egorevsk-i-egorevskiy-rayon/rodilniy-dom-227233.html
КОРОЛЁВСКИЙ РОДИЛЬНЫЙ ДОМ	http://www.spr.ru/korolev-i-gorodskoy-okrug-korolev/korolevskiy-rodilniy-dom.html
ОДИНЦОВСКИЙ РОДИЛЬНЫЙ ДОМ	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/odintsovskiy-rodilniy-dom.html
РОДДОМ	http://www.spr.ru/voskresensk-i-voskresenskiy-rayon/roddom-189866.html
РОДИЛЬНЫЙ ДОМ	http://www.spr.ru/perovo/rodilniy-dom-31441.html
РОДИЛЬНЫЙ ДОМ № 5	http://www.spr.ru/losinoostrovskiy/rodilniy-dom-5.html
