name	url
Благодарность медсестрам	http://www.spr.ru/forum_vyvod.php?id_tema=3075647
Самая быстрая скорая помощь	http://www.spr.ru/forum_vyvod.php?id_tema=2703092
Очень быстрая скорая	http://www.spr.ru/forum_vyvod.php?id_tema=2632613
Хотела вызвать перевозку	http://www.spr.ru/forum_vyvod.php?id_tema=3002329
Благодарность бригаде скорой помощи	http://www.spr.ru/forum_vyvod.php?id_tema=3468612
Благодарность врачу за экстренную квалифицированную помощь	http://www.spr.ru/forum_vyvod.php?id_tema=3433262
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3396015
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3387394
Благодарность врачам скорой помощи	http://www.spr.ru/forum_vyvod.php?id_tema=3387256
Благодарность за профессионализм и чуткость	http://www.spr.ru/forum_vyvod.php?id_tema=3309957
Благодарность врачу Ольге	http://www.spr.ru/forum_vyvod.php?id_tema=3266429
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3202596
Благодарность сотрудникам бригады №5 химкинской скорой помощи	http://www.spr.ru/forum_vyvod.php?id_tema=3195607
Прежде чем ругать	http://www.spr.ru/forum_vyvod.php?id_tema=2912391
Огромное спасибо бригаде скорой помощи	http://www.spr.ru/forum_vyvod.php?id_tema=2603870
Огромное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=2598293
Благодарю бригаду скорой помощи	http://www.spr.ru/forum_vyvod.php?id_tema=2448634
Пример реальных вызовов	http://www.spr.ru/forum_vyvod.php?id_tema=2307032
Пару слов в защиту	http://www.spr.ru/forum_vyvod.php?id_tema=559641
Спасибо за хорошую работу	http://www.spr.ru/forum_vyvod.php?id_tema=555775
Не приехали	http://www.spr.ru/forum_vyvod.php?id_tema=3477434
Даже не удосужились взять трубку и принять вызов	http://www.spr.ru/forum_vyvod.php?id_tema=3470128
Направляйте жалобы в администрацию МО	http://www.spr.ru/forum_vyvod.php?id_tema=3426175
Примите меры	http://www.spr.ru/forum_vyvod.php?id_tema=3396472
Так долго едут	http://www.spr.ru/forum_vyvod.php?id_tema=3299863
Скорая едет уже 2 часа	http://www.spr.ru/forum_vyvod.php?id_tema=3175330
Халатное отношение и непрофессионализм	http://www.spr.ru/forum_vyvod.php?id_tema=3151578
Оператор скорой бросает трубку	http://www.spr.ru/forum_vyvod.php?id_tema=3110534
Отношение к пациентам	http://www.spr.ru/forum_vyvod.php?id_tema=3068771
Очень долго ждали скорую	http://www.spr.ru/forum_vyvod.php?id_tema=3038444
Ужасное отношение врача	http://www.spr.ru/forum_vyvod.php?id_tema=2997413
Не берут трубку	http://www.spr.ru/forum_vyvod.php?id_tema=2960059
Скорая не приехала	http://www.spr.ru/forum_vyvod.php?id_tema=2686280
Платная скорая помощь	http://www.spr.ru/forum_vyvod.php?id_tema=2483167
Скорая без помощи	http://www.spr.ru/forum_vyvod.php?id_tema=2450294
Возмутительно долгий вызов	http://www.spr.ru/forum_vyvod.php?id_tema=2375657
Очень медленно приезжают	http://www.spr.ru/forum_vyvod.php?id_tema=2375411
Вызывали скорую	http://www.spr.ru/forum_vyvod.php?id_tema=2359244
Вызывайте платную скорую помощь	http://www.spr.ru/forum_vyvod.php?id_tema=2355771
Нет слов	http://www.spr.ru/forum_vyvod.php?id_tema=2279790
Мне стало плохо	http://www.spr.ru/forum_vyvod.php?id_tema=2253662
От скорой помощи нечего ждать	http://www.spr.ru/forum_vyvod.php?id_tema=2159167
Люди это нормально?	http://www.spr.ru/forum_vyvod.php?id_tema=2148397
Безразличие и непрофессионализм	http://www.spr.ru/forum_vyvod.php?id_tema=2141218
Человек без чувств	http://www.spr.ru/forum_vyvod.php?id_tema=549537
Не берут трубку	http://www.spr.ru/forum_vyvod.php?id_tema=493191
Не захотели приезжать	http://www.spr.ru/forum_vyvod.php?id_tema=434122
Безразличность к жителям	http://www.spr.ru/forum_vyvod.php?id_tema=398137
Диспетчеры в своем репертуаре	http://www.spr.ru/forum_vyvod.php?id_tema=369946
Диспетчер на скорой	http://www.spr.ru/forum_vyvod.php?id_tema=282958
Просто бросила трубку в середине разговора	http://www.spr.ru/forum_vyvod.php?id_tema=255536
Не приехали на вызов	http://www.spr.ru/forum_vyvod.php?id_tema=194238
Серьезная операция	http://www.spr.ru/forum_vyvod.php?id_tema=3293902
Простая испанская простуда	http://www.spr.ru/forum_vyvod.php?id_tema=2646932
Они спасли руку моей подруги	http://www.spr.ru/forum_vyvod.php?id_tema=567804
Никогда не пользуйтесь	http://www.spr.ru/forum_vyvod.php?id_tema=3379868
Полное отсутствие сервиса	http://www.spr.ru/forum_vyvod.php?id_tema=3168860
Отправляют в худшие клиники	http://www.spr.ru/forum_vyvod.php?id_tema=3013796
Заболела ротовирусом	http://www.spr.ru/forum_vyvod.php?id_tema=2964478
Госпиталь забирает паспорта пациентов	http://www.spr.ru/forum_vyvod.php?id_tema=2845356
Никакой помощи	http://www.spr.ru/forum_vyvod.php?id_tema=2823220
Не оплачивают счет	http://www.spr.ru/forum_vyvod.php?id_tema=2704991
Некомпетентность и непрофессионализм	http://www.spr.ru/forum_vyvod.php?id_tema=2667667
Не страховой случай	http://www.spr.ru/forum_vyvod.php?id_tema=2605181
Мелочно	http://www.spr.ru/forum_vyvod.php?id_tema=2572797
Инцидент с ребенком	http://www.spr.ru/forum_vyvod.php?id_tema=2375642
Помощи не дождаться	http://www.spr.ru/forum_vyvod.php?id_tema=2350239
Не платят	http://www.spr.ru/forum_vyvod.php?id_tema=2339221
О работе с пациентами	http://www.spr.ru/forum_vyvod.php?id_tema=2330923
Полное отсутствие помощи	http://www.spr.ru/forum_vyvod.php?id_tema=2326781
Страховой случай	http://www.spr.ru/forum_vyvod.php?id_tema=2304914
Сервис	http://www.spr.ru/forum_vyvod.php?id_tema=2293079
Не приехала скорая	http://www.spr.ru/forum_vyvod.php?id_tema=2260655
Страховой случай	http://www.spr.ru/forum_vyvod.php?id_tema=2209521
У ребенка в Черногории поднялась высокая температура	http://www.spr.ru/forum_vyvod.php?id_tema=2208929
Потеха итальянских докторов	http://www.spr.ru/forum_vyvod.php?id_tema=2156087
Грубый персонал	http://www.spr.ru/forum_vyvod.php?id_tema=75086
Помощь людям	http://www.spr.ru/forum_vyvod.php?id_tema=3475625
Благодарность сотруднику Быковской подстанции Семину Сергею	http://www.spr.ru/forum_vyvod.php?id_tema=3387925
Благодарность сотрудникам скорой помощи	http://www.spr.ru/forum_vyvod.php?id_tema=3235451
Благодарность врачу скорой	http://www.spr.ru/forum_vyvod.php?id_tema=2906182
Благодарность сотруднице Людмиле	http://www.spr.ru/forum_vyvod.php?id_tema=2581356
Благодарность бригаде скорой помощи	http://www.spr.ru/forum_vyvod.php?id_tema=2418011
Бригады на выезде	http://www.spr.ru/forum_vyvod.php?id_tema=2467350
Укол	http://www.spr.ru/forum_vyvod.php?id_tema=2211764
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=3427260
Лясин Игорь Петрович	http://www.spr.ru/forum_vyvod.php?id_tema=3416014
Оперативно и профессионально	http://www.spr.ru/forum_vyvod.php?id_tema=3238623
Спасибо бригаде скорой помощи	http://www.spr.ru/forum_vyvod.php?id_tema=2634810
Быстро приехали	http://www.spr.ru/forum_vyvod.php?id_tema=2484111
Квалифицированные педиатры	http://www.spr.ru/forum_vyvod.php?id_tema=2122381
Спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=655034
Очень хочу поблагодарить сотрудников	http://www.spr.ru/forum_vyvod.php?id_tema=436884
Хочу поблагодарить Новикову Валентину Леонидовну	http://www.spr.ru/forum_vyvod.php?id_tema=70201
Вовремя не приехали	http://www.spr.ru/forum_vyvod.php?id_tema=3441499
Скорая борщит	http://www.spr.ru/forum_vyvod.php?id_tema=3421296
Плохое отношение к пациенту, неоказание помощи	http://www.spr.ru/forum_vyvod.php?id_tema=3406672
Не выезжают	http://www.spr.ru/forum_vyvod.php?id_tema=3191330
Отношение скорой помощи	http://www.spr.ru/forum_vyvod.php?id_tema=3168565
Скорая помощь	http://www.spr.ru/forum_vyvod.php?id_tema=2438242
Скорая помощь	http://www.spr.ru/forum_vyvod.php?id_tema=2417096
Скорая помощь работает как такси	http://www.spr.ru/forum_vyvod.php?id_tema=2410499
Привозят здоровых детей	http://www.spr.ru/forum_vyvod.php?id_tema=2160235
Рожать из Красногорска в Бибирево	http://www.spr.ru/forum_vyvod.php?id_tema=2159282
Непрофессионализм бригады скорой медицинской помощи	http://www.spr.ru/forum_vyvod.php?id_tema=512735
Приехали через полтора часа	http://www.spr.ru/forum_vyvod.php?id_tema=371901
Неприемлемая работа диспетчера	http://www.spr.ru/forum_vyvod.php?id_tema=238270
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3391722
Огромное спасибо	http://www.spr.ru/forum_vyvod.php?id_tema=3367873
Благодарность членам кардиобригады	http://www.spr.ru/forum_vyvod.php?id_tema=3274019
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=3239491
Благодарность врачу скорой помощи	http://www.spr.ru/forum_vyvod.php?id_tema=3101080
Хочу поблагодарить Орлову Любовь Федоровну	http://www.spr.ru/forum_vyvod.php?id_tema=406911
Антискорая помощь	http://www.spr.ru/forum_vyvod.php?id_tema=427307
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3254829
Ответили на все вопросы	http://www.spr.ru/forum_vyvod.php?id_tema=428917
Плохое	http://www.spr.ru/forum_vyvod.php?id_tema=3369909
Не нравится	http://www.spr.ru/forum_vyvod.php?id_tema=3152900
Вызывали скорую помощь	http://www.spr.ru/forum_vyvod.php?id_tema=3147411
Не смогли ничем помочь	http://www.spr.ru/forum_vyvod.php?id_tema=2553966
Отказ в вызове	http://www.spr.ru/forum_vyvod.php?id_tema=2284590
Оперативно приехали	http://www.spr.ru/forum_vyvod.php?id_tema=3451338
Благодарность сотрудникам	http://www.spr.ru/forum_vyvod.php?id_tema=3213297
Благодарность	http://www.spr.ru/forum_vyvod.php?id_tema=2529529
Благодарность врачам	http://www.spr.ru/forum_vyvod.php?id_tema=2210073
Благодарю бригаду врачей	http://www.spr.ru/forum_vyvod.php?id_tema=673375
Врачей не трогайте	http://www.spr.ru/forum_vyvod.php?id_tema=589115
Побольше профессионалов на скорой	http://www.spr.ru/forum_vyvod.php?id_tema=574961
Спасибо бригаде № 14	http://www.spr.ru/forum_vyvod.php?id_tema=353884
Скорая помощь	http://www.spr.ru/forum_vyvod.php?id_tema=186501
Несколько километров от МКАД	http://www.spr.ru/forum_vyvod.php?id_tema=3368545
Скорая не приехала	http://www.spr.ru/forum_vyvod.php?id_tema=3104027
Не выполнен актив	http://www.spr.ru/forum_vyvod.php?id_tema=3005488
Плохая организация работы	http://www.spr.ru/forum_vyvod.php?id_tema=2960912
Безнаказанность	http://www.spr.ru/forum_vyvod.php?id_tema=2848337
