name	url
АЭРОДАР-МЕД, частная скорая медицинская помощь	http://www.spr.ru/domodedovo-i-gorodskoy-okrug-domodedovo/aerodar-med.html
ХИМКИНСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ	http://www.spr.ru/himki-i-gorodskoy-okrug-himki/himkinskaya-stantsiya-skoroy-meditsinskoy-pomoschi.html
GLOBAL VOYAGER ASSISTANCE, скорая медицинская помощь	http://www.spr.ru/begovoy/global-voyager-assistance.html
РАМЕНСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/ramenskaya-stantsiya-skoroy-meditsinskoy-pomoschi.html
КРАСНОГОРСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ	http://www.spr.ru/krasnogorsk-i-krasnogorskiy-rayon/krasnogorskaya-stantsiya-skoroy-meditsinskoy-pomoschi.html
ЛЮБЕРЕЦКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/lyuberetskaya-stantsiya-skoroy-meditsinskoy-pomoschi.html
СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ	http://www.spr.ru/chehov-i-chehovskiy-rayon/stantsiya-skoroy-meditsinskoy-pomoschi-228365.html
ОДИНЦОВСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/odintsovskaya-stantsiya-skoroy-meditsinskoy-pomoschi.html
СТАНЦИЯ СКОРОЙ ПОМОЩИ	http://www.spr.ru/noginsk-i-noginskiy-rayon/stantsiya-skoroy-pomoschi.html
ЭКСТРАМЕД, служба скорой медицинской помощи	http://www.spr.ru/pokrovskoe-streshnevo/ekstramed.html
ИСТРИНСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ	http://www.spr.ru/istra-i-istrinskiy-rayon/istrinskaya-stantsiya-skoroy-meditsinskoy-pomoschi.html
Отделение скорой помощи, ПАВЛОВО-ПОСАДСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/pavlovskiy-posad-i-pavlovo-posadskiy-rayon/otdelenie-skoroy-pomoschi.html
ПОДОЛЬСКАЯ ГОРОДСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ	http://www.spr.ru/podolsk-i-podolskiy-rayon/podolskaya-gorodskaya-stantsiya-skoroy-meditsinskoy-pomoschi.html
СТАНЦИЯ СКОРОЙ ПОМОЩИ	http://www.spr.ru/mitischi-i-mitischinskiy-rayon/stantsiya-skoroy-pomoschi-215003.html
ХОТЛАЙН, медицинская служба	http://www.spr.ru/danilovskiy/hotlayn.html
АЛЬТМЕДИКА, скорая медицинская помощь	http://www.spr.ru/pokrovskoe-streshnevo/altmedika.html
КОКОШКИНСКАЯ ПОДСТАНЦИЯ СКОРОЙ ПОМОЩИ	http://www.spr.ru/kokoshkino/kokoshkinskaya-podstantsiya-skoroy-pomoschi.html
Отделение скорой неотложной помощи, СОЛНЕЧНОГОРСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА	http://www.spr.ru/solnechnogorsk-i-solnechnogorskiy-rayon/otdelenie-skoroy-neotlozhnoy-pomoschi.html
ПРОФЕССИОНАЛЬНАЯ МЕДИЦИНСКАЯ ЛИГА, скорая медицинская помощь	http://www.spr.ru/mozhayskiy/professionalnaya-meditsinskaya-liga.html
СЕРПУХОВСКАЯ ЦРБ, станция скорой медицинской помощи	http://www.spr.ru/serpuhov-i-serpuhovskiy-rayon/serpuhovskaya-tsrb.html
Станция скорой медицинской помощи, ЛОБНЕНСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА	http://www.spr.ru/lobnya-i-gorodskoy-okrug-lobnya/stantsiya-skoroy-meditsinskoy-pomoschi-208132.html
