name	url
АГАМИ, стоматологическая клиника	http://www.spr.ru/marina-roscha/agami.html
АЛЬФА-КЛИНИК, стоматология на Калужской в Обручевском	http://www.spr.ru/obruchevskiy/alfa-klinik-977308.html
АЛЬФА-ЦЕНТР СТОМАТОЛОГИИ, детская стоматология, лечение, протезирование зубов в Долгопрудном	http://www.spr.ru/dolgoprudniy-i-gorodskoy-okrug-dolgoprudniy/alfa-tsentr-stomatologii.html
КОМФОРТ, круглосуточная детская и взрослая стоматология, лечение и имплантация зубов в Одинцово	http://www.spr.ru/odintsovo-i-odintsovskiy-rayon/komfort-997165.html
ДЕНТОЛЮБ, протезирование, отбеливание, имплантация, панорамный снимок зубов в Люберцах	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/dentolyub.html
Ф-ДЕНТ, стоматология, импланты, протезирование зубов Серпухов	http://www.spr.ru/serpuhov-i-serpuhovskiy-rayon/f-dent.html
БАТТЕРФЛЯЙ, стоматология	http://www.spr.ru/lyubertsi-i-lyuberetskiy-rayon/batterflyay-4661788.html
ВИТА+, стоматология, протезирование, лечение зубов в Тёплом Стане, ЮЗАО, Москва	http://www.spr.ru/tepliy-stan/vita-1144859.html
СТОМАТОЛОГИЯ № 4, стоматология на Марксистской, метро Таганская	http://www.spr.ru/taganskiy/stomatologiya-4.html
3-ДЕНТ, стоматология без боли, протезирование, брекеты г Раменское	http://www.spr.ru/ramenskoe-i-ramenskiy-rayon/3dent.html
ДЕНТАЛИС, семейная - детская и взрослая стоматология, вырвать зуб в Троицке	http://www.spr.ru/troitsk/dentalis-4663608.html
ДОКТОР БОРМЕНТАЛЬ, стоматология, протезирование, имплантация, лечение зубов в Южном Бутово	http://www.spr.ru/yuzhnoe-butovo/doktor-bormental.html
САФ-МЕД, стоматология, протезирование, имплантация в Царицыно, Бирюлёво Восточное	http://www.spr.ru/biryulevo-vostochnoe/saf-med-66655.html
GENYUK DENTAL CLINIC, стоматология в Долгопрудном цены, лечение зубов, коронка зубная, бюгельный протез	http://www.spr.ru/dolgoprudniy-i-gorodskoy-okrug-dolgoprudniy/genyuk-dental-clinic.html
С ВАМИ ДОКТОР, стоматология на Октябрьском Поле, СЗАО	http://www.spr.ru/schukino/s-vami-doktor.html
НАТАЛИ, Стоматология в Химках	http://www.spr.ru/himki-i-gorodskoy-okrug-himki/natali-1021968.html
ДЕНТАЛ МИР, стоматология, имплантация, лечение зубов на Кожуховской, Автозаводская	http://www.spr.ru/yuzhnoportoviy/dental-mir.html
MEDICAL CLINIC, стоматология в ЦАО, Китай-город	http://www.spr.ru/basmanniy/medical-clinic.html
УЛЫБКА РЕУТОВ, стоматология, лечение, удаление, отбеливание зубов	http://www.spr.ru/reutov-i-gorodskoy-okrug-reutov/ulibka-1118321.html
АЛЬФА-СТОМ, стоматология, ортопедия в Измайлово	http://www.spr.ru/izmaylovo/alfa-dent-1022930.html
ЛАФАТЕР, стоматология, протезирование, имплантация Мичуринский проспект, Раменки	http://www.spr.ru/ramenki/lafater.html
MEDIVEL, протезирование, имплантация, брекеты, отбеливание зубов в Химках	http://www.spr.ru/himki-i-gorodskoy-okrug-himki/medivel.html
АГАПЕ, стоматология, протезирование, лечение зубов в Люблино	http://www.spr.ru/lyublino/agape.html
КЛИНИКА ПРОФЕССИОНАЛЬНОЙ СТОМАТОЛОГИИ, лечение, отбеливание, имплантация, протезирование, восстановление зубов, исправление прикуса на Полежаевской	http://www.spr.ru/horoshevo-mnevniki/klinika-professionalnoy-stomatologii.html
СТОМАТОЛОГИЯ ПРЕЗИДЕНТ В ВИДНОМ, имплантация, удаление зубов, детская и взрослая стоматология в г Видное	http://www.spr.ru/vidnoe-i-leninskiy-rayon/prezident-4623363.html
ДЕНТАЛ ФЭНТЕЗИ, детская стоматология на Молодогвардейской улице, стоматология Рублевка, Рублевское шоссе	http://www.spr.ru/kuntsevo/dental-fentezi-4455901.html
ДАНТИСТ, американский стоматологический центр	http://www.spr.ru/marino/dantist-4394380.html
ПРЕЗИДЕНТ на Сухаревской, стоматология детская, имплантация Красносельский район	http://www.spr.ru/krasnoselskiy/prezident-779389.html
